parameter,value
b01_pop,4.46092854299318
b11_pop,-0.137357532624223
b21_pop,-0.13991259131983
a1_pop,4.98751384508055
b02_pop,7.40197413523098
b12_pop,0.00274165728031011
b03_pop,4.23702345648883
b13_pop,-0.15873063618605
p1_pop,0.0288686892135303
g1_pop,0.134904558097709
p2_pop,0.77423100951061
g2_pop,0.133228082353102
alpha11_pop,0.196521048997193
alpha12_pop,-12.9437061187419
alpha13_pop,0.649187322682573
alpha21_pop,-0.0675765697066554
alpha22_pop,3.44009201221933
alpha23_pop,-0.187088337126253
omega_b01,1.93529003291204
omega_b11,0.102057581206492
omega_b21,0.0608559280645184
omega_a1,0.724988924040298
omega_b02,0.043707985451911
omega_b12,0.00502475481510766
omega_b03,0.859742662004413
omega_b13,0.162777521092691
b_1,0.315061152909113
a_2,0.0499875793935156
a_3,0.691989301050167
