rep,id,eta_b01,eta_b11,eta_b21,eta_a1,eta_b02,eta_b12,eta_b03,eta_b13,eta_b04,eta_b14,eta_b05,eta_b15,eta_b07,eta_b17,eta_p1,eta_g1,eta_p2,eta_g2,eta_alpha11,eta_alpha12,eta_alpha13,eta_alpha14,eta_alpha15,eta_alpha17,eta_alpha21,eta_alpha22,eta_alpha23,eta_alpha24,eta_alpha25,eta_alpha27
1,1,1.30899074062757,-0.0082256431520612,0.163011074604929,-0.0782369817895132,0.0539015920109378,0.0115949940376388,1.9354309183861,0.181324715558413,2.04755015729306,0.00117121803659724,0.205795704743569,0.0479961821332827,-4.2955608525707,-4.8327310823896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,1.60627065531971,-0.0954075445649289,0.0977727502386412,0.244816334912491,0.0151991664090438,0.00914573089855773,2.04202056631613,0.00961163999150247,0.16527196860559,0.241354872933584,-0.075181890487606,0.101840874717182,16.7340041725809,-11.3784165111138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,0.885157607581544,-0.084643391296502,0.212126516500657,-0.434899590407355,0.0390325081387122,0.00380841180381622,2.05611595931769,0.121736460941564,0.626641253399254,0.112996860941911,0.506065160165065,0.0269837520576457,-63.1389678343272,-6.90573083439704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,-2.47581765322837,0.0565503824325885,2.86882412236233e-05,0.289335867296711,0.0582481027256154,0.00129118250588314,0.944295854697768,-0.029367642983489,2.62332040782327,-0.0232828321196741,1.3525676228311,0.0241639970920062,-72.8841594804906,7.1537682344189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,-1.14022017269577,-0.0528090826071543,-0.0599860602983119,0.645074582829583,0.0489072273087672,-0.00124464214524477,1.54232117332197,-0.0585225324878128,3.13340158320079,-0.17479689756408,1.5643501974404,0.00449641518351176,-19.745020400932,8.99806268682831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2,-2.47794222480825,0.211528733365486,0.0117170919211547,-1.13877511853797,0.0491150717850335,0.00501371601836181,0.285873322364938,0.133033713130289,2.63747762239406,-0.062008070185082,1.07038052252527,0.113236557253636,7.45886415256462,-4.91965120421326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,-0.517282687644173,0.100902009271982,0.0449482163195332,-0.1352933317039,-0.0353201357541195,0.00110741935847348,0.681041499365361,0.116062343197748,2.49948231791684,0.103709558654463,-1.00259644702583,-0.0595897854274911,107.2748877438,-1.02077272257347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,-0.608025113907327,0.0398582246602794,-0.0775376780284496,0.0906174149423213,-0.0380818317493183,0.00429925848330438,0.0696471152339937,0.22438487163609,1.57463461414184,-0.0352546460526595,-0.818899773948285,0.0783794237812517,32.6586032345732,-1.89141059518693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,1.52054856553144,0.0636348001422074,-0.0103978690014569,-0.352330575311756,-0.0564645152561116,-0.00100789812574571,0.599360939722614,-0.0976346724388839,1.32229163627477,-0.0365802100689711,-0.370268914428856,0.0203818782691777,80.1198279383053,-3.63791773037934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,-1.41892784086622,0.0211460801331368,0.0144900391645849,-0.174514178103592,-0.00484677288064272,-0.0080407926442303,1.33524392792031,-0.131048011384859,-0.574509324396182,0.201967743099061,-0.237581971372061,-0.211812563197218,-83.3722484891424,2.87880365279772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4,-0.536676019534744,-0.131097434121267,-0.021455971324446,0.0903490435852605,-0.0385791116679117,0.000162329051384819,0.745429700388107,0.119677492389415,-0.698792936160297,0.0778969721420676,-0.523176133449471,-0.0499725393661358,-144.71439806187,2.44250728476967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4,0.0695412811471847,-0.058816480030364,0.062175172858169,-0.349957322484821,-0.060198629115253,0.00161754031963405,0.10570332403447,-0.199677525075184,0.609879995800701,-0.0942761089757882,-1.28074791584991,0.0485752633995919,-99.3040482133987,-8.11658410725109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,-0.516165153222265,-0.0158525056666025,0.0864388237080019,-0.0319184520362519,-0.020693742862318,-0.000341654253348463,0.895368022149487,-0.0384492262951602,1.38523714532614,0.0507438156944421,-0.969668347767841,0.0860298589395981,-141.933052703689,-2.15698541192282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,5,1.08715264299391,-0.150618669344799,0.130514794230904,-0.294714705662156,-0.0354701447214385,-0.000791364460919436,1.10798706186046,-0.0306002529380835,1.69633562685808,0.0562901263096539,-0.160894271509116,0.0586732507267015,-149.614971517513,-1.8852396070061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,5,0.345023243385516,-0.135233273669055,0.0597528575266017,0.0819262368735143,0.0283857514870158,-0.00440658195752553,0.95484403546258,-0.041392773115703,1.69908583104091,0.0766400413937634,0.0204058134824958,0.0381762560630906,-138.017714431693,-2.32236446832213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,0.333730421011706,0.00847293692481635,-0.0186890836907496,1.13560728906782,0.00866495998154893,-0.00202250193418052,-0.731853024109573,0.20420172593715,-0.836013522069496,0.0585584849487012,-1.01478651222672,0.0249182737343999,-175.02947628807,2.87520401105308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,6,-0.508741724264743,-0.0013875986154874,-0.103844757061275,0.72606597794314,0.0515394416843735,-0.00502524780171646,0.439450876812147,-0.0257781406833657,-0.65954114681229,-0.104966651877923,-0.202430971971275,-0.125585677094641,-55.5097483700975,-7.3070456505397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
