rep,id,eta_b03,eta_b13,eta_p1,eta_g1,eta_p2,eta_g2,eta_alpha13,eta_alpha23
1,1,-0.850141386083377,-0.16652804422745,0,0,0,0,0,0
2,1,-1.51417244662605,0.134086545295216,0,0,0,0,0,0
3,1,-1.21318645129611,0.082532029636199,0,0,0,0,0,0
1,2,1.32748867107891,0.124499123072222,0,0,0,0,0,0
2,2,0.478483304664413,0.168412788098352,0,0,0,0,0,0
3,2,0.799269101545861,0.149764898704139,0,0,0,0,0,0
1,3,-0.993967409514322,-0.282685720598726,0,0,0,0,0,0
2,3,-0.491926312676314,-0.0092902219538494,0,0,0,0,0,0
3,3,-0.434861183693012,-0.0895295075616516,0,0,0,0,0,0
1,4,0.299621629646294,0.0358649903400819,0,0,0,0,0,0
2,4,0.105389633805839,0.0448259011806859,0,0,0,0,0,0
3,4,0.114956598613221,0.00991169911259168,0,0,0,0,0,0
1,5,-0.91084606151199,0.355453332322628,0,0,0,0,0,0
2,5,-1.53958213538287,-0.236106948329184,0,0,0,0,0,0
3,5,-0.204130165031556,0.0113098094194148,0,0,0,0,0,0
1,6,0.0417003142536441,-0.170922293866888,0,0,0,0,0,0
2,6,-0.689574582776798,0.0775325271985368,0,0,0,0,0,0
3,6,0.547941944483767,-0.031355009576542,0,0,0,0,0,0
1,7,-0.84924048274889,-0.0462689516800554,0,0,0,0,0,0
2,7,0.0061574981158774,-0.103615340451754,0,0,0,0,0,0
3,7,0.346274323263675,-0.159756357114235,0,0,0,0,0,0
1,8,0.281231257565763,-0.218395359552415,0,0,0,0,0,0
2,8,0.373692723993079,-0.241042825692932,0,0,0,0,0,0
3,8,0.472546706466078,-0.275050750795814,0,0,0,0,0,0
1,9,0.39301204505878,0.248141288538735,0,0,0,0,0,0
2,9,0.60020702960319,0.210074917943446,0,0,0,0,0,0
3,9,0.432190222774537,0.243211648317337,0,0,0,0,0,0
1,10,-0.573086141623159,-0.0993995950162537,0,0,0,0,0,0
2,10,-0.897705952339781,-0.14890111398212,0,0,0,0,0,0
3,10,-1.51971167310297,0.261972845917299,0,0,0,0,0,0
1,11,-0.669281052809484,-0.016064954002413,0,0,0,0,0,0
2,11,-0.29101460289931,0.102181517028352,0,0,0,0,0,0
3,11,-0.27681343443383,-0.141058525931823,0,0,0,0,0,0
1,12,0.463389992126261,-0.176063658707603,0,0,0,0,0,0
2,12,0.676536571132713,-0.23180057624601,0,0,0,0,0,0
3,12,0.223210265480211,-0.119134405700535,0,0,0,0,0,0
1,13,0.253274261349815,-0.104849298326166,0,0,0,0,0,0
2,13,0.393745324302618,-0.0147058246945251,0,0,0,0,0,0
3,13,1.31750889018748,-0.079005853876391,0,0,0,0,0,0
1,14,-0.861883202947499,0.0136352030952017,0,0,0,0,0,0
2,14,-0.99269797722325,-0.0430731915418998,0,0,0,0,0,0
3,14,-0.852715832628196,-0.105054806662191,0,0,0,0,0,0
1,15,0.237042419513735,0.234313213369754,0,0,0,0,0,0
2,15,0.179047560827991,-0.0480825245021418,0,0,0,0,0,0
3,15,-0.168251189292848,0.096432775942847,0,0,0,0,0,0
1,16,-1.01132924583911,0.0764440662187454,0,0,0,0,0,0
2,16,0.140698162692088,-0.017909820307599,0,0,0,0,0,0
