parameter,value
b01_pop,4.53952014637802
b11_pop,-0.137242214691428
b21_pop,-0.133897358963899
a1_pop,4.10315671997399
b02_pop,7.40232080669818
b12_pop,0.00317434521345114
b03_pop,4.20241169507744
b13_pop,-0.150052950314068
p1_pop,0.0330092264988959
g1_pop,0.122694182468366
p2_pop,0.745488780886857
g2_pop,0.103901539216304
alpha11_pop,0.143389644209765
alpha12_pop,-13.720668107443
alpha13_pop,0.605449922060398
alpha21_pop,-0.132214165485748
alpha22_pop,5.75143910637907
alpha23_pop,5.38443163161413e-08
omega_b01,2.02161071661569
omega_b11,0.117868037354048
omega_b21,0.0587675575480545
omega_a1,1.01763708210665
omega_b02,0.0403001574285677
omega_b12,0.00565407840222225
omega_b03,0.834778687053054
omega_b13,0.145178851073076
b_1,0.292297201803111
a_2,0.0491598260818304
a_3,0.692532278782095
