parameter,value
b01_pop,4.73787196460881
b11_pop,-0.169553574196127
b21_pop,-0.159161284121116
a1_pop,3.8962778505795
b02_pop,7.39645559678997
b12_pop,0.00302334774750873
b03_pop,4.12333432266485
b13_pop,-0.147665312053207
p1_pop,0.0346858479181822
g1_pop,0.155910307609091
p2_pop,0.774135615753827
g2_pop,0.13449464820936
alpha11_pop,0.151835504163471
alpha12_pop,-10.8927692609631
alpha13_pop,0.710006024007677
alpha21_pop,-0.111018772416698
alpha22_pop,4.72281735636559
alpha23_pop,-0.293979732317017
omega_b01,1.97413292915688
omega_b11,0.117768935008537
omega_b21,0.0946498551625179
omega_a1,1.0876991806213
omega_b02,0.0409053802583708
omega_b12,0.00535720604730346
omega_b03,0.813848376819069
omega_b13,0.167757397374789
b_1,0.305280294844668
a_2,0.0492469980505102
a_3,0.700862685346914
