id,eta_b01_SAEM,eta_b11_SAEM,eta_b21_SAEM,eta_a1_SAEM,eta_b02_SAEM,eta_b12_SAEM,eta_b03_SAEM,eta_b13_SAEM,eta_p1_SAEM,eta_g1_SAEM,eta_p2_SAEM,eta_g2_SAEM,eta_alpha11_SAEM,eta_alpha12_SAEM,eta_alpha13_SAEM,eta_alpha21_SAEM,eta_alpha22_SAEM,eta_alpha23_SAEM
43,-2.10138,-0.0560639,0.00792593,-0.484429,-0.0477829,-0.00159472,0.591838,0.365615,0,0,0,0,0,0,0,0,0,0
44,2.34615,-0.0455564,0.0443216,0.211249,-0.0383876,6.6551e-05,-0.625654,-0.0273257,0,0,0,0,0,0,0,0,0,0
45,-0.691518,-0.0319966,-0.00385188,-0.414193,-0.0298074,-0.00838203,-0.401149,-0.0589923,0,0,0,0,0,0,0,0,0,0
46,-0.560035,-0.0759322,0.101413,1.35996,0.000961357,-0.00502601,0.590652,0.0690697,0,0,0,0,0,0,0,0,0,0
47,0.588819,-0.0208098,0.0115898,0.184403,0.0272167,0.00167049,0.628791,-0.0144467,0,0,0,0,0,0,0,0,0,0
48,2.2953,0.0311428,-0.0210371,0.254556,-0.0565094,-0.000965231,0.534074,0.0820821,0,0,0,0,0,0,0,0,0,0
49,1.69553,0.00038515,-0.0378548,-0.351017,-0.0481983,-0.00739147,0.216893,-0.188892,0,0,0,0,0,0,0,0,0,0
50,-3.00858,-0.0028043,0.0414907,-0.348288,0.000376913,-0.00361303,1.4815,-0.30426,0,0,0,0,0,0,0,0,0,0
51,1.71468,-0.0120472,-0.00956173,-0.30319,0.0305026,0.00182301,0.37641,-0.113454,0,0,0,0,0,0,0,0,0,0
52,0.167801,-0.0338138,-0.00144993,-0.330285,-0.0288029,0.00321781,0.19444,-0.0914487,0,0,0,0,0,0,0,0,0,0
53,-2.37997,-0.118914,0.091837,0.751053,0.00182202,0.00243069,-1.19052,-0.268754,0,0,0,0,0,0,0,0,0,0
54,-0.109627,-0.0201406,-0.00885682,-0.392077,0.0164956,-0.000181154,-0.4039,-0.219182,0,0,0,0,0,0,0,0,0,0
55,-0.642873,-0.154793,0.0396043,1.41163,-0.0504085,-0.00109303,0.183917,-0.141411,0,0,0,0,0,0,0,0,0,0
56,-0.914456,-0.045866,-0.00490864,-0.244898,0.0126406,-0.000447614,0.802126,0.130998,0,0,0,0,0,0,0,0,0,0
57,-1.00406,0.204447,-0.024076,0.314432,0.0131869,-0.00421748,-0.53607,0.294171,0,0,0,0,0,0,0,0,0,0
58,1.33117,0.153884,-0.0285761,0.94744,-0.05648,0.00665768,1.06914,-0.0477474,0,0,0,0,0,0,0,0,0,0
59,1.93139,0.0778974,-0.0336531,-0.184583,-0.0255908,-0.0105909,0.847985,0.0365297,0,0,0,0,0,0,0,0,0,0
60,1.53113,0.109501,-0.0443015,0.413197,0.0464768,-0.00116783,0.360099,0.0475773,0,0,0,0,0,0,0,0,0,0
61,0.817294,-0.0828509,0.0285379,0.158018,0.0331272,0.00970565,0.22827,-0.0110832,0,0,0,0,0,0,0,0,0,0
62,-0.0594618,-0.0454815,0.0061875,-0.155302,0.0770514,0.00312035,-0.0257786,0.112335,0,0,0,0,0,0,0,0,0,0
63,-0.64857,0.0767262,-0.0260865,-0.433022,0.015237,-0.00246345,1.40819,0.113596,0,0,0,0,0,0,0,0,0,0
64,-3.55096,-0.0155831,0.0195063,0.00489582,-0.0231322,-0.000876874,0.0733215,-0.0125819,0,0,0,0,0,0,0,0,0,0
65,0.628146,0.00270452,-0.00708289,-0.366399,0.0273436,0.00156618,-0.264649,0.0360558,0,0,0,0,0,0,0,0,0,0
66,-0.89264,-0.0238774,-0.0100993,-0.233415,0.0474426,-0.0033611,0.0859675,0.217415,0,0,0,0,0,0,0,0,0,0
67,-0.852932,-0.00133298,-0.0575695,-0.209623,0.0286379,-9.39012e-05,0.0831651,0.22308,0,0,0,0,0,0,0,0,0,0
68,0.770612,0.0217503,-0.0178668,-0.154651,-0.0303697,-0.00277912,-0.884702,0.0446321,0,0,0,0,0,0,0,0,0,0
69,2.32379,-0.0462759,0.0290449,-0.224436,0.0354333,-0.00602864,0.746865,-0.0569591,0,0,0,0,0,0,0,0,0,0
70,2.52206,-0.0261146,0.0100883,0.0251157,-0.028972,0.000394013,-1.59916,-0.0119303,0,0,0,0,0,0,0,0,0,0
71,1.20784,-0.011116,-0.0299478,-0.272061,0.00431982,0.00108175,0.31065,-0.0118007,0,0,0,0,0,0,0,0,0,0
72,-0.313702,0.0302742,-0.0299718,-0.268234,-0.0118524,-0.000378325,1.19597,0.148453,0,0,0,0,0,0,0,0,0,0
73,2.42514,-0.0174738,0.0112169,-0.0117667,-0.0049035,0.0007146,0.518822,-0.0293989,0,0,0,0,0,0,0,0,0,0
74,0.131693,0.0357391,-0.0329246,-0.176317,0.0709066,0.00439882,0.880257,-0.15402,0,0,0,0,0,0,0,0,0,0
75,2.14578,0.0446088,-0.0496076,0.111213,0.0356408,0.00269735,-1.17049,-0.179598,0,0,0,0,0,0,0,0,0,0
76,-1.96987,-0.0344909,0.036274,-0.239108,-0.037412,-0.00656595,-1.62764,-0.0718654,0,0,0,0,0,0,0,0,0,0
77,-2.43639,-0.0776808,-0.0136211,-0.294113,0.0167604,0.00173469,0.608848,-0.0963023,0,0,0,0,0,0,0,0,0,0
78,-3.34854,-0.0205257,0.0638018,-0.471153,-0.0323011,-0.00221837,0.161493,-0.0193556,0,0,0,0,0,0,0,0,0,0
79,-0.430206,-0.037139,0.00783816,-0.356004,0.0220278,0.00140677,0.396988,-0.086359,0,0,0,0,0,0,0,0,0,0
80,-0.982225,0.0248418,0.214387,0.838241,-0.0501112,0.00431596,0.875583,-0.0244303,0,0,0,0,0,0,0,0,0,0
81,-0.240794,-0.0266411,0.0127652,0.160018,0.011191,-0.000680014,0.429051,-0.0372175,0,0,0,0,0,0,0,0,0,0
82,-0.171212,0.0471665,-0.0349864,0.335032,-0.0118542,-0.00167721,0.477018,0.104736,0,0,0,0,0,0,0,0,0,0
83,-1.4486,-0.0476808,0.0505726,-0.140424,0.00379198,0.00404668,-0.691447,-0.284121,0,0,0,0,0,0,0,0,0,0
84,0.571583,-0.0258248,-0.0206272,-0.372329,0.0872689,0.00447839,0.328982,-0.129129,0,0,0,0,0,0,0,0,0,0
85,0.191826,-0.0115068,0.00896557,-0.0727893,0.0127748,0.000702362,-0.348468,-0.01251,0,0,0,0,0,0,0,0,0,0
86,1.91162,0.0277878,-0.0368067,-0.083727,-0.065946,-0.00255938,-0.476603,-0.0573239,0,0,0,0,0,0,0,0,0,0
87,1.02469,-0.00312437,-0.0232337,-0.301213,0.00363668,0.00843224,-1.1565,-0.132703,0,0,0,0,0,0,0,0,0,0
88,-1.17121,-0.0490072,0.0315207,-0.259717,-0.00737724,-0.00783327,-1.76104,-0.231131,0,0,0,0,0,0,0,0,0,0
89,2.66615,0.0561772,-0.048368,-0.00940473,0.0403406,-0.00600603,0.161322,0.447311,0,0,0,0,0,0,0,0,0,0
90,0.696186,-0.0813538,0.0242705,0.130515,-0.0099093,-0.00270657,-0.87091,0.210732,0,0,0,0,0,0,0,0,0,0
91,0.637237,-0.00572187,0.0154463,0.0128404,0.000505032,0.000705404,-0.0278897,-0.022098,0,0,0,0,0,0,0,0,0,0
92,1.82398,-0.0313185,0.0456182,-0.0663988,0.0535168,0.0120962,0.299099,-0.101995,0,0,0,0,0,0,0,0,0,0
93,-1.64701,-0.154184,0.0475449,1.88143,0.00643203,0.000950653,0.202575,-0.06507,0,0,0,0,0,0,0,0,0,0
94,-1.68696,0.0365081,-0.0212507,-0.166883,0.00298779,-0.000233118,0.376956,-0.166644,0,0,0,0,0,0,0,0,0,0
95,1.81443,-0.0168507,0.0114914,-0.358829,-0.00228404,0.00205744,-0.321599,0.00540966,0,0,0,0,0,0,0,0,0,0
96,1.76739,-0.0168741,0.00571451,1.08393,0.0424564,-0.00491608,-0.0304495,0.198989,0,0,0,0,0,0,0,0,0,0
97,-0.0668767,-0.00590714,-0.00661795,-0.336129,0.0207954,0.000910846,0.574659,-0.0666015,0,0,0,0,0,0,0,0,0,0
98,0.989436,-0.0120318,-0.0149603,-0.311186,-0.110588,-0.00579018,0.336309,0.130715,0,0,0,0,0,0,0,0,0,0
99,0.0820486,0.0561939,-0.0760874,1.40004,-0.0376106,0.0114417,0.826394,0.080358,0,0,0,0,0,0,0,0,0,0
100,0.985899,0.0133876,-0.0118108,-0.371614,0.0627875,-0.000919156,-0.578254,-0.0560633,0,0,0,0,0,0,0,0,0,0
101,0.730288,0.00812912,-0.0248032,-0.157762,0.0510859,0.00213392,-0.371569,0.0309096,0,0,0,0,0,0,0,0,0,0
102,1.47484,0.00737044,-0.0209456,-0.280809,0.0195583,-0.00377134,0.468316,0.0318395,0,0,0,0,0,0,0,0,0,0
103,-0.164691,-0.0192632,0.00917671,-0.0785616,-0.00253666,-0.000246523,-0.884997,-0.00930261,0,0,0,0,0,0,0,0,0,0
104,1.18813,-0.0186158,0.0151594,0.00485157,0.0295907,0.000193819,0.0588448,-0.0194261,0,0,0,0,0,0,0,0,0,0
105,-0.958201,0.0694818,-0.0339088,0.194108,-0.00943944,-0.000767904,-0.687136,-0.00505967,0,0,0,0,0,0,0,0,0,0
106,2.59842,0.114839,-0.0900758,1.67919,-0.0169368,-0.0098772,-0.365936,0.0736528,0,0,0,0,0,0,0,0,0,0
107,1.27902,0.0582477,0.190296,0.629168,-0.0113779,0.00670194,-0.191805,0.100584,0,0,0,0,0,0,0,0,0,0
108,0.00187324,0.0108544,-0.021077,-0.249965,0.00267465,-0.00151984,1.27416,0.168941,0,0,0,0,0,0,0,0,0,0
109,-0.283208,0.0312638,-0.0438822,-0.0675979,-0.0462394,0.00693086,-0.935133,0.2351,0,0,0,0,0,0,0,0,0,0
110,0.729939,-0.0326717,0.0222588,-0.0378555,-0.0534716,0.000289115,-0.212231,-0.0663039,0,0,0,0,0,0,0,0,0,0
111,2.91173,0.0372172,-0.0459841,-0.0193511,-0.0181555,-0.00229593,-0.165492,0.106842,0,0,0,0,0,0,0,0,0,0
112,0.539338,0.0353671,-0.0274307,-0.327321,-0.0618824,0.000856823,-0.965174,-0.10911,0,0,0,0,0,0,0,0,0,0
113,-0.62129,-0.0140524,0.0110204,0.0137861,0.0610098,0.00114225,-0.614795,-0.00631732,0,0,0,0,0,0,0,0,0,0
114,-0.135522,-0.0204847,-0.0200414,-0.543269,0.00390901,-0.00372313,-0.149057,0.0776329,0,0,0,0,0,0,0,0,0,0
115,-0.386471,-0.0165442,-0.0201377,-0.214594,-0.00419706,0.00400294,-0.0569171,0.110172,0,0,0,0,0,0,0,0,0,0
116,-1.29816,-0.0147461,-0.0137825,-0.408508,-0.0522107,-0.00285567,-0.881955,-0.0824682,0,0,0,0,0,0,0,0,0,0
117,1.67748,0.0270315,-0.0237686,-0.302752,0.0176764,-0.000969612,-0.277384,0.177459,0,0,0,0,0,0,0,0,0,0
118,0.100331,0.00866502,-0.0150583,-0.380209,0.0275872,0.0032689,-0.409882,-0.153769,0,0,0,0,0,0,0,0,0,0
119,-1.5098,0.0137043,-0.0324685,-0.464989,0.0112704,-0.000494511,0.585044,0.137806,0,0,0,0,0,0,0,0,0,0
120,2.16867,-0.251505,0.0635722,1.32081,0.0103825,0.00228692,-0.453976,0.114945,0,0,0,0,0,0,0,0,0,0
121,-1.08083,-0.0401195,0.0374296,0.0405795,-0.0139579,0.000556262,-1.1396,-0.153065,0,0,0,0,0,0,0,0,0,0
122,1.94253,0.0630119,-0.038429,0.0306114,-0.0117192,-0.00420839,0.155378,0.0470058,0,0,0,0,0,0,0,0,0,0
123,1.23062,-0.0134083,-0.0100018,-0.202683,0.0272639,0.00111957,-0.521491,-0.0406618,0,0,0,0,0,0,0,0,0,0
124,-1.60682,0.0527815,0.118049,1.77982,-0.0143525,0.00256002,-0.216297,-0.0342274,0,0,0,0,0,0,0,0,0,0
125,1.02659,0.0753536,-0.0337492,0.0890909,-0.0265886,-0.00150829,0.290489,0.124791,0,0,0,0,0,0,0,0,0,0
126,-2.5426,-0.0309793,-0.0438376,-0.673535,0.00447814,0.00103969,-0.462841,-0.0370358,0,0,0,0,0,0,0,0,0,0
127,1.12652,-0.0513186,0.217485,-0.160496,-0.0436305,-0.0029305,-0.294114,0.00889108,0,0,0,0,0,0,0,0,0,0
128,1.85686,-0.0438766,0.0152073,-0.210058,-0.0512125,-0.00142283,0.497841,-0.0210278,0,0,0,0,0,0,0,0,0,0
129,-2.43652,-0.000503241,0.00791222,-0.640665,-0.0093303,-0.00242518,-1.35368,0.0555408,0,0,0,0,0,0,0,0,0,0
130,0.268554,0.0360993,-0.0250974,-0.173566,-0.00770865,0.00341879,-0.0663816,0.0239785,0,0,0,0,0,0,0,0,0,0
131,1.39497,0.0365809,-0.0189471,0.0343455,-0.0806847,-0.0014295,0.695712,0.0879877,0,0,0,0,0,0,0,0,0,0
