b02_pop,1,-0.23595,-0.00090616,-0.0019113,-0.00042288,0.0023842,0.0067736,0.023005,0.00024734,0.0025361,0.0078582,0.0036484,-0.0020262,6.9197e-06,-0.0038957,0.002589,0.0042011,0.006614,0.00079659,0.0036961,-0.00063471,-0.004723,-0.0024816,-0.0014888,-0.00072687
b12_pop,-0.23595,1,0.00059035,0.0032566,-0.00026335,0.0083759,0.040724,-0.048153,0.0016906,-0.0063849,0.0061874,-0.020528,0.00045797,-7.619e-06,0.0094346,-0.0056576,-0.0036792,-0.012887,0.0034789,-0.005844,-0.00051602,0.00022925,0.0042821,-0.00012686,0.0051794
b03_pop,-0.00090616,0.00059035,1,-0.15489,0.00088481,-0.0013558,-0.00045292,-0.022068,-0.001415,0.0085865,-0.0011858,-0.0010256,-0.00046647,1.5112e-06,0.0057139,0.0022398,-0.00051309,0.0051235,-0.011113,0.013782,0.0015554,0.012057,-0.0012716,-0.0060837,-0.00075344
b13_pop,-0.0019113,0.0032566,-0.15489,1,-0.0010105,0.0040491,-0.023998,0.068775,0.05374,-0.03014,0.026697,-0.013755,-0.01176,-6.4146e-06,0.0080535,-0.020422,0.0020189,-0.0018935,0.012625,-0.039724,-7.1352e-05,-0.012056,0.0012516,0.010858,0.0028546
b04_pop,-0.00042288,-0.00026335,0.00088481,-0.0010105,1,-0.10045,-0.0032376,0.00030522,-0.0026941,-0.002141,-0.0056105,0.004482,0.0040434,1.446e-06,-0.0023417,0.00654,-0.0019971,0.0031442,-0.00074434,0.0029075,0.0046275,0.00608,0.00071477,-0.0021095,-0.0029702
b14_pop,0.0023842,0.0083759,-0.0013558,0.0040491,-0.10045,1,-0.0044053,-0.01552,-0.025924,0.023055,-0.0090748,0.01729,0.0092743,3.6073e-05,-0.015311,0.046408,0.0076653,-0.0052239,-0.0016021,-0.011706,-0.0075621,-0.081148,-0.0044714,0.0027481,0.036907
p1_pop,0.0067736,0.040724,-0.00045292,-0.023998,-0.0032376,-0.0044053,1,-0.076449,0.10496,-0.18541,0.51755,-0.76871,0.0048087,-9.4196e-05,0.27684,-0.24486,0.022226,0.0056539,0.019897,0.021619,0.0037727,-0.0082031,-0.0085367,-0.028248,-0.001627
g1_pop,0.023005,-0.048153,-0.022068,0.068775,0.00030522,-0.01552,-0.076449,1,0.02847,-0.0083249,0.23645,-0.068577,-0.013787,4.6714e-05,0.02596,-0.10824,0.006448,0.029973,-0.0033925,0.044792,0.0018198,-0.0035407,-0.0056894,-0.004326,-0.0016085
p2_pop,0.00024734,0.0016906,-0.001415,0.05374,-0.0026941,-0.025924,0.10496,0.02847,1,-0.11048,0.13307,-0.12214,-0.051574,-0.00020964,0.16194,-0.064964,0.0064023,0.0035811,0.0029346,0.011455,0.0011206,0.0019678,-0.002151,-0.0030667,-0.0013071
g2_pop,0.0025361,-0.0063849,0.0085865,-0.03014,-0.002141,0.023055,-0.18541,-0.0083249,-0.11048,1,-0.15439,0.22315,0.031324,9.2302e-05,-0.65183,0.12861,-0.0063119,-0.0068594,-0.013791,-0.0092366,-0.0024334,5.2829e-05,0.0030389,0.020666,0.0013157
