parameter,value,se_sa,rse_sa,pvalue_sa
b0_pop,0.829637680653698,0.0939576080491523,11.3251374955776,
b1_pop,-0.354941522906508,0.793600650813896,223.586309179986,
b2_pop,-0.772530133928847,0.456249533766311,59.0591245219093,
a_pop,0.0358657065142336,0.157820354248589,440.031354703571,
h1_pop,0.00106218582142814,0.000454529703612725,42.7919196851635,
h2_pop,0.121313132070741,0.0252077021688249,20.7790382941606,
alpha1_pop,5.7796071561525e-09,nan,nan,
alpha2_pop,-0.448900119970686,0.430742763499762,95.9551455517299,
hcov1_pop,0,,,
beta_hcov1_score4C,0.233681857934126,0.0467543268425003,20.0076836327107,5.790401460537e-07
hcov2_pop,0,,,
beta_hcov2_score4C,-0.134778300764403,0.0270334908424114,20.0577471960171,6.17682979431322e-07
omega_b0,0.108305088574256,0.0878602071336856,81.1228800883595,
omega_b1,0.42180656562756,0.31997679812871,75.8586575466534,
omega_b2,0.340339013877159,0.190773964134599,56.0540979305584,
omega_a,3.62986715202365,1.10805521177459,30.5260541327758,
e_b,1.18079368856973,0.0855379302212015,7.24410462633924,
