rep,id,b01,b11,b21,a1,b02,b12,b03,b13,b05,b15,b07,b17,p1,g1,p2,g2,alpha11,alpha12,alpha13,alpha15,alpha17,alpha21,alpha22,alpha23,alpha25,alpha27,eta_b01,eta_b11,eta_b21,eta_a1,eta_b02,eta_b12,eta_b03,eta_b13,eta_b05,eta_b15,eta_b07,eta_b17,eta_p1,eta_g1,eta_p2,eta_g2,eta_alpha11,eta_alpha12,eta_alpha13,eta_alpha15,eta_alpha17,eta_alpha21,eta_alpha22,eta_alpha23,eta_alpha25,eta_alpha27
1,1,7.39808964300366,-0.163231676123757,-0.0929316789494998,5.62557443587378,7.39216253847195,0.00699224583670822,4.43107240533423,-0.041665554475831,5.8458156651463,-0.134344695950963,309.735159320559,-2.11507104428043,0.0217568520079179,0.134954664813898,0.715836388422772,0.153596439649261,0.182882740050341,-13.2574898752256,0.792578326812508,-1.66756490810348e-12,0.00136296774974172,-0.132765932516112,-1.48732215935468e-10,-0.199748425846422,6.10078895640652e-10,-0.00148974653951937,2.62385162739466,-0.0486802380884846,0.0255600043480908,0.18724869263733,-0.00656011253325772,0.00392152156891275,0.279547836615662,0.11820825635382,-1.09280941234333,-0.0903195245203533,-22.0884140608323,2.9260604578925,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,4.54083880180595,-0.13434328357963,-0.0906500760515611,6.64365056795226,7.43992514495445,0.00423077774037193,5.21407556301321,-0.290850314994234,6.98911005080252,-0.00475276641725327,369.16210978247,1.37555302070147,0.0217568520079179,0.134954664813898,0.715836388422772,0.153596439649261,0.182882740050341,-13.2574898752256,0.792578326812508,-1.66756490810348e-12,0.00136296774974172,-0.132765932516112,-1.48732215935468e-10,-0.199748425846422,6.10078895640652e-10,-0.00148974653951937,-0.233399213803047,-0.0197918455443575,0.0278416072460295,0.353587224570286,0.0412024939492479,0.00116005347257647,1.06255099429464,-0.130976504164582,0.0504849733128969,0.0392724050133567,37.3385364010784,6.4166845228744,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,3.40965051405676,-0.124275937720804,-0.0682119815212072,3.96738854640311,7.47265076857108,-0.00672441804375463,4.09967459912025,-0.0730025486739706,6.19928540854477,0.0517006727763713,384.015359122638,-8.89691712200638,0.0217568520079179,0.134954664813898,0.715836388422772,0.153596439649261,0.182882740050341,-13.2574898752256,0.792578326812508,-1.66756490810348e-12,0.00136296774974172,-0.132765932516112,-1.48732215935468e-10,-0.199748425846422,6.10078895640652e-10,-0.00148974653951937,-1.36458750155223,-0.00972449968553116,0.0502797017763834,-0.16196629079216,0.0739281175658739,-0.0097951423115501,-0.0518499695983161,0.0868712621556808,-0.739339668944853,0.0957258442069812,52.1917857412464,-3.85578561983344,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1.68468512403707,-0.210233748541266,-0.0885042766258953,6.14209167629102,7.38083555872704,0.00134745639994131,3.77360824981687,-0.056488621977661,5.95199015449325,0.015252905119047,134.084829680243,-4.32350025730336,0.0217568520079179,0.134954664813898,0.715836388422772,0.153596439649261,0.182882740050341,-13.2574898752256,0.792578326812508,-1.66756490810348e-12,0.00136296774974172,-0.132765932516112,-1.48732215935468e-10,-0.199748425846422,6.10078895640652e-10,-0.00148974653951937,-3.08955289157193,-0.0956823105059932,0.0299874066716953,0.275090975865147,-0.0178870922781655,-0.00172326786785416,-0.37791631890169,0.10338518885199,-0.986634922996371,0.0592780765496569,-197.738743701149,0.717631244869578,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,1.98342736600114,-0.269102938954457,-0.123074274172274,5.81593343479332,7.35993772906667,0.00121192848653772,4.2993836427615,-0.280019229811354,5.90507702938878,-0.101629028031242,100.894913940996,1.13428540389066,0.0217568520079179,0.134954664813898,0.715836388422772,0.153596439649261,0.182882740050341,-13.2574898752256,0.792578326812508,-1.66756490810348e-12,0.00136296774974172,-0.132765932516112,-1.48732215935468e-10,-0.199748425846422,6.10078895640652e-10,-0.00148974653951937,-2.79081064960786,-0.154551500919185,-0.00458259087468336,0.220526922806697,-0.0387849219385368,-0.00185879578125775,0.147859074042933,-0.120145418981702,-1.03354804810084,-0.0576038566006317,-230.928659440396,6.1754169060636,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2,1.40665742359687,-0.0679643603947412,-0.124028470825143,2.07904821291932,7.37281909914392,0.00517819652395488,5.39641912466728,-0.317803472447084,6.88078995743301,-0.120807093836564,302.361156314867,-11.3053753539563,0.0217568520079179,0.134954664813898,0.715836388422772,0.153596439649261,0.182882740050341,-13.2574898752256,0.792578326812508,-1.66756490810348e-12,0.00136296774974172,-0.132765932516112,-1.48732215935468e-10,-0.199748425846422,6.10078895640652e-10,-0.00148974653951937,-3.36758059201213,0.0465870776405312,-0.00553678752755264,-0.808164173127816,-0.0259035518612896,0.00210747225615941,1.24489455594871,-0.157929661617432,-0.0578351200566116,-0.0767819224059545,-29.4624170665252,-6.26424385178337,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,6.40207453412585,-0.219027049908187,-0.166281244698984,4.72680073054054,7.40415468473176,0.00501415717582943,4.20961888175883,-0.226446987793524,7.08036810151724,-0.0509862243740503,389.63510134238,-8.68903362184245,0.0217568520079179,0.134954664813898,0.715836388422772,0.153596439649261,0.182882740050341,-13.2574898752256,0.792578326812508,-1.66756490810348e-12,0.00136296774974172,-0.132765932516112,-1.48732215935468e-10,-0.199748425846422,6.10078895640652e-10,-0.00148974653951937,1.62783651851685,-0.104475611872914,-0.0477895614013931,0.0131742231634082,0.0054320337265592,0.00194343290803396,0.058094313040268,-0.0665731769638724,0.141743024027615,-0.00696105294344036,57.8115279609885,-3.64790211966951,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,6.03532755505932,-0.0824226593736962,-0.0476955580669619,5.07145300139562,7.43265037134108,-0.00158315014305497,3.21789588888392,-0.0885079986780993,7.10397288227832,-0.0412644541635996,438.001886856049,-11.1806787371883,0.0217568520079179,0.134954664813898,0.715836388422772,0.153596439649261,0.182882740050341,-13.2574898752256,0.792578326812508,-1.66756490810348e-12,0.00136296774974172,-0.132765932516112,-1.48732215935468e-10,-0.199748425846422,6.10078895640652e-10,-0.00148974653951937,1.26108953945032,0.0321287786615762,0.0707961252306287,0.0835529924188732,0.0339277203358783,-0.00465387441085043,-0.93362867983464,0.0713658121515522,0.165347804788699,0.00276071726701033,106.178313474657,-6.13954723501532,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,6.52254145084462,-0.247415207940603,-0.0815828186730683,4.24871593757856,7.40675659009053,0.00193660730093421,3.62661864970217,-0.138879977681153,6.65486360138978,0.0780904416407907,400.793427248295,7.98624284907833,0.0217568520079179,0.134954664813898,0.715836388422772,0.153596439649261,0.182882740050341,-13.2574898752256,0.792578326812508,-1.66756490810348e-12,0.00136296774974172,-0.132765932516112,-1.48732215935468e-10,-0.199748425846422,6.10078895640652e-10,-0.00148974653951937,1.74830343523562,-0.13286376990533,0.0369088646245223,-0.0934575672214804,0.00803393908532612,-0.00113411696686126,-0.524905919016398,0.0209938331484982,-0.283761476099841,0.122115613071401,68.9698538669035,13.0273743512513,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,5.69594440406312,-0.165528025382142,-0.0587148044317858,14.4298243354958,7.41118961476943,0.00927507693704788,2.0679840852017,-0.0273031333562065,6.32557407989879,-0.0372901868753902,400.052179380711,-6.07426800148601,0.0217568520079179,0.134954664813898,0.715836388422772,0.153596439649261,0.182882740050341,-13.2574898752256,0.792578326812508,-1.66756490810348e-12,0.00136296774974172,-0.132765932516112,-1.48732215935468e-10,-0.199748425846422,6.10078895640652e-10,-0.00148974653951937,0.921706388454117,-0.0509765873468696,0.0597768788658048,1.12922282697719,0.0124669637642283,0.00620435266925241,-2.08354048351687,0.132570677473445,-0.613050997590839,0.00673498455521974,68.2286059993187,-1.03313649931307,0,0,0,0,0,0,0,0,0,0,0,0,0,0
