parameter,value
b01_pop,4.56656870725847
b11_pop,-0.142831063605598
b21_pop,-0.168338885391578
a1_pop,4.45888456742095
b02_pop,7.40070816041393
b12_pop,0.00265028841732069
b03_pop,4.14796627278686
b13_pop,-0.135638631199894
p1_pop,0.0394468209519909
g1_pop,0.0674117005616791
p2_pop,0.732140090168987
g2_pop,0.115275226836765
alpha11_pop,0.121439946903149
alpha12_pop,-12.9388784056598
alpha13_pop,0.687574735841972
alpha21_pop,-0.0811241291740435
alpha22_pop,-3.20720067557276e-05
alpha23_pop,-0.171499359436108
omega_b01,2.05561308713996
omega_b11,0.107602962361266
omega_b21,0.0759975550997549
omega_a1,0.858435410855493
omega_b02,0.0397769147442075
omega_b12,0.00501227330489134
omega_b03,0.867668896126691
omega_b13,0.141063823160889
b_1,0.310634930977923
a_2,0.0490753247453447
a_3,0.685580104320435
