rep,id,b0,b1,b2,a,h1,h2,alpha1,alpha2,hcov1,hcov2,score4C
1,1,74.7511039599141,-2.48483785417063,-4.69938113528972,4.46682571487834,0.00109650932171705,0.107564097724458,0.00685089712270481,3.66101357469093e-05,2.5498800716111,-1.38865821998192,11
2,1,77.3035904576433,-4.23047002796635,-3.00246485855185,28.9487475550898,0.00109650932171705,0.107564097724458,0.00685089712270481,3.66101357469093e-05,2.5498800716111,-1.38865821998192,11
3,1,75.5657480485527,-3.47405201768124,-4.77881489005857,8.25535768643837,0.00109650932171705,0.107564097724458,0.00685089712270481,3.66101357469093e-05,2.5498800716111,-1.38865821998192,11
4,1,76.6373724929514,-5.39714453362121,-1.8556441468754,1.55203538694428,0.00109650932171705,0.107564097724458,0.00685089712270481,3.66101357469093e-05,2.5498800716111,-1.38865821998192,11
5,1,74.1667269066626,-3.59170554248439,-1.13551852239284,2.94539274786479,0.00109650932171705,0.107564097724458,0.00685089712270481,3.66101357469093e-05,2.5498800716111,-1.38865821998192,11
6,1,75.3908458220985,-4.35911593374646,-6.97088762156928,13.2797623063356,0.00109650932171705,0.107564097724458,0.00685089712270481,3.66101357469093e-05,2.5498800716111,-1.38865821998192,11
7,1,75.7734497065472,-5.08419503243274,-4.75439399652981,3.3859092062138,0.00109650932171705,0.107564097724458,0.00685089712270481,3.66101357469093e-05,2.5498800716111,-1.38865821998192,11
8,1,76.6676366019478,-3.78398890362162,-6.24919500571953,7.61412790659957,0.00109650932171705,0.107564097724458,0.00685089712270481,3.66101357469093e-05,2.5498800716111,-1.38865821998192,11
9,1,75.2912653128963,-8.54637691918491,-4.41503591147736,3.62317186413872,0.00109650932171705,0.107564097724458,0.00685089712270481,3.66101357469093e-05,2.5498800716111,-1.38865821998192,11
10,1,76.5036183111325,-3.93570297762672,-2.88395033421531,19.4143013278622,0.00109650932171705,0.107564097724458,0.00685089712270481,3.66101357469093e-05,2.5498800716111,-1.38865821998192,11
1,2,86.9914061296635,-5.04292957395653,-6.23909053541035,35.7413253542058,0.00109650932171705,0.107564097724458,0.00685089712270481,3.66101357469093e-05,1.15903639618686,-0.631208281809964,5
2,2,87.387545541219,-6.9451829580672,-5.06472754589263,6.00457332635659,0.00109650932171705,0.107564097724458,0.00685089712270481,3.66101357469093e-05,1.15903639618686,-0.631208281809964,5
3,2,89.2215188638233,-3.63108961011111,-2.4266373865395,7.29579438752338,0.00109650932171705,0.107564097724458,0.00685089712270481,3.66101357469093e-05,1.15903639618686,-0.631208281809964,5
4,2,85.7454400341162,-1.45136852774067,-2.79445752138428,13.0717860828101,0.00109650932171705,0.107564097724458,0.00685089712270481,3.66101357469093e-05,1.15903639618686,-0.631208281809964,5
5,2,88.5692828840087,-3.13234377555313,-3.67622432517316,14.5343533569351,0.00109650932171705,0.107564097724458,0.00685089712270481,3.66101357469093e-05,1.15903639618686,-0.631208281809964,5
6,2,85.9856849888109,-3.62506599308155,-3.99252625266614,13.4077339466298,0.00109650932171705,0.107564097724458,0.00685089712270481,3.66101357469093e-05,1.15903639618686,-0.631208281809964,5
7,2,87.1472037040983,-2.47898081464307,-4.10018980485494,28.2433864386126,0.00109650932171705,0.107564097724458,0.00685089712270481,3.66101357469093e-05,1.15903639618686,-0.631208281809964,5
8,2,89.0525845932447,-3.01499231111563,-3.86930313576535,12.4918348975708,0.00109650932171705,0.107564097724458,0.00685089712270481,3.66101357469093e-05,1.15903639618686,-0.631208281809964,5
9,2,89.1375610590626,-4.82340066993193,-6.48057328404349,16.1339110225172,0.00109650932171705,0.107564097724458,0.00685089712270481,3.66101357469093e-05,1.15903639618686,-0.631208281809964,5
10,2,89.4109065160002,-8.04156665333694,-1.22865968393132,2.9754130558489,0.00109650932171705,0.107564097724458,0.00685089712270481,3.66101357469093e-05,1.15903639618686,-0.631208281809964,5
1,3,87.6457351918005,-2.75969181685135,-6.40714194714355,3.97999265522151,0.00109650932171705,0.107564097724458,0.00685089712270481,3.66101357469093e-05,1.39084367542423,-0.757449938171957,6
2,3,87.3939990211529,-3.3358521517794,-4.18844893249755,3.34295347573737,0.00109650932171705,0.107564097724458,0.00685089712270481,3.66101357469093e-05,1.39084367542423,-0.757449938171957,6
3,3,88.4794686342906,-3.09603917800466,-6.29034773167667,11.9819373822387,0.00109650932171705,0.107564097724458,0.00685089712270481,3.66101357469093e-05,1.39084367542423,-0.757449938171957,6
4,3,90.191811354417,-1.69369149103612,-2.57709192606371,15.108713241976,0.00109650932171705,0.107564097724458,0.00685089712270481,3.66101357469093e-05,1.39084367542423,-0.757449938171957,6
5,3,88.0181345582139,-2.42190954593158,-4.84622198406164,3.82952312980848,0.00109650932171705,0.107564097724458,0.00685089712270481,3.66101357469093e-05,1.39084367542423,-0.757449938171957,6
6,3,88.6571954393967,-4.64048988142599,-8.19455155345409,12.6286960260898,0.00109650932171705,0.107564097724458,0.00685089712270481,3.66101357469093e-05,1.39084367542423,-0.757449938171957,6
7,3,88.2976323122029,-2.14286708270685,-3.46737759523025,18.1227107947908,0.00109650932171705,0.107564097724458,0.00685089712270481,3.66101357469093e-05,1.39084367542423,-0.757449938171957,6
8,3,91.2031109186511,-3.96077590347767,-6.24760049471682,13.792274718142,0.00109650932171705,0.107564097724458,0.00685089712270481,3.66101357469093e-05,1.39084367542423,-0.757449938171957,6
9,3,88.7396352536046,-4.03918519801079,-6.60898000371702,10.8048152635142,0.00109650932171705,0.107564097724458,0.00685089712270481,3.66101357469093e-05,1.39084367542423,-0.757449938171957,6
