rep,id,b01,b11,b21,a1,b02,b12,b03,b13,b05,b15,b06,b16,b07,b17,p1,g1,p2,g2,alpha11,alpha12,alpha13,alpha15,alpha16,alpha17,alpha21,alpha22,alpha23,alpha25,alpha26,alpha27
1,1,5.10172446444853,0.00760775215367096,-0.107071110212386,6.56997101909931,7.37448694855947,0.000400969657794046,3.26610683339802,0.00681765931866184,7.22190555187249,0.0406594071868645,4.75479178796163,-0.210335141059961,355.034637299848,-1.12273976240935,0.0440350327076652,0.11073353325572,0.72584045159256,0.130135693315275,0.130319003494243,-10.1546645796979,0.677499703532151,3.28691827946065e-10,4.02115048549551e-13,-3.19970726148298e-06,-0.0820281363529196,4.04667997047131,-0.19059650083688,-0.138944282998719,0.137311321011644,2.65769382300248e-09
2,1,5.90709895238505,-0.0146498033462152,-0.110381868700344,6.5922783622798,7.38512813294216,0.00329547323534077,3.58904691170452,-0.0510846108028134,6.79389611209144,-0.0119282566169812,4.58857836394189,-0.179493128754944,415.284043539286,-0.748894096908831,0.0440350327076652,0.11073353325572,0.72584045159256,0.130135693315275,0.130319003494243,-10.1546645796979,0.677499703532151,3.28691827946065e-10,4.02115048549551e-13,-3.19970726148298e-06,-0.0820281363529196,4.04667997047131,-0.19059650083688,-0.138944282998719,0.137311321011644,2.65769382300248e-09
3,1,5.01008903683356,-0.0314814442225414,-0.167424517275382,7.65548193296945,7.39594721878363,0.00241530740263744,3.5135269720021,-0.0707468967459191,7.74295355940131,0.00337942211091408,4.88199484252174,-0.217426083138502,442.731929399227,-2.33227590289647,0.0440350327076652,0.11073353325572,0.72584045159256,0.130135693315275,0.130319003494243,-10.1546645796979,0.677499703532151,3.28691827946065e-10,4.02115048549551e-13,-3.19970726148298e-06,-0.0820281363529196,4.04667997047131,-0.19059650083688,-0.138944282998719,0.137311321011644,2.65769382300248e-09
1,2,2.0012059711672,-0.178862813474224,-0.0956124766254246,13.2470463632833,7.37626314968715,-0.00587713863497659,3.99305104016218,-0.0566265974121278,6.8919438668727,-0.0491520243854878,6.08186480669789,-0.0779123447791513,342.545586057118,-2.59211182445424,0.0440350327076652,0.11073353325572,0.72584045159256,0.130135693315275,0.130319003494243,-10.1546645796979,0.677499703532151,3.28691827946065e-10,4.02115048549551e-13,-3.19970726148298e-06,-0.0820281363529196,4.04667997047131,-0.19059650083688,-0.138944282998719,0.137311321011644,2.65769382300248e-09
2,2,1.86593755965373,-0.230502915607716,-0.070435555220494,6.38396180812035,7.37449568981822,-0.00500938304811588,3.67778493350754,-0.0575026445781773,6.57927091255127,-0.0336088298173094,5.29344676912316,-0.0510027355899972,381.287715247267,-4.84053650733432,0.0440350327076652,0.11073353325572,0.72584045159256,0.130135693315275,0.130319003494243,-10.1546645796979,0.677499703532151,3.28691827946065e-10,4.02115048549551e-13,-3.19970726148298e-06,-0.0820281363529196,4.04667997047131,-0.19059650083688,-0.138944282998719,0.137311321011644,2.65769382300248e-09
3,2,1.73031306260642,-0.164877431118511,-0.102463812176793,14.6539299525323,7.40638406615588,-0.00670330611559412,3.91511732066068,-0.0537162215846517,6.94176089587995,-0.0182177726414054,5.0442900425218,-0.0234863554944417,308.419817285163,0.00974643824966637,0.0440350327076652,0.11073353325572,0.72584045159256,0.130135693315275,0.130319003494243,-10.1546645796979,0.677499703532151,3.28691827946065e-10,4.02115048549551e-13,-3.19970726148298e-06,-0.0820281363529196,4.04667997047131,-0.19059650083688,-0.138944282998719,0.137311321011644,2.65769382300248e-09
1,3,3.53979677518001,-0.074609504030765,-0.100483915482065,2.60278625202514,7.41961358902109,-0.00539172750628134,5.07871422338018,-0.619545212005013,6.53711676562911,0.0495699244381302,6.38059093131599,-0.0536818436103234,449.984724433488,-6.95870161985575,0.0440350327076652,0.11073353325572,0.72584045159256,0.130135693315275,0.130319003494243,-10.1546645796979,0.677499703532151,3.28691827946065e-10,4.02115048549551e-13,-3.19970726148298e-06,-0.0820281363529196,4.04667997047131,-0.19059650083688,-0.138944282998719,0.137311321011644,2.65769382300248e-09
2,3,4.17643166350432,-0.195965299632713,-0.126308271632272,2.42610929914229,7.38092070035632,0.00634833712184774,3.44113556716894,-0.0550675084356227,7.28172354105566,-0.0722514779064418,6.18485884374007,-0.192647682741274,348.419239929904,-8.39641373485805,0.0440350327076652,0.11073353325572,0.72584045159256,0.130135693315275,0.130319003494243,-10.1546645796979,0.677499703532151,3.28691827946065e-10,4.02115048549551e-13,-3.19970726148298e-06,-0.0820281363529196,4.04667997047131,-0.19059650083688,-0.138944282998719,0.137311321011644,2.65769382300248e-09
3,3,4.1619968348364,-0.0951971385042176,-0.149054169746949,1.63966049523525,7.41514839523859,0.0011268693870728,4.01940582427403,-0.118035834537388,7.50206303664173,-0.00997792250586992,5.58530721887767,-0.0650615104202763,437.034643633896,5.03398085941988,0.0440350327076652,0.11073353325572,0.72584045159256,0.130135693315275,0.130319003494243,-10.1546645796979,0.677499703532151,3.28691827946065e-10,4.02115048549551e-13,-3.19970726148298e-06,-0.0820281363529196,4.04667997047131,-0.19059650083688,-0.138944282998719,0.137311321011644,2.65769382300248e-09
1,4,3.13504310121316,-0.178915289166451,-0.15730181989547,2.39563753294732,7.40957184021246,0.000942432826235902,4.53485047115509,-0.24958418862854,7.20137059501644,-0.0811498544217689,5.4926671944397,-0.153759361646821,91.0142960370999,-6.2869315646958,0.0440350327076652,0.11073353325572,0.72584045159256,0.130135693315275,0.130319003494243,-10.1546645796979,0.677499703532151,3.28691827946065e-10,4.02115048549551e-13,-3.19970726148298e-06,-0.0820281363529196,4.04667997047131,-0.19059650083688,-0.138944282998719,0.137311321011644,2.65769382300248e-09
