parameter,value,se_sa,rse_sa,pvalue_sa
b02_pop,6.07918833130699,0.112421900736258,1.84929129695325,
b12_pop,-0.0490423317999926,0.0151751611946479,30.9429846373051,
b03_pop,4.24258359433772,0.0602231717706368,1.41949287342299,
b13_pop,-0.15771551646709,0.012955881481268,8.21471581965206,
b05_pop,4.41914507737477,0.0400708856017556,0.906756508332603,
b15_pop,0.0110408217153384,0.00531288116515979,48.1203419649366,
b06_pop,94.3229991859967,0.472876104760492,0.501337010953206,
b16_pop,-0.0146517018463262,0.0313081970711163,213.68300692637,
h1_pop,0.000284037132614665,0.000503980559793775,177.434744237294,
h2_pop,0.0972950064920823,0.0476200474435225,48.943978895153,
alpha12_pop,1.31141332383526,0.406916224899296,31.0288310712948,
alpha13_pop,0.78898297611688,0.297128318212265,37.6596615144517,
alpha15_pop,-8.96983612052639e-17,3.16808431284521,3.53193109692989e+18,
alpha16_pop,-0.925648100260289,0.516229033035497,55.7694692929565,
alpha22_pop,-0.696551594866926,0.178708496402449,25.6561750370539,
alpha23_pop,-0.475522104236571,0.104012419375277,21.87330903203,
alpha25_pop,-3.36722416654232,1.20669342262888,35.8364445889561,
alpha26_pop,0.348884768920929,0.289052700476209,82.850478503325,
hcov1_pop,0,,,
beta_hcov1_score4C,4.37929705132703e-16,1.95357196985113e-11,4460925.91334756,0.999982113924861
hcov2_pop,0,,,
beta_hcov2_score4C,-0.143282348352996,0.0339807570885797,23.7159409230672,2.48042837847073e-05
omega_b02,1.16394977958853,0.0998315736196966,8.57696572226581,
omega_b12,0.098578263517779,0.0193093287837148,19.5878159085571,
omega_b03,0.95998915880537,0.0475924895352828,4.95760697907337,
omega_b13,0.170346878295249,0.0100652269002215,5.9086653074888,
omega_b05,0.269297188006599,0.0487231403481826,18.0927029757877,
omega_b15,0.0173998058926764,0.00914056558075153,52.5325721282834,
omega_b06,2.11180151468819,0.521125601279516,24.6768267592829,
omega_b16,0.0836353552805383,0.0600598644062152,71.811573233301,
b_2,0.281255326395564,0.00762166578592932,2.70987429237519,
a_3,0.692020182101058,0.0126026941671943,1.82114546557457,
b_5,0.237451221632983,0.00458388465755137,1.9304531794056,
a_6,6.17733554209764,0.140761070040215,2.27866964779472,
