rep,id,eta_b02,eta_b12,eta_b03,eta_b13,eta_b05,eta_b15,eta_p1,eta_g1,eta_p2,eta_g2,eta_alpha12,eta_alpha13,eta_alpha15,eta_alpha22,eta_alpha23,eta_alpha25
1,1,-0.0119077323663115,-0.0110044840036806,0.229042334049746,0.0699906566850466,0.746153467052637,-0.0788552184131447,0,0,0,0,0,0,0,0,0,0
2,1,-0.0186030102731287,-0.00509126066890034,0.362321657870653,0.038958268762096,-0.222695546682536,0.0167560550891545,0,0,0,0,0,0,0,0,0,0
3,1,-0.0380817186435722,0.00192871087595131,0.272263551938152,0.034670766269635,-0.329192639360008,-0.0632525113011868,0,0,0,0,0,0,0,0,0,0
1,2,0.0433860545002327,-0.00430192082141387,0.232307690851206,0.0785093767472215,0.664066631945433,-0.081878553447825,0,0,0,0,0,0,0,0,0,0
2,2,0.00773105940075691,0.00229488419917719,-0.348838713020151,0.267313509318769,0.57125753571312,0.0169812767610438,0,0,0,0,0,0,0,0,0,0
3,2,0.0710022208986762,-0.00257441011888331,-0.113043021115477,0.18359927127376,0.260835869877935,0.0501311884895575,0,0,0,0,0,0,0,0,0,0
1,3,-0.0304027012930472,0.00063166108260706,-0.107234443675714,0.0314846540049655,-0.293714397265389,0.102208737212574,0,0,0,0,0,0,0,0,0,0
2,3,0.0235681956042768,0.00306598293696354,-1.00948551831531,0.303724206446423,0.442469728443671,0.0787950515236586,0,0,0,0,0,0,0,0,0,0
3,3,0.0216440563051981,0.00127845660232479,-0.384968301262183,-0.037294490802492,0.161157128507496,0.0011679972146076,0,0,0,0,0,0,0,0,0,0
1,4,0.0472555041650526,0.00699804132406089,-0.00883817491417815,-0.105775113736803,0.87262263369001,0.0301121369183491,0,0,0,0,0,0,0,0,0,0
2,4,-0.0145888175626707,0.00727156877750581,0.0135679485087969,0.00761037384482813,1.26357471525112,-0.128871524672459,0,0,0,0,0,0,0,0,0,0
3,4,0.0604069888967862,-0.00258736298060997,-0.453181706385429,0.112997149926306,1.19359494227847,-0.0511482980089772,0,0,0,0,0,0,0,0,0,0
