parameter,value,se_sa,rse_sa
b01_pop,4.40298414881257,0.144715702243534,3.2867640979939
b11_pop,-0.123528640390275,0.0172559525077278,13.9691916410717
b21_pop,-0.129339498721392,0.0176318473099894,13.6322217762493
a1_pop,5.49967500589507,1.0537167127114,19.159617824361
b02_pop,7.40028482160658,0.00292626409124681,0.0395425873704619
b12_pop,0.00293051240472217,0.000494215106188496,16.8644604742887
b03_pop,4.19727970294663,0.0593605625613521,1.41426273116083
b13_pop,-0.161326472951718,0.0131233735754991,8.13466837487151
b04_pop,5.22956362914424,0.104401944829016,1.9963796643985
b14_pop,0.0193083143408462,0.00835991497612318,43.2969695259105
b05_pop,6.99335604832349,0.0509959817570455,0.729206140866669
b15_pop,-0.0466850732079219,0.00873362998452451,18.7075426563592
p1_pop,0.0287448617587985,0.0173264450324818,60.2766684977301
g1_pop,0.0932999856840553,0.030541523058996,32.7347564258153
p2_pop,0.761015655517485,0.0249204928762864,3.27463603351768
g2_pop,0.166379934151186,0.0173298983196193,10.4158583834226
alpha11_pop,0.186578974519696,0.0663606789221099,35.5670723847314
alpha12_pop,-20.1701302362415,4.62313088081316,22.9206793742282
alpha13_pop,0.626300381579935,0.162721314234266,25.9813532004846
alpha14_pop,-4.03792313625005e-08,5.63029723287818e-06,13943.5473209798
alpha15_pop,-0.357956592232119,0.132203174662029,36.9327392010428
alpha21_pop,-0.0761462250125158,0.013115638796613,17.2242797255639
alpha22_pop,5.62654031603544,1.25036162657941,22.2225658459413
alpha23_pop,-0.176933795844003,0.0615323872361699,34.7770684185294
alpha24_pop,5.7349827584597e-10,1.64749498572855e-07,28727.1131425517
alpha25_pop,4.02746644853902e-13,3.19270081640475e-10,79273.1822151594
omega_b01,2.13418893981798,0.110595572625446,5.18208910945243
omega_b11,0.0787898386895824,0.0118530856895562,15.0439268396717
omega_b21,0.0653610398932574,0.0126613832353478,19.3714531715306
omega_a1,0.969009435668241,0.189546840696704,19.5608869965224
omega_b02,0.0395934772161283,0.00249367462805744,6.29819557005629
omega_b12,0.00528352747980872,0.000411014339087918,7.77916535228844
omega_b03,0.880288637116618,0.04905088701477,5.57213679088667
omega_b13,0.161136690814282,0.0105003131216335,6.51640111794006
omega_b04,1.72313234875995,0.0768383572212686,4.459225507348
omega_b14,0.0844821981019551,0.00693693500863387,8.21112040700245
omega_b05,0.769607660596598,0.0414623605800018,5.38746723854857
omega_b15,0.0990982231898125,0.00703354390730635,7.09754794880058
b_1,0.311385191243434,0.00684571251809747,2.19847080420265
a_2,0.0499328026757062,0.000816814664511126,1.63582779403755
a_3,0.723289970695012,0.0141479053974604,1.95604888366772
a_4,0.679662319887746,0.017043455250168,2.50763574078711
b_5,0.0772180155321111,0.00199334552958887,2.58145138262449
