rep,id,eta_b02,eta_b12,eta_b03,eta_b13,eta_p1,eta_g1,eta_p2,eta_g2,eta_alpha12,eta_alpha13,eta_alpha22,eta_alpha23
1,1,-0.0530084481388595,-0.0038782844239894,0.876475486654263,-0.408574939197079,0,0,0,0,0,0,0,0
2,1,-0.0723171267349523,0.00799050812817304,0.153292035726161,0.202988354111483,0,0,0,0,0,0,0,0
3,1,-0.0788725126953462,0.00510786152067749,0.113031291825139,-0.036101153013129,0,0,0,0,0,0,0,0
1,2,-0.0247750016567263,0.0038288113482505,1.99884658265053,-0.0421781079481185,0,0,0,0,0,0,0,0
2,2,0.0314449019607048,0.00106052298277874,1.84687038348086,-0.0739575523312718,0,0,0,0,0,0,0,0
3,2,0.035402272430594,0.00659219979829021,2.04685394509954,0.0121582646188899,0,0,0,0,0,0,0,0
1,3,0.0112046264081256,-0.00484717370639887,0.0251376499137779,0.115311207881247,0,0,0,0,0,0,0,0
2,3,0.0244540386411929,0.00435444778901449,0.249346906062387,-0.158542731230672,0,0,0,0,0,0,0,0
3,3,0.0250591905108202,0.00516606792905936,-0.920383338724055,-0.00052896348116635,0,0,0,0,0,0,0,0
1,4,0.000956261985772144,0.00374785195035444,0.077913199493552,-0.235624413962656,0,0,0,0,0,0,0,0
2,4,0.019870797630853,-0.00276380969730368,-0.15579148613485,-0.267574855512881,0,0,0,0,0,0,0,0
3,4,0.0394387810899861,-0.00128059480114666,0.638457507691477,-0.346640184655445,0,0,0,0,0,0,0,0
1,5,-0.0598461184787791,-0.00574042695855404,1.40868618185003,0.154658466922441,0,0,0,0,0,0,0,0
2,5,-0.0216597650953849,-0.0121234126111572,1.39536025477092,0.214731307570919,0,0,0,0,0,0,0,0
3,5,-0.0118057393326092,-0.0132127645640339,1.17112761404577,0.268466662540597,0,0,0,0,0,0,0,0
1,6,0.00440894759000443,0.00361514971242589,0.233876302002932,0.051552783364029,0,0,0,0,0,0,0,0
2,6,0.0303853007091055,-0.00725941305179824,0.555159159482296,0.0468229532743528,0,0,0,0,0,0,0,0
3,6,0.0616072487056964,-0.00967373120910811,-0.0336482666578366,0.0572827167499887,0,0,0,0,0,0,0,0
1,7,0.0649203416613915,-0.000570208119732866,-0.554303535333367,0.0278877687005261,0,0,0,0,0,0,0,0
2,7,0.0646455979699718,0.00585691943214746,0.253944486333054,0.0881739497324591,0,0,0,0,0,0,0,0
3,7,0.0857561776861449,0.012916822185489,0.0891556015324042,0.0300414707234359,0,0,0,0,0,0,0,0
1,8,0.00740279768579644,0.0056929117655762,-0.169030104470595,0.168117439887497,0,0,0,0,0,0,0,0
2,8,0.00114506162021399,0.00430964437198299,0.563107027625386,0.0453693413455251,0,0,0,0,0,0,0,0
3,8,0.0262469591101482,-0.000129871275964888,0.217466179736844,0.109503520361743,0,0,0,0,0,0,0,0
1,9,0.0436359846009662,0.009963745423864,-0.60319601018081,0.150129019019824,0,0,0,0,0,0,0,0
2,9,0.063231867866623,0.00206745961196885,-0.553926130850766,0.236052637405768,0,0,0,0,0,0,0,0
3,9,0.0615731068073391,0.009598343457858,-0.824670046116773,0.181926650710351,0,0,0,0,0,0,0,0
1,10,-0.0204631492058303,-0.00470630367749271,1.43473854065898,-0.0232839180838746,0,0,0,0,0,0,0,0
2,10,-0.0389180974924459,0.00139229741355362,1.59939626740922,-0.22287311761084,0,0,0,0,0,0,0,0
3,10,-0.0131749657822589,0.00145487658611531,0.982539160955634,-0.0313647749116697,0,0,0,0,0,0,0,0
1,11,-0.0467209928543184,-0.00735921973410601,-0.876906733963463,-0.0867054555934026,0,0,0,0,0,0,0,0
2,11,-0.0217113493341916,-0.00631189577020501,0.023286034236115,-0.233372654970567,0,0,0,0,0,0,0,0
3,11,-0.00303825839862082,0.00339068344669971,-0.665511329178917,0.0607840857835195,0,0,0,0,0,0,0,0
1,12,0.0173356959906261,-0.010730569525952,0.402079509771223,-0.219712522948704,0,0,0,0,0,0,0,0
2,12,-0.00562597425626432,-0.00968086645744448,0.407614416341614,-0.22363987915092,0,0,0,0,0,0,0,0
