rep,id,b02,b12,b03,b13,b05,b15,p1,g1,p2,g2,alpha12,alpha13,alpha15,alpha22,alpha23,alpha25
1,1,7.35086378265316,-0.00151169038648925,4.16262399004377,-0.187373488918562,7.10470162855696,-0.00980656515945734,0.0875740128029677,0.119686490109787,0.69300984010061,0.120993298047328,-6.29475077336673,0.476460557891457,3.48841490919541e-10,-7.40493866224156e-09,-0.208423296647282,0.10833296184915
2,1,7.35197696587651,0.0014131148622542,3.62670527127863,-0.140745203977411,6.9664240271122,0.0389506994631635,0.0875740128029677,0.119686490109787,0.69300984010061,0.120993298047328,-6.29475077336673,0.476460557891457,3.48841490919541e-10,-7.40493866224156e-09,-0.208423296647282,0.10833296184915
3,1,7.2821828777465,-0.0072902379445854,3.49891711062741,-0.37464846815703,7.01832733181714,-0.0741395511951727,0.0875740128029677,0.119686490109787,0.69300984010061,0.120993298047328,-6.29475077336673,0.476460557891457,3.48841490919541e-10,-7.40493866224156e-09,-0.208423296647282,0.10833296184915
1,2,7.42603428396262,0.00379703858465312,5.57309039589526,-0.0517435483694632,7.75438085496153,-0.0631672350823544,0.0875740128029677,0.119686490109787,0.69300984010061,0.120993298047328,-6.29475077336673,0.476460557891457,3.48841490919541e-10,-7.40493866224156e-09,-0.208423296647282,0.10833296184915
2,2,7.43056695628646,0.00671024389041256,6.20665745668951,0.00164208677969127,7.56977254096863,0.158634329257437,0.0875740128029677,0.119686490109787,0.69300984010061,0.120993298047328,-6.29475077336673,0.476460557891457,3.48841490919541e-10,-7.40493866224156e-09,-0.208423296647282,0.10833296184915
3,2,7.44968935789493,-0.000993852713744221,5.46784768651361,-0.11275747516189,8.51170208528669,-0.0133122021254315,0.0875740128029677,0.119686490109787,0.69300984010061,0.120993298047328,-6.29475077336673,0.476460557891457,3.48841490919541e-10,-7.40493866224156e-09,-0.208423296647282,0.10833296184915
1,3,7.37474060566547,-0.000241057809061821,3.39959392916337,0.10527908754538,6.39853987171567,-0.11523231375499,0.0875740128029677,0.119686490109787,0.69300984010061,0.120993298047328,-6.29475077336673,0.476460557891457,3.48841490919541e-10,-7.40493866224156e-09,-0.208423296647282,0.10833296184915
2,3,7.45397321617526,-0.0038972632247644,5.15928544149953,-0.221354597533684,6.04199180872498,-0.105153472521412,0.0875740128029677,0.119686490109787,0.69300984010061,0.120993298047328,-6.29475077336673,0.476460557891457,3.48841490919541e-10,-7.40493866224156e-09,-0.208423296647282,0.10833296184915
3,3,7.43773075514387,-0.000847460517325744,3.60225859539833,-0.240961136037044,7.3011285565513,0.0441522033047126,0.0875740128029677,0.119686490109787,0.69300984010061,0.120993298047328,-6.29475077336673,0.476460557891457,3.48841490919541e-10,-7.40493866224156e-09,-0.208423296647282,0.10833296184915
1,4,7.48142746269099,-0.00243841396095644,3.91285232696042,-0.308714619341947,6.84898025499592,-0.171029712750733,0.0875740128029677,0.119686490109787,0.69300984010061,0.120993298047328,-6.29475077336673,0.476460557891457,3.48841490919541e-10,-7.40493866224156e-09,-0.208423296647282,0.10833296184915
