id,b01_SAEM,b11_SAEM,b21_SAEM,a1_SAEM,b02_SAEM,b12_SAEM,b03_SAEM,b13_SAEM,p1_SAEM,g1_SAEM,p2_SAEM,g2_SAEM,alpha11_SAEM,alpha12_SAEM,alpha13_SAEM,alpha21_SAEM,alpha22_SAEM,alpha23_SAEM,b01_mean,b11_mean,b21_mean,a1_mean,b02_mean,b12_mean,b03_mean,b13_mean,p1_mean,g1_mean,p2_mean,g2_mean,alpha11_mean,alpha12_mean,alpha13_mean,alpha21_mean,alpha22_mean,alpha23_mean,b01_mode,b11_mode,b21_mode,a1_mode,b02_mode,b12_mode,b03_mode,b13_mode,p1_mode,g1_mode,p2_mode,g2_mode,alpha11_mode,alpha12_mode,alpha13_mode,alpha21_mode,alpha22_mode,alpha23_mode,b01_sd,b11_sd,b21_sd,a1_sd,b02_sd,b12_sd,b03_sd,b13_sd,p1_sd,g1_sd,p2_sd,g2_sd,alpha11_sd,alpha12_sd,alpha13_sd,alpha21_sd,alpha22_sd,alpha23_sd
1,5.78864,-0.241782,-0.119938,13.4334,7.33589,0.00429149,3.82031,-0.107494,0.0055435,0.16031,0.714268,0.114463,0.337835,-0.00726108,1.449,7.72406e-10,5.32194,2.7458e-09,5.73102,-0.248505,-0.117482,12.471,7.33684,0.00421031,3.75926,-0.103193,0.00560187,0.159396,0.714055,0.114439,0.334096,-0.00731693,1.44125,7.83463e-10,5.26103,2.81324e-09,5.8609,-0.242991,-0.123266,14.812,7.33513,0.0043128,3.83269,-0.108623,0.00560187,0.159396,0.714055,0.114439,0.334096,-0.00731693,1.44125,7.83463e-10,5.26103,2.81324e-09,0.483206,0.0449418,0.0273267,4.76627,0.0174158,0.00100206,0.303127,0.0179999,0,0,0,0,0,0,0,0,0,0
2,3.796,-0.158528,-0.108429,6.1364,7.44875,-0.000632753,3.0866,-0.0938506,0.0055435,0.16031,0.714268,0.114463,0.337835,-0.00726108,1.449,7.72406e-10,5.32194,2.7458e-09,3.74216,-0.168113,-0.106473,4.54927,7.44894,-0.000770317,2.89828,-0.0823266,0.00560187,0.159396,0.714055,0.114439,0.334096,-0.00731693,1.44125,7.83463e-10,5.26103,2.81324e-09,3.86511,-0.14723,-0.101156,6.9897,7.45237,-0.000931995,3.05644,-0.0912142,0.00560187,0.159396,0.714055,0.114439,0.334096,-0.00731693,1.44125,7.83463e-10,5.26103,2.81324e-09,0.42908,0.0499574,0.0321466,2.61687,0.016748,0.000932002,0.26342,0.0144694,0,0,0,0,0,0,0,0,0,0
3,2.80067,-0.159131,-0.114719,5.35991,7.36857,0.00276842,4.45609,-0.260861,0.0055435,0.16031,0.714268,0.114463,0.337835,-0.00726108,1.449,7.72406e-10,5.32194,2.7458e-09,2.76406,-0.153557,-0.115593,4.81213,7.36873,0.00262729,4.44053,-0.256659,0.00560187,0.159396,0.714055,0.114439,0.334096,-0.00731693,1.44125,7.83463e-10,5.26103,2.81324e-09,2.56734,-0.158055,-0.115792,6.33761,7.36682,0.00255685,4.413,-0.250646,0.00560187,0.159396,0.714055,0.114439,0.334096,-0.00731693,1.44125,7.83463e-10,5.26103,2.81324e-09,0.658586,0.0718383,0.0412067,3.47419,0.0232343,0.00444532,0.399209,0.130832,0,0,0,0,0,0,0,0,0,0
4,5.03266,-0.128695,-0.122816,8.05207,7.38395,0.00342301,4.25518,-0.200026,0.0055435,0.16031,0.714268,0.114463,0.337835,-0.00726108,1.449,7.72406e-10,5.32194,2.7458e-09,4.94427,-0.129076,-0.127731,7.87113,7.38348,0.00333922,4.24956,-0.184653,0.00560187,0.159396,0.714055,0.114439,0.334096,-0.00731693,1.44125,7.83463e-10,5.26103,2.81324e-09,4.64724,-0.123386,-0.124849,5.47961,7.38407,0.00344451,4.27555,-0.179521,0.00560187,0.159396,0.714055,0.114439,0.334096,-0.00731693,1.44125,7.83463e-10,5.26103,2.81324e-09,1.12934,0.0808384,0.034258,6.22798,0.0298041,0.00504059,0.52551,0.129118,0,0,0,0,0,0,0,0,0,0
5,6.34317,-0.117042,-0.123638,5.74035,7.39122,0.0036656,4.6571,-0.105634,0.0055435,0.16031,0.714268,0.114463,0.337835,-0.00726108,1.449,7.72406e-10,5.32194,2.7458e-09,6.43119,-0.128428,-0.126164,5.55642,7.39326,0.00390168,4.54342,-0.0918967,0.00560187,0.159396,0.714055,0.114439,0.334096,-0.00731693,1.44125,7.83463e-10,5.26103,2.81324e-09,6.056,-0.117366,-0.126047,5.50148,7.39123,0.00358218,4.57791,-0.0689799,0.00560187,0.159396,0.714055,0.114439,0.334096,-0.00731693,1.44125,7.83463e-10,5.26103,2.81324e-09,0.88254,0.0754972,0.0377529,4.70219,0.0216817,0.00402882,0.391748,0.0995911,0,0,0,0,0,0,0,0,0,0
6,6.05786,-0.0855186,-0.12976,7.52833,7.42547,0.00262101,6.21483,-0.0698913,0.0055435,0.16031,0.714268,0.114463,0.337835,-0.00726108,1.449,7.72406e-10,5.32194,2.7458e-09,6.16157,-0.0990862,-0.126327,6.29134,7.42571,0.00297063,6.33385,-0.112161,0.00560187,0.159396,0.714055,0.114439,0.334096,-0.00731693,1.44125,7.83463e-10,5.26103,2.81324e-09,5.80014,-0.0889888,-0.131254,6.15845,7.42476,0.00275259,6.29867,-0.0815115,0.00560187,0.159396,0.714055,0.114439,0.334096,-0.00731693,1.44125,7.83463e-10,5.26103,2.81324e-09,1.09323,0.074767,0.0416831,4.63718,0.0239046,0.00412689,0.408695,0.130974,0,0,0,0,0,0,0,0,0,0
7,4.73347,-0.168193,-0.112499,9.93006,7.38809,0.00332613,3.38413,-0.137664,0.0055435,0.16031,0.714268,0.114463,0.337835,-0.00726108,1.449,7.72406e-10,5.32194,2.7458e-09,4.80231,-0.161241,-0.114752,8.38819,7.39049,0.00217495,3.41516,-0.158854,0.00560187,0.159396,0.714055,0.114439,0.334096,-0.00731693,1.44125,7.83463e-10,5.26103,2.81324e-09,4.45215,-0.21266,-0.101531,14.4964,7.38849,0.00313299,3.40054,-0.141375,0.00560187,0.159396,0.714055,0.114439,0.334096,-0.00731693,1.44125,7.83463e-10,5.26103,2.81324e-09,1.48265,0.0943804,0.0422967,6.9954,0.0242595,0.00466638,0.417595,0.135393,0,0,0,0,0,0,0,0,0,0
8,7.11824,-0.136803,-0.124985,6.23649,7.42211,0.00488602,4.22255,-0.202133,0.0055435,0.16031,0.714268,0.114463,0.337835,-0.00726108,1.449,7.72406e-10,5.32194,2.7458e-09,7.12952,-0.142511,-0.124839,5.97171,7.42046,0.00540447,4.11777,-0.171977,0.00560187,0.159396,0.714055,0.114439,0.334096,-0.00731693,1.44125,7.83463e-10,5.26103,2.81324e-09,6.85259,-0.144918,-0.12025,5.75075,7.4232,0.00499036,4.17413,-0.182682,0.00560187,0.159396,0.714055,0.114439,0.334096,-0.00731693,1.44125,7.83463e-10,5.26103,2.81324e-09,0.927315,0.0756287,0.0373529,4.64658,0.0226668,0.00434921,0.433079,0.111691,0,0,0,0,0,0,0,0,0,0
9,3.74361,-0.129507,-0.122732,5.21221,7.4153,0.00302542,4.37879,-0.210946,0.0055435,0.16031,0.714268,0.114463,0.337835,-0.00726108,1.449,7.72406e-10,5.32194,2.7458e-09,4.11713,-0.150294,-0.113438,5.14212,7.41518,0.00307891,4.40961,-0.222775,0.00560187,0.159396,0.714055,0.114439,0.334096,-0.00731693,1.44125,7.83463e-10,5.26103,2.81324e-09,3.58609,-0.130571,-0.122865,5.51338,7.41552,0.00263301,4.37161,-0.208248,0.00560187,0.159396,0.714055,0.114439,0.334096,-0.00731693,1.44125,7.83463e-10,5.26103,2.81324e-09,0.883587,0.0775833,0.0399333,4.15653,0.019349,0.00405958,0.395677,0.103887,0,0,0,0,0,0,0,0,0,0
10,6.02561,-0.204935,-0.10336,10.5691,7.39999,0.000833863,5.00351,-0.202705,0.0055435,0.16031,0.714268,0.114463,0.337835,-0.00726108,1.449,7.72406e-10,5.32194,2.7458e-09,5.57493,-0.198513,-0.110383,8.82732,7.40124,0.000957134,5.01482,-0.203209,0.00560187,0.159396,0.714055,0.114439,0.334096,-0.00731693,1.44125,7.83463e-10,5.26103,2.81324e-09,6.1075,-0.192349,-0.101084,11.4232,7.40322,0.000638501,5.01665,-0.204406,0.00560187,0.159396,0.714055,0.114439,0.334096,-0.00731693,1.44125,7.83463e-10,5.26103,2.81324e-09,0.712132,0.0586674,0.0316546,5.27091,0.0190879,0.00203575,0.355803,0.0398399,0,0,0,0,0,0,0,0,0,0
