rep,id,b03,b13,p1,g1,p2,g2,alpha13,alpha23,eta_b03,eta_b13,eta_p1,eta_g1,eta_p2,eta_g2,eta_alpha13,eta_alpha23
1,1,3.4147333942969,-0.108829608365283,0.0991476859184069,0.0714849316140194,0.723334527857458,0.134060093965856,0.4637172371735,-0.13181445368785,-0.894246320311439,0.0370059779793309,0,0,0,0,0,0
2,1,3.74669269762037,-0.53157704744313,0.0991476859184069,0.0714849316140194,0.723334527857458,0.134060093965856,0.4637172371735,-0.13181445368785,-0.562287016987964,-0.385741461098516,0,0,0,0,0,0
3,1,5.39575525377103,-0.0209213653416736,0.0991476859184069,0.0714849316140194,0.723334527857458,0.134060093965856,0.4637172371735,-0.13181445368785,1.08677553916269,0.12491422100294,0,0,0,0,0,0
1,2,3.48692276164854,0.0825054985490314,0.0991476859184069,0.0714849316140194,0.723334527857458,0.134060093965856,0.4637172371735,-0.13181445368785,-0.822056952959798,0.228341084893645,0,0,0,0,0,0
2,2,3.89573639140975,-0.235731801365824,0.0991476859184069,0.0714849316140194,0.723334527857458,0.134060093965856,0.4637172371735,-0.13181445368785,-0.413243323198584,-0.0898962150212097,0,0,0,0,0,0
3,2,4.22851201174426,-0.171165440724031,0.0991476859184069,0.0714849316140194,0.723334527857458,0.134060093965856,0.4637172371735,-0.13181445368785,-0.080467702864075,-0.0253298543794172,0,0,0,0,0,0
1,3,6.18185532338926,0.128645723329586,0.0991476859184069,0.0714849316140194,0.723334527857458,0.134060093965856,0.4637172371735,-0.13181445368785,1.87287560878092,0.2744813096742,0,0,0,0,0,0
2,3,6.52316914503124,0.0802499047595716,0.0991476859184069,0.0714849316140194,0.723334527857458,0.134060093965856,0.4637172371735,-0.13181445368785,2.2141894304229,0.226085491104186,0,0,0,0,0,0
3,3,6.50108431029416,0.0643659907299088,0.0991476859184069,0.0714849316140194,0.723334527857458,0.134060093965856,0.4637172371735,-0.13181445368785,2.19210459568582,0.210201577074523,0,0,0,0,0,0
1,4,2.56999538981536,0.101637058328333,0.0991476859184069,0.0714849316140194,0.723334527857458,0.134060093965856,0.4637172371735,-0.13181445368785,-1.73898432479298,0.247472644672947,0,0,0,0,0,0
2,4,2.36916435634934,0.0977985393778081,0.0991476859184069,0.0714849316140194,0.723334527857458,0.134060093965856,0.4637172371735,-0.13181445368785,-1.939815358259,0.243634125722422,0,0,0,0,0,0
3,4,2.03221462213198,0.107758361950601,0.0991476859184069,0.0714849316140194,0.723334527857458,0.134060093965856,0.4637172371735,-0.13181445368785,-2.27676509247636,0.253593948295215,0,0,0,0,0,0
