parameter,value
b01_pop,4.73814939449705
b11_pop,-0.127999115466119
b21_pop,-0.158472284512382
a1_pop,4.93801570035555
b02_pop,7.40344306581569
b12_pop,0.00313025798430482
b03_pop,4.28495898014239
b13_pop,-0.194926157082777
p1_pop,0.0625405852456048
g1_pop,0.0960803039687041
p2_pop,0.773617513230048
g2_pop,0.105966180678659
alpha11_pop,0.113950396025527
alpha12_pop,-9.08540109746171
alpha13_pop,0.494128666284004
alpha21_pop,-0.145799536390671
alpha22_pop,1.03297862275782
alpha23_pop,-0.134426047049571
omega_b01,2.00709028760641
omega_b11,0.113022829348909
omega_b21,0.0780186402367442
omega_a1,0.721563806007218
omega_b02,0.040683704354461
omega_b12,0.00471430185676018
omega_b03,0.870590671362935
omega_b13,0.145064897745209
b_1,0.303383672866652
a_2,0.0501491376230327
a_3,0.697953926904039
