rep,id,b03,b13,p1,g1,p2,g2,alpha13,alpha23,eta_b03,eta_b13,eta_p1,eta_g1,eta_p2,eta_g2,eta_alpha13,eta_alpha23
1,1,3.29394429333499,-0.328931691789845,0.0658985171287969,0.123767213645961,0.706600841698144,0.122611327888297,0.684117767978401,-0.222983758147962,-0.850141386083377,-0.16652804422745,0,0,0,0,0,0
2,1,2.62991323279231,-0.0283171022671782,0.0658985171287969,0.123767213645961,0.706600841698144,0.122611327888297,0.684117767978401,-0.222983758147962,-1.51417244662605,0.134086545295216,0,0,0,0,0,0
3,1,2.93089922812226,-0.0798716179261952,0.0658985171287969,0.123767213645961,0.706600841698144,0.122611327888297,0.684117767978401,-0.222983758147962,-1.21318645129611,0.082532029636199,0,0,0,0,0,0
1,2,5.47157435049728,-0.0379045244901722,0.0658985171287969,0.123767213645961,0.706600841698144,0.122611327888297,0.684117767978401,-0.222983758147962,1.32748867107891,0.124499123072222,0,0,0,0,0,0
2,2,4.62256898408278,0.00600914053595806,0.0658985171287969,0.123767213645961,0.706600841698144,0.122611327888297,0.684117767978401,-0.222983758147962,0.478483304664413,0.168412788098352,0,0,0,0,0,0
3,2,4.94335478096423,-0.0126387488582552,0.0658985171287969,0.123767213645961,0.706600841698144,0.122611327888297,0.684117767978401,-0.222983758147962,0.799269101545861,0.149764898704139,0,0,0,0,0,0
1,3,3.15011826990404,-0.445089368161121,0.0658985171287969,0.123767213645961,0.706600841698144,0.122611327888297,0.684117767978401,-0.222983758147962,-0.993967409514322,-0.282685720598726,0,0,0,0,0,0
2,3,3.65215936674205,-0.171693869516244,0.0658985171287969,0.123767213645961,0.706600841698144,0.122611327888297,0.684117767978401,-0.222983758147962,-0.491926312676314,-0.0092902219538494,0,0,0,0,0,0
3,3,3.70922449572535,-0.251933155124046,0.0658985171287969,0.123767213645961,0.706600841698144,0.122611327888297,0.684117767978401,-0.222983758147962,-0.434861183693012,-0.0895295075616516,0,0,0,0,0,0
1,4,4.44370730906466,-0.126538657222312,0.0658985171287969,0.123767213645961,0.706600841698144,0.122611327888297,0.684117767978401,-0.222983758147962,0.299621629646294,0.0358649903400819,0,0,0,0,0,0
2,4,4.2494753132242,-0.117577746381708,0.0658985171287969,0.123767213645961,0.706600841698144,0.122611327888297,0.684117767978401,-0.222983758147962,0.105389633805839,0.0448259011806859,0,0,0,0,0,0
3,4,4.25904227803159,-0.152491948449803,0.0658985171287969,0.123767213645961,0.706600841698144,0.122611327888297,0.684117767978401,-0.222983758147962,0.114956598613221,0.00991169911259168,0,0,0,0,0,0
1,5,3.23323961790637,0.193049684760234,0.0658985171287969,0.123767213645961,0.706600841698144,0.122611327888297,0.684117767978401,-0.222983758147962,-0.91084606151199,0.355453332322628,0,0,0,0,0,0
2,5,2.60450354403549,-0.398510595891579,0.0658985171287969,0.123767213645961,0.706600841698144,0.122611327888297,0.684117767978401,-0.222983758147962,-1.53958213538287,-0.236106948329184,0,0,0,0,0,0
3,5,3.93995551438681,-0.151093838142979,0.0658985171287969,0.123767213645961,0.706600841698144,0.122611327888297,0.684117767978401,-0.222983758147962,-0.204130165031556,0.0113098094194148,0,0,0,0,0,0
1,6,4.18578599367201,-0.333325941429282,0.0658985171287969,0.123767213645961,0.706600841698144,0.122611327888297,0.684117767978401,-0.222983758147962,0.0417003142536441,-0.170922293866888,0,0,0,0,0,0
2,6,3.45451109664157,-0.0848711203638575,0.0658985171287969,0.123767213645961,0.706600841698144,0.122611327888297,0.684117767978401,-0.222983758147962,-0.689574582776798,0.0775325271985368,0,0,0,0,0,0
3,6,4.69202762390213,-0.193758657138936,0.0658985171287969,0.123767213645961,0.706600841698144,0.122611327888297,0.684117767978401,-0.222983758147962,0.547941944483767,-0.031355009576542,0,0,0,0,0,0
1,7,3.29484519666947,-0.20867259924245,0.0658985171287969,0.123767213645961,0.706600841698144,0.122611327888297,0.684117767978401,-0.222983758147962,-0.84924048274889,-0.0462689516800554,0,0,0,0,0,0
2,7,4.15024317753424,-0.266018988014148,0.0658985171287969,0.123767213645961,0.706600841698144,0.122611327888297,0.684117767978401,-0.222983758147962,0.0061574981158774,-0.103615340451754,0,0,0,0,0,0
3,7,4.49036000268204,-0.322160004676629,0.0658985171287969,0.123767213645961,0.706600841698144,0.122611327888297,0.684117767978401,-0.222983758147962,0.346274323263675,-0.159756357114235,0,0,0,0,0,0
1,8,4.42531693698413,-0.380799007114809,0.0658985171287969,0.123767213645961,0.706600841698144,0.122611327888297,0.684117767978401,-0.222983758147962,0.281231257565763,-0.218395359552415,0,0,0,0,0,0
2,8,4.51777840341144,-0.403446473255327,0.0658985171287969,0.123767213645961,0.706600841698144,0.122611327888297,0.684117767978401,-0.222983758147962,0.373692723993079,-0.241042825692932,0,0,0,0,0,0
3,8,4.61663238588444,-0.437454398358208,0.0658985171287969,0.123767213645961,0.706600841698144,0.122611327888297,0.684117767978401,-0.222983758147962,0.472546706466078,-0.275050750795814,0,0,0,0,0,0
1,9,4.53709772447714,0.0857376409763405,0.0658985171287969,0.123767213645961,0.706600841698144,0.122611327888297,0.684117767978401,-0.222983758147962,0.39301204505878,0.248141288538735,0,0,0,0,0,0
2,9,4.74429270902155,0.0476712703810522,0.0658985171287969,0.123767213645961,0.706600841698144,0.122611327888297,0.684117767978401,-0.222983758147962,0.60020702960319,0.210074917943446,0,0,0,0,0,0
3,9,4.5762759021929,0.0808080007549423,0.0658985171287969,0.123767213645961,0.706600841698144,0.122611327888297,0.684117767978401,-0.222983758147962,0.432190222774537,0.243211648317337,0,0,0,0,0,0
1,10,3.57099953779521,-0.261803242578648,0.0658985171287969,0.123767213645961,0.706600841698144,0.122611327888297,0.684117767978401,-0.222983758147962,-0.573086141623159,-0.0993995950162537,0,0,0,0,0,0
2,10,3.24637972707858,-0.311304761544514,0.0658985171287969,0.123767213645961,0.706600841698144,0.122611327888297,0.684117767978401,-0.222983758147962,-0.897705952339781,-0.14890111398212,0,0,0,0,0,0
3,10,2.62437400631539,0.0995691983549045,0.0658985171287969,0.123767213645961,0.706600841698144,0.122611327888297,0.684117767978401,-0.222983758147962,-1.51971167310297,0.261972845917299,0,0,0,0,0,0
1,11,3.47480462660888,-0.178468601564807,0.0658985171287969,0.123767213645961,0.706600841698144,0.122611327888297,0.684117767978401,-0.222983758147962,-0.669281052809484,-0.016064954002413,0,0,0,0,0,0
2,11,3.85307107651906,-0.0602221305340425,0.0658985171287969,0.123767213645961,0.706600841698144,0.122611327888297,0.684117767978401,-0.222983758147962,-0.29101460289931,0.102181517028352,0,0,0,0,0,0
3,11,3.86727224498453,-0.303462173494217,0.0658985171287969,0.123767213645961,0.706600841698144,0.122611327888297,0.684117767978401,-0.222983758147962,-0.27681343443383,-0.141058525931823,0,0,0,0,0,0
1,12,4.60747567154463,-0.338467306269997,0.0658985171287969,0.123767213645961,0.706600841698144,0.122611327888297,0.684117767978401,-0.222983758147962,0.463389992126261,-0.176063658707603,0,0,0,0,0,0
2,12,4.82062225055108,-0.394204223808404,0.0658985171287969,0.123767213645961,0.706600841698144,0.122611327888297,0.684117767978401,-0.222983758147962,0.676536571132713,-0.23180057624601,0,0,0,0,0,0
3,12,4.36729594489858,-0.281538053262929,0.0658985171287969,0.123767213645961,0.706600841698144,0.122611327888297,0.684117767978401,-0.222983758147962,0.223210265480211,-0.119134405700535,0,0,0,0,0,0
1,13,4.39735994076818,-0.26725294588856,0.0658985171287969,0.123767213645961,0.706600841698144,0.122611327888297,0.684117767978401,-0.222983758147962,0.253274261349815,-0.104849298326166,0,0,0,0,0,0
2,13,4.53783100372098,-0.177109472256919,0.0658985171287969,0.123767213645961,0.706600841698144,0.122611327888297,0.684117767978401,-0.222983758147962,0.393745324302618,-0.0147058246945251,0,0,0,0,0,0
3,13,5.46159456960585,-0.241409501438785,0.0658985171287969,0.123767213645961,0.706600841698144,0.122611327888297,0.684117767978401,-0.222983758147962,1.31750889018748,-0.079005853876391,0,0,0,0,0,0
1,14,3.28220247647087,-0.148768444467193,0.0658985171287969,0.123767213645961,0.706600841698144,0.122611327888297,0.684117767978401,-0.222983758147962,-0.861883202947499,0.0136352030952017,0,0,0,0,0,0
2,14,3.15138770219511,-0.205476839104294,0.0658985171287969,0.123767213645961,0.706600841698144,0.122611327888297,0.684117767978401,-0.222983758147962,-0.99269797722325,-0.0430731915418998,0,0,0,0,0,0
3,14,3.29136984679017,-0.267458454224586,0.0658985171287969,0.123767213645961,0.706600841698144,0.122611327888297,0.684117767978401,-0.222983758147962,-0.852715832628196,-0.105054806662191,0,0,0,0,0,0
1,15,4.3811280989321,0.0719095658073602,0.0658985171287969,0.123767213645961,0.706600841698144,0.122611327888297,0.684117767978401,-0.222983758147962,0.237042419513735,0.234313213369754,0,0,0,0,0,0
2,15,4.32313324024636,-0.210486172064536,0.0658985171287969,0.123767213645961,0.706600841698144,0.122611327888297,0.684117767978401,-0.222983758147962,0.179047560827991,-0.0480825245021418,0,0,0,0,0,0
3,15,3.97583449012552,-0.0659708716195472,0.0658985171287969,0.123767213645961,0.706600841698144,0.122611327888297,0.684117767978401,-0.222983758147962,-0.168251189292848,0.096432775942847,0,0,0,0,0,0
1,16,3.13275643357925,-0.0859595813436488,0.0658985171287969,0.123767213645961,0.706600841698144,0.122611327888297,0.684117767978401,-0.222983758147962,-1.01132924583911,0.0764440662187454,0,0,0,0,0,0
