parameter,value
b01_pop,4.67097206813694
b11_pop,-0.134394899238455
b21_pop,-0.161637350769462
a1_pop,3.96807404440321
b02_pop,7.40320919043815
b12_pop,0.00263338536848777
b03_pop,4.22359655153075
b13_pop,-0.154387965269193
p1_pop,0.055914532384076
g1_pop,0.0621673161511628
p2_pop,0.763726289342412
g2_pop,0.165387106746208
alpha11_pop,0.159893983349635
alpha12_pop,-16.2722560736292
alpha13_pop,0.60988348063875
alpha21_pop,-0.0529470641010582
alpha22_pop,5.23496171245734
alpha23_pop,-0.296792462261432
omega_b01,1.94572897307115
omega_b11,0.107015978033245
omega_b21,0.0758221275827696
omega_a1,0.983061112690242
omega_b02,0.0414352911588538
omega_b12,0.00465019072927582
omega_b03,0.834868074021626
omega_b13,0.141271939024611
b_1,0.30743754427209
a_2,0.0492624430698571
a_3,0.70253903639287
