parameter,value,se_sa,rse_sa,pvalue_sa
b0_pop,4.86126584219465,0.120500991307243,2.4787986343253,
b1_pop,-0.00506364053721423,0.00302088519537971,59.6583658176031,
h1_pop,0.00109041856032773,0.000429146995187027,39.356171180546,
h2_pop,0.107125446303484,0.0133903909188761,12.4997294115736,
alpha1_pop,-0.0373114054386451,0.0845582539723269,226.628434330555,
alpha2_pop,0.0118220183903761,0.0360146285395338,304.640268271383,
hcov1_pop,0,,,
beta_hcov1_score4C,0.232609976242363,0.0434617096258314,18.6843704332558,8.69552507776206e-08
hcov2_pop,0,,,
beta_hcov2_score4C,-0.126323490460678,0.0192100375415039,15.207019273651,4.83562079267585e-11
omega_b0,1.97354841052394,0.089525600217527,4.5362758643331,
omega_b1,0.00955982627399755,0.00214765333622113,22.4654013019325,
e_b,0.303966793709847,0.00559085333349186,1.83929739997476,
