rep,id,eta_b02,eta_b12,eta_b03,eta_b13,eta_p1,eta_g1,eta_p2,eta_g2,eta_alpha12,eta_alpha13,eta_alpha22,eta_alpha23
1,1,-0.0132033041964874,-0.00132483401020629,0.508232153388695,-0.032278053253661,0,0,0,0,0,0,0,0
2,1,-0.0169969556318241,-0.00131808582243826,0.42173059616808,0.0191761792334867,0,0,0,0,0,0,0,0
3,1,-0.00921713278607506,-0.00189721242772996,0.368396088520424,-0.0139396916209621,0,0,0,0,0,0,0,0
1,2,-0.0602630309984518,-0.0026865065650737,-0.27479278811639,-0.284116960190371,0,0,0,0,0,0,0,0
2,2,-0.0616157082677269,-0.00346419356869638,-0.629125901108756,-0.248773167931333,0,0,0,0,0,0,0,0
3,2,-0.0631429751966435,-0.0029723328506766,-0.149862060507117,-0.287613536559519,0,0,0,0,0,0,0,0
1,3,0.0592474944676642,-7.61034124902769e-05,-0.79649735402866,-0.197835250171947,0,0,0,0,0,0,0,0
2,3,0.0806864544840904,0.00670846185144533,-1.13163397444973,-0.0204174775215498,0,0,0,0,0,0,0,0
3,3,0.0266199004019425,0.00401192923851932,-1.07456613362366,-0.0561879656348806,0,0,0,0,0,0,0,0
1,4,-0.0234099226997575,0.00431647118913516,-0.0432156054866759,-0.0568872502529641,0,0,0,0,0,0,0,0
2,4,-0.0295989466418707,0.00746997002529839,0.144176681058076,-0.0427325938351886,0,0,0,0,0,0,0,0
3,4,0.0120836898433501,0.0067807208907378,0.231155941929337,0.066067198558196,0,0,0,0,0,0,0,0
1,5,-0.0447464448956332,-0.00222551941288918,-0.916566001984645,0.0798428758642646,0,0,0,0,0,0,0,0
2,5,-0.0317576763010248,-0.00572017220643679,-0.0782719448984759,-0.128609475092928,0,0,0,0,0,0,0,0
3,5,-0.0462122061752375,-0.00802812318476638,0.0741415118302688,-0.0398762618939213,0,0,0,0,0,0,0,0
1,6,-0.0573072909415613,0.00109100749036098,-0.73346071559839,0.0128641054932488,0,0,0,0,0,0,0,0
2,6,-0.00899253593250737,-0.0022160923622048,-1.25445698479309,-0.0949848165125173,0,0,0,0,0,0,0,0
3,6,-0.0576406652486119,0.000717610851777814,-1.96281423182027,0.219129883179505,0,0,0,0,0,0,0,0
1,7,0.017376860330403,0.00112970760446228,-0.686799805160195,-0.0733707360023177,0,0,0,0,0,0,0,0
