rep,id,b01,b11,b21,a1,b02,b12,b03,b13,p1,g1,p2,g2,alpha11,alpha12,alpha13,alpha21,alpha22,alpha23,eta_b01,eta_b11,eta_b21,eta_a1,eta_b02,eta_b12,eta_b03,eta_b13,eta_p1,eta_g1,eta_p2,eta_g2,eta_alpha11,eta_alpha12,eta_alpha13,eta_alpha21,eta_alpha22,eta_alpha23
1,1,6.33662121129524,-0.254516150195152,-0.212637417658109,3.15910434095915,7.34963208107635,-0.000558484634320332,4.24637473091502,-0.0670578461885254,0.0146215166083402,0.145071993167843,0.769115311637199,0.115556056073698,0.206001785163753,-21.1991048185486,0.871823229959059,-0.065463711055996,4.60220592984317,-0.162797454306234,1.65636408809942,-0.0815347726465007,-0.0145830445065562,-0.418421101967644,-0.0462028541752186,-0.00218639845339742,0.178906373701103,0.0668274852457107,0,0,0,0,0,0,0,0,0,0
2,1,2.57280894349058,-0.181330142386563,-0.274608461471492,3.89862125588707,7.39527634354912,-0.000183490254481783,5.31759014844971,-0.079643130446122,0.0146215166083402,0.145071993167843,0.769115311637199,0.115556056073698,0.206001785163753,-21.1991048185486,0.871823229959059,-0.065463711055996,4.60220592984317,-0.162797454306234,-2.10744817970524,-0.0083487648379118,-0.0765540883199392,-0.208086686485752,-0.00055859170244954,-0.00181140407355887,1.2501217912358,0.0542422009881141,0,0,0,0,0,0,0,0,0,0
3,1,2.36577659923565,-0.243513687688188,-0.226184245215847,7.07941248213995,7.37146604390275,0.00666381230740869,4.10701626088054,0.004492746708394,0.0146215166083402,0.145071993167843,0.769115311637199,0.115556056073698,0.206001785163753,-21.1991048185486,0.871823229959059,-0.065463711055996,4.60220592984317,-0.162797454306234,-2.31448052396017,-0.0705323101395363,-0.0281298720642947,0.388481268528331,-0.0243688913488151,0.0050358984883316,0.0395479036666195,0.13837807814263,0,0,0,0,0,0,0,0,0,0
1,2,2.26896311729675,0.0251261650863,-0.347283991424983,2.7216262845111,7.45427508442076,-0.00235933695549548,4.17561741946648,-0.291035636316552,0.0146215166083402,0.145071993167843,0.769115311637199,0.115556056073698,0.206001785163753,-21.1991048185486,0.871823229959059,-0.065463711055996,4.60220592984317,-0.162797454306234,-2.41129400589907,0.198107542634952,-0.149229618273431,-0.567480052630444,0.0584401491691962,-0.00398725077457257,0.10814906225256,-0.157150304882316,0,0,0,0,0,0,0,0,0,0
2,2,3.79220967436069,0.0364218948199365,-0.235511993286281,1.6199681759681,7.42469951929864,-0.00136523108229283,3.9714446903897,-0.277596638355764,0.0146215166083402,0.145071993167843,0.769115311637199,0.115556056073698,0.206001785163753,-21.1991048185486,0.871823229959059,-0.065463711055996,4.60220592984317,-0.162797454306234,-0.888047448835132,0.209403272368588,-0.0374576201347289,-1.08630314839824,0.0288645840470725,-0.00299314490136993,-0.0960236668242205,-0.143711306921528,0,0,0,0,0,0,0,0,0,0
3,2,8.07043092651547,-0.285388737786495,-0.0976115247660656,7.36424337397782,7.42018968422974,-0.000590209135465859,4.75976978166657,-0.317291161932493,0.0146215166083402,0.145071993167843,0.769115311637199,0.115556056073698,0.206001785163753,-21.1991048185486,0.871823229959059,-0.065463711055996,4.60220592984317,-0.162797454306234,3.39017380331965,-0.112407360237844,0.100442848385487,0.42792665899433,0.0243547489781779,-0.00221812295454295,0.692301424452658,-0.183405830498257,0,0,0,0,0,0,0,0,0,0
1,3,7.62194201462959,-0.191783890033444,-0.331304606831439,4.22988475435536,7.38870585051232,0.000577878128160961,2.81660284251722,-0.0952667029299381,0.0146215166083402,0.145071993167843,0.769115311637199,0.115556056073698,0.206001785163753,-21.1991048185486,0.871823229959059,-0.065463711055996,4.60220592984317,-0.162797454306234,2.94168489143376,-0.0188025124847929,-0.133250233679887,-0.126534905131653,-0.00712908473924756,-0.00105003569091613,-1.25086551469669,0.038618628504298,0,0,0,0,0,0,0,0,0,0
2,3,6.72370063018941,-0.095810572593925,-0.223153353368359,1.91397997666537,7.39519120117166,0.00515720604548962,3.39705540371397,-0.140612963789086,0.0146215166083402,0.145071993167843,0.769115311637199,0.115556056073698,0.206001785163753,-21.1991048185486,0.871823229959059,-0.065463711055996,4.60220592984317,-0.162797454306234,2.04344350699358,0.0771708049547266,-0.0250989802168063,-0.91952482152175,-0.000643734079909031,0.00352929222641252,-0.670412953499942,-0.00672763235484969,0,0,0,0,0,0,0,0,0,0
3,3,5.17278163878179,-0.11389787429928,-0.357099175170104,6.24339216174939,7.39928392860279,0.00616034992516844,3.17917665626899,-0.193025824144239,0.0146215166083402,0.145071993167843,0.769115311637199,0.115556056073698,0.206001785163753,-21.1991048185486,0.871823229959059,-0.065463711055996,4.60220592984317,-0.162797454306234,0.492524515585965,0.0590835032493718,-0.159044802018551,0.262813997355391,0.00344899335122673,0.00453243610609134,-0.888291700944925,-0.0591404927100026,0,0,0,0,0,0,0,0,0,0
1,4,4.98081867350125,-0.0134211820939344,-0.0693188644838825,3.63169589750079,7.46843440106624,0.00199322717649741,4.02859771061528,0.0355259274513262,0.0146215166083402,0.145071993167843,0.769115311637199,0.115556056073698,0.206001785163753,-21.1991048185486,0.871823229959059,-0.065463711055996,4.60220592984317,-0.162797454306234,0.300561550305429,0.159560195454717,0.12873550866767,-0.279009924413513,0.0725994658146751,0.000365313357420317,-0.0388706465986353,0.169411258885562,0,0,0,0,0,0,0,0,0,0
