"parameter" "value" "se_sa" "rse_sa"
"b01_pop" 4.53020692829635 0.137526792760538 3.0357728672729
"b11_pop" -0.130947354982643 0.0111886730731552 8.54440555491799
"b21_pop" -0.137896232931246 0.00958558001261356 6.95129940017496
"a1_pop" 5.34586375418218 0.747970204052262 13.9915687800144
"b03_pop" 4.1852591152356 0.0603659322249295 1.44234635330413
"b13_pop" -0.154825239237493 0.0123531341210315 7.97875991141379
"p1_pop" 0.0661644005254513 0.0170220193085022 25.7268548846814
"g1_pop" 0.124547151841752 0.0228920332986838 18.380214208166
"p2_pop" 0.73127277962296 0.0273521164809085 3.74034385568284
"g2_pop" 0.116235820617235 0.0127427067049776 10.962805301594
"alpha11_pop" 0.13116788279544 0.0166846588935967 12.7200794417159
"alpha13_pop" 0.592526726717343 0.0818579569409093 13.8150657598874
"alpha21_pop" -0.101079398684668 0.0217910780700947 21.5583772298401
"alpha23_pop" -0.207107477449377 0.033765726832598 16.3034803226026
"omega_b01" 2.00085460562066 0.101698076543235 5.08273196151045
"omega_b11" 0.103022067446042 0.00898292755576388 8.71942077892069
"omega_b21" 0.0543041981899714 0.0063221496569241 11.6421011038731
"omega_a1" 0.770030699070918 0.135360232899737 17.5785501880712
"omega_b03" 0.918822618851372 0.0483698163557832 5.26432581908473
"omega_b13" 0.164594394886161 0.00932443999667358 5.66510178133506
"b_1" 0.316028257310942 0.00699072214422997 2.21205603692323
"a_3" 0.70126217200601 0.012890908644559 1.83824383506722
