parameter,value
b01_pop,4.42009861476525
b11_pop,-0.149377740507561
b21_pop,-0.173648989254172
a1_pop,5.59571175944273
b02_pop,7.39841468112579
b12_pop,0.00315331978532688
b03_pop,4.36048410745542
b13_pop,-0.146940475135864
p1_pop,0.0308029721355109
g1_pop,0.117272185305899
p2_pop,0.734030637505397
g2_pop,0.124249279866421
alpha11_pop,0.169693564638973
alpha12_pop,-13.3142355297822
alpha13_pop,0.663626064498757
alpha21_pop,-0.0917953919574678
alpha22_pop,-7.84771609673152e-06
alpha23_pop,-0.246244391576786
omega_b01,1.74578129708166
omega_b11,0.112049469858305
omega_b21,0.0682628446570481
omega_a1,0.830999818741867
omega_b02,0.038991386666936
omega_b12,0.00523389583206755
omega_b03,0.934344681044604
omega_b13,0.169591922845261
b_1,0.305845797727321
a_2,0.0493623103786398
a_3,0.679881391929211
