parameter,value,se_sa,rse_sa,pvalue_sa
b0_pop,0.605950046264124,0.0245486468486359,4.05126577677255,
b1_pop,-1.3013702770396,0.23327040215073,17.92498309408,
b2_pop,-1.13329348539824,0.211257830385171,18.64105221702,
a_pop,0.628148739736506,0.565843724056451,90.0811684018994,
h1_pop,0.00107700767347568,0.000429716599742945,39.8991214571553,
h2_pop,0.103446658076351,0.0140520934266897,13.583902745624,
alpha1_pop,-7.76154567786636e-15,1.55942192538135e-11,200916.414088545,
alpha2_pop,-1.95631889428152,1.19347460248001,61.0061379036228,
hcov1_pop,0,,,
beta_hcov1_score4C,0.232809400289618,0.0440449182071955,18.9188744751728,1.25206705448022e-07
hcov2_pop,0,,,
beta_hcov2_score4C,-0.12936904055425,0.0194993191058865,15.0726317690434,3.25512949927997e-11
omega_b0,0.026263871249336,0.0345057958966075,131.381225444744,
omega_b1,0.243570722326045,0.121210592450411,49.7640238912451,
omega_b2,0.294142222602491,0.137633902360641,46.7916170425631,
omega_a,1.79879910077845,0.421348384406299,23.4238711940625,
e_b,1.63709427850042,0.0785104532093719,4.79571972368552,
