parameter,value
b01_pop,4.81045413545531
b11_pop,-0.140715995135055
b21_pop,-0.147976760503394
a1_pop,3.91516372993762
b02_pop,7.40234501292679
b12_pop,0.00282614153271789
b03_pop,4.23859739005025
b13_pop,-0.150480088300696
p1_pop,0.0306199843385791
g1_pop,0.164188313222665
p2_pop,0.716148945534835
g2_pop,0.109639858272102
alpha11_pop,0.172650256087238
alpha12_pop,-14.9036212180154
alpha13_pop,0.533762807764625
alpha21_pop,-0.0884334151785176
alpha22_pop,3.30163405976154
alpha23_pop,-0.132661868510733
omega_b01,1.90332118894806
omega_b11,0.113037456021992
omega_b21,0.0647542226889446
omega_a1,1.10994892750641
omega_b02,0.0392268880345798
omega_b12,0.00581803860680409
omega_b03,0.910743263126928
omega_b13,0.146298629765536
b_1,0.312493321945917
a_2,0.0505093224222598
a_3,0.687656766057418
