parameter,value
b01_pop,4.46765019469371
b11_pop,-0.118422529024292
b21_pop,-0.134635406168325
a1_pop,4.50260667760082
b02_pop,7.3994576228452
b12_pop,0.00318360038084228
b03_pop,4.19398758626549
b13_pop,-0.174112760591191
p1_pop,0.0415635298081783
g1_pop,0.118995050429426
p2_pop,0.713629597912318
g2_pop,0.137565456239698
alpha11_pop,0.142557238383931
alpha12_pop,-12.5982269990644
alpha13_pop,0.527482695284878
alpha21_pop,-0.131905208923504
alpha22_pop,-0.0026504120255282
alpha23_pop,-0.223222898051836
omega_b01,1.90358597521471
omega_b11,0.105663266960564
omega_b21,0.045298353418268
omega_a1,1.15894494976652
omega_b02,0.0408158332088617
omega_b12,0.00496769965516603
omega_b03,0.991458479843336
omega_b13,0.144334494705789
b_1,0.299930304006709
a_2,0.0485395874954939
a_3,0.702495192291746
