parameter,value
b01_pop,4.92008665745633
b11_pop,-0.168020147998532
b21_pop,-0.154340362412379
a1_pop,4.49959639111593
b02_pop,7.39617090121074
b12_pop,0.00311322233785736
b03_pop,4.2336872979619
b13_pop,-0.153159109458239
p1_pop,0.0304083676983577
g1_pop,0.0871511706960363
p2_pop,0.775389977730456
g2_pop,0.153023375229652
alpha11_pop,0.149981373484485
alpha12_pop,-15.2208969361211
alpha13_pop,0.74486611374992
alpha21_pop,-0.0532258965909459
alpha22_pop,5.31975598500122
alpha23_pop,-0.201523237033906
omega_b01,2.09124591193829
omega_b11,0.118179409176454
omega_b21,0.0727113031001356
omega_a1,0.795424503117279
omega_b02,0.0352000265266725
omega_b12,0.00518949062238353
omega_b03,0.914013219841735
omega_b13,0.150561119071049
b_1,0.296871929872588
a_2,0.0509810211694498
a_3,0.686439905934996
