b03_pop,0.0033001,-0.00010086,3.2057e-06,-4.1145e-05,2.5615e-07,1.3188e-05,2.3603e-05,-9.794e-06,-3.7826e-05,3.924e-06,4.8577e-06
b13_pop,-0.00010086,0.00011795,-1.2434e-05,1.6428e-05,1.4154e-05,-5.6048e-06,2.3399e-06,1.3616e-05,6.0482e-06,-1.8737e-06,-1.244e-06
p1_pop,3.2057e-06,-1.2434e-05,0.00026031,-8.5709e-05,-2.6214e-05,-6.49e-06,-0.001692,1.5177e-05,1.5803e-05,-5.1105e-06,-4.2759e-06
g1_pop,-4.1145e-05,1.6428e-05,-8.5709e-05,0.00036042,-3.0572e-05,1.8247e-05,-0.00036628,-4.4445e-05,-1.3198e-05,1.4331e-05,-2.592e-06
p2_pop,2.5615e-07,1.4154e-05,-2.6214e-05,-3.0572e-05,0.00053325,-2.9179e-05,0.00024624,0.00017291,5.7596e-07,2.4375e-06,3.6164e-07
g2_pop,1.3188e-05,-5.6048e-06,-6.49e-06,1.8247e-05,-2.9179e-05,0.0001457,1.6396e-05,-0.00025404,-4.4869e-06,1.5464e-06,1.5589e-06
alpha13_pop,2.3603e-05,2.3399e-06,-0.001692,-0.00036628,0.00024624,1.6396e-05,0.017994,-6.532e-05,-0.00023965,-3.2213e-05,6.8891e-05
alpha23_pop,-9.794e-06,1.3616e-05,1.5177e-05,-4.4445e-05,0.00017291,-0.00025404,-6.532e-05,0.0013647,1.4906e-05,-1.2061e-05,-8.286e-06
omega_b03,-3.7826e-05,6.0482e-06,1.5803e-05,-1.3198e-05,5.7596e-07,-4.4869e-06,-0.00023965,1.4906e-05,0.0020938,-1.0082e-05,-6.0434e-05
omega_b13,3.924e-06,-1.8737e-06,-5.1105e-06,1.4331e-05,2.4375e-06,1.5464e-06,-3.2213e-05,-1.2061e-05,-1.0082e-05,7.2884e-05,-5.437e-06
a_3,4.8577e-06,-1.244e-06,-4.2759e-06,-2.592e-06,3.6164e-07,1.5589e-06,6.8891e-05,-8.286e-06,-6.0434e-05,-5.437e-06,0.00017149
