parameter,value
b01_pop,4.73525515810584
b11_pop,-0.12468930912185
b21_pop,-0.145355795349107
a1_pop,4.89348910949268
b02_pop,7.39966683500652
b12_pop,0.00333679928499387
b03_pop,4.13332541946261
b13_pop,-0.15967520692007
p1_pop,0.0380912310079767
g1_pop,0.144910633714072
p2_pop,0.665600194149369
g2_pop,0.128253170283343
alpha11_pop,0.15209415003093
alpha12_pop,-11.7021339176324
alpha13_pop,0.640245340765389
alpha21_pop,4.84405793495955e-06
alpha22_pop,4.63070765807325
alpha23_pop,2.79496358374833e-05
omega_b01,2.07661378835773
omega_b11,0.104152680432294
omega_b21,0.0678613743477226
omega_a1,0.672493777927949
omega_b02,0.0413317773210144
omega_b12,0.00522681110409907
omega_b03,0.903586002363638
omega_b13,0.165561604913981
b_1,0.305279748151588
a_2,0.0498768361661542
a_3,0.682089491429015
