parameter,value,se_sa,rse_sa,pvalue_sa
b0_pop,11.1375368661699,0.484923537350433,4.35395674265627,
b1_pop,-0.0350685725311884,0.0341966697803633,97.5137204400046,
h1_pop,0.000438990240929912,0.000288249469632123,65.6619311220961,
h2_pop,0.0590638777699905,0.0120095086288634,20.3330852668214,
alpha1_pop,-0.5393325931178,0.0905868138317785,16.7960948379014,
alpha2_pop,0.255021239898026,0.0360090731729142,14.1200290561339,
hcov1_pop,0,,,
beta_hcov1_score4C,0.310449091274065,0.0618702725898298,19.9292812666701,5.22822090065489e-07
hcov2_pop,0,,,
beta_hcov2_score4C,-0.122573621185442,0.0257707762645317,21.0247327404508,1.97170435400906e-06
omega_b0,4.21406775177554,0.434179628066511,10.3031003211464,
omega_b1,0.133837572833373,0.0373041681394796,27.8727171673407,
e_b,0.444355281052823,0.0222254384433346,5.00172708438961,
