rep,id,b02,b12,b03,b13,b07,b17,p1,g1,p2,g2,alpha12,alpha13,alpha17,alpha22,alpha23,alpha27,eta_b02,eta_b12,eta_b03,eta_b13,eta_b07,eta_b17,eta_p1,eta_g1,eta_p2,eta_g2,eta_alpha12,eta_alpha13,eta_alpha17,eta_alpha22,eta_alpha23,eta_alpha27
1,1,7.32586766890881,0.0109935070984383,3.71083100918875,-0.0730816374846908,645.230559218331,-14.8085044095666,0.0363857316829092,0.103471227012241,0.770435309399794,0.119132785412543,-14.7094698564607,0.453347487991138,0.00398813331191713,6.38890624164746,-3.23553705279035e-16,-0.000473554027659935,-0.0772408402350999,0.0081531928919684,-0.495723702803078,0.0810328550580832,299.983485247205,-9.32409339335343,0,0,0,0,0,0,0,0,0,0
2,1,7.37856252170639,0.00165946267843598,4.79692271951021,-0.234978398782792,561.747807619656,-13.9760462062702,0.0363857316829092,0.103471227012241,0.770435309399794,0.119132785412543,-14.7094698564607,0.453347487991138,0.00398813331191713,6.38890624164746,-3.23553705279035e-16,-0.000473554027659935,-0.0245459874375156,-0.0011808515280339,0.590368007518391,-0.0808639062400183,216.500733648531,-8.491635190057,0,0,0,0,0,0,0,0,0,0
3,1,7.3459829231875,0.00590217515678641,4.17239583802767,-0.051101224706276,635.536134431162,-7.92250595581661,0.0363857316829092,0.103471227012241,0.770435309399794,0.119132785412543,-14.7094698564607,0.453347487991138,0.00398813331191713,6.38890624164746,-3.23553705279035e-16,-0.000473554027659935,-0.0571255859564079,0.00306186095031653,-0.0341588739641487,0.103013267836498,290.289060460037,-2.43809493960342,0,0,0,0,0,0,0,0,0,0
1,2,7.41781369616297,-0.00296042454182157,3.14084554347705,-0.227735701127438,335.734639380094,-8.10971556734656,0.0363857316829092,0.103471227012241,0.770435309399794,0.119132785412543,-14.7094698564607,0.453347487991138,0.00398813331191713,6.38890624164746,-3.23553705279035e-16,-0.000473554027659935,0.0147051870190618,-0.00580073874829146,-1.06570916851478,-0.0736212085846641,-9.51243459103102,-2.62530455113337,0,0,0,0,0,0,0,0,0,0
2,2,7.36216542692048,0.00570084479721182,4.40082357190828,-0.0962948587981116,487.581968373228,0.106904350470485,0.0363857316829092,0.103471227012241,0.770435309399794,0.119132785412543,-14.7094698564607,0.453347487991138,0.00398813331191713,6.38890624164746,-3.23553705279035e-16,-0.000473554027659935,-0.0409430822234276,0.00286053059074194,0.194268859916461,0.0578196337446623,142.334894402102,5.59131536668368,0,0,0,0,0,0,0,0,0,0
3,2,7.414802641218,0.00262579274889637,3.7233045173266,-0.408714067041064,382.303670382293,-1.87032851437895,0.0363857316829092,0.103471227012241,0.770435309399794,0.119132785412543,-14.7094698564607,0.453347487991138,0.00398813331191713,6.38890624164746,-3.23553705279035e-16,-0.000473554027659935,0.0116941320740889,-0.000214521457573516,-0.483250194665222,-0.25459957449829,37.0565964111681,3.61408250183424,0,0,0,0,0,0,0,0,0,0
1,3,7.42282929755622,0.013914895384513,4.94932150825174,-0.258396469795005,437.560028536056,-2.76063906913356,0.0363857316829092,0.103471227012241,0.770435309399794,0.119132785412543,-14.7094698564607,0.453347487991138,0.00398813331191713,6.38890624164746,-3.23553705279035e-16,-0.000473554027659935,0.0197207884123083,0.0110745811780431,0.742766796259914,-0.104281977252231,92.3129545649307,2.72377194707963,0,0,0,0,0,0,0,0,0,0
2,3,7.44222244173891,0.00856813389188447,5.41017502813206,-0.220779834030012,441.323694378491,-6.71506931610008,0.0363857316829092,0.103471227012241,0.770435309399794,0.119132785412543,-14.7094698564607,0.453347487991138,0.00398813331191713,6.38890624164746,-3.23553705279035e-16,-0.000473554027659935,0.0391139325949963,0.00572781968541458,1.20362031614023,-0.0666653414872383,96.0766204073657,-1.23065829988689,0,0,0,0,0,0,0,0,0,0
3,3,7.36531143903632,0.0012628371251142,5.36777735351326,-0.120235736069812,460.024864205729,-5.05805635778561,0.0363857316829092,0.103471227012241,0.770435309399794,0.119132785412543,-14.7094698564607,0.453347487991138,0.00398813331191713,6.38890624164746,-3.23553705279035e-16,-0.000473554027659935,-0.0377970701075894,-0.00157747708135568,1.16122264152144,0.0338787564729619,114.777790234604,0.426354658427578,0,0,0,0,0,0,0,0,0,0
1,4,7.37760647793043,0.0128616337025259,4.23752018990989,-0.146694903022042,203.511484615098,-10.1740608662499,0.0363857316829092,0.103471227012241,0.770435309399794,0.119132785412543,-14.7094698564607,0.453347487991138,0.00398813331191713,6.38890624164746,-3.23553705279035e-16,-0.000473554027659935,-0.025502031213481,0.010021319496056,0.0309654779180706,0.00741958952073157,-141.735589356027,-4.68964985003668,0,0,0,0,0,0,0,0,0,0
2,4,7.37061571020116,0.00569179019097375,4.64765623090831,-0.257873899471455,258.303617115287,-17.3605406250696,0.0363857316829092,0.103471227012241,0.770435309399794,0.119132785412543,-14.7094698564607,0.453347487991138,0.00398813331191713,6.38890624164746,-3.23553705279035e-16,-0.000473554027659935,-0.0324927989427515,0.00285147598450387,0.441101518916488,-0.103759406928681,-86.943456855838,-11.8761296088564,0,0,0,0,0,0,0,0,0,0
3,4,7.37966658183556,0.0063862340686744,3.87893496760381,0.0419283560638162,161.555370147202,-6.05578480784177,0.0363857316829092,0.103471227012241,0.770435309399794,0.119132785412543,-14.7094698564607,0.453347487991138,0.00398813331191713,6.38890624164746,-3.23553705279035e-16,-0.000473554027659935,-0.0234419273083475,0.00354591986220451,-0.327619744388013,0.19604284860659,-183.691703823923,-0.571373791628575,0,0,0,0,0,0,0,0,0,0
1,5,7.41325644885764,0.0121562457667105,5.58523232187128,0.215538188503079,399.134962112409,-7.72435119464546,0.0363857316829092,0.103471227012241,0.770435309399794,0.119132785412543,-14.7094698564607,0.453347487991138,0.00398813331191713,6.38890624164746,-3.23553705279035e-16,-0.000473554027659935,0.0101479397137361,0.00931593156024062,1.37867760987946,0.369652681045853,53.8878881412833,-2.23994017843227,0,0,0,0,0,0,0,0,0,0
2,5,7.36440511598942,0.00960345978101668,4.70532240684448,-0.110569380745062,353.884262837814,-6.311171284488,0.0363857316829092,0.103471227012241,0.770435309399794,0.119132785412543,-14.7094698564607,0.453347487991138,0.00398813331191713,6.38890624164746,-3.23553705279035e-16,-0.000473554027659935,-0.0387033931544849,0.0067631455745468,0.498767694852652,0.0435451117977119,8.63718886668903,-0.82676026827481,0,0,0,0,0,0,0,0,0,0
3,5,7.42755086546826,0.0121158723760653,4.82528711978222,0.0397602077699493,381.57117308418,-4.71246547203238,0.0363857316829092,0.103471227012241,0.770435309399794,0.119132785412543,-14.7094698564607,0.453347487991138,0.00398813331191713,6.38890624164746,-3.23553705279035e-16,-0.000473554027659935,0.0244423563243537,0.00927555816959545,0.618732407790396,0.193874700312723,36.3240991130546,0.771945544180806,0,0,0,0,0,0,0,0,0,0
1,6,7.36351546769594,0.00556939625025346,5.41140672314602,-0.0873488206535096,259.869255972038,-11.6936850689886,0.0363857316829092,0.103471227012241,0.770435309399794,0.119132785412543,-14.7094698564607,0.453347487991138,0.00398813331191713,6.38890624164746,-3.23553705279035e-16,-0.000473554027659935,-0.0395930414479642,0.00272908204378357,1.20485201115419,0.0667656718892644,-85.3778179990876,-6.20927405277542,0,0,0,0,0,0,0,0,0,0
2,6,7.3767435366071,0.010716462399565,5.5349470052273,-0.0280696542790016,269.411547658053,-3.30445421408274,0.0363857316829092,0.103471227012241,0.770435309399794,0.119132785412543,-14.7094698564607,0.453347487991138,0.00398813331191713,6.38890624164746,-3.23553705279035e-16,-0.000473554027659935,-0.0263649725368049,0.00787614819309514,1.32839229323548,0.126044838263772,-75.8355263130722,2.17995680213045,0,0,0,0,0,0,0,0,0,0
3,6,7.41192991001893,0.0121240458112176,5.39113388066844,0.00875298021337503,239.34703408621,-6.26202769953159,0.0363857316829092,0.103471227012241,0.770435309399794,0.119132785412543,-14.7094698564607,0.453347487991138,0.00398813331191713,6.38890624164746,-3.23553705279035e-16,-0.000473554027659935,0.0088214008750187,0.00928373160474774,1.18457916867662,0.162867472756149,-105.900039884915,-0.777616683318395,0,0,0,0,0,0,0,0,0,0
1,7,7.47628347159872,-0.000443801363951088,3.30081207492447,-0.464317745438087,494.317405046864,-5.94668752305136,0.0363857316829092,0.103471227012241,0.770435309399794,0.119132785412543,-14.7094698564607,0.453347487991138,0.00398813331191713,6.38890624164746,-3.23553705279035e-16,-0.000473554027659935,0.0731749624548108,-0.00328411557042097,-0.905742637067358,-0.310203252895313,149.070331075739,-0.462276506838172,0,0,0,0,0,0,0,0,0,0
2,7,7.44510744405822,0.0122854782940415,2.79874098946534,-0.324067875385662,533.87360756215,1.82542013452781,0.0363857316829092,0.103471227012241,0.770435309399794,0.119132785412543,-14.7094698564607,0.453347487991138,0.00398813331191713,6.38890624164746,-3.23553705279035e-16,-0.000473554027659935,0.0419989349143135,0.00944516408757159,-1.40781372252649,-0.169953382842888,188.626533591024,7.309831150741,0,0,0,0,0,0,0,0,0,0
3,7,7.45281852465423,0.000311722436571904,2.00496330715495,0.0421511690073907,404.52221556046,-3.7409287186978,0.0363857316829092,0.103471227012241,0.770435309399794,0.119132785412543,-14.7094698564607,0.453347487991138,0.00398813331191713,6.38890624164746,-3.23553705279035e-16,-0.000473554027659935,0.0497100155103212,-0.00252859176989798,-2.20159140483687,0.196265661550165,59.2751415893343,1.74348229751539,0,0,0,0,0,0,0,0,0,0
