id,eta_b03_SAEM,eta_b13_SAEM,eta_p1_SAEM,eta_g1_SAEM,eta_p2_SAEM,eta_g2_SAEM,eta_alpha13_SAEM,eta_alpha23_SAEM
1,0.580943,-0.00869399,0,0,0,0,0,0
2,0.0298164,0.162379,0,0,0,0,0,0
3,0.140698,0.00681078,0,0,0,0,0,0
4,-0.118609,-0.0135777,0,0,0,0,0,0
5,-0.204552,-0.25286,0,0,0,0,0,0
6,0.408305,-0.0291983,0,0,0,0,0,0
7,0.86295,0.104401,0,0,0,0,0,0
8,0.234869,-0.0263597,0,0,0,0,0,0
9,1.53722,0.0484962,0,0,0,0,0,0
10,0.572442,-0.0458477,0,0,0,0,0,0
11,-0.382171,-0.125062,0,0,0,0,0,0
12,1.06937,-0.0038176,0,0,0,0,0,0
13,-1.26753,-0.0984966,0,0,0,0,0,0
14,-0.714279,-0.108273,0,0,0,0,0,0
15,0.0189848,0.0135895,0,0,0,0,0,0
16,0.692074,-0.0360016,0,0,0,0,0,0
17,1.22954,0.054017,0,0,0,0,0,0
18,-1.00951,-0.0438405,0,0,0,0,0,0
19,-0.377533,-0.0202754,0,0,0,0,0,0
20,-0.187107,0.0147399,0,0,0,0,0,0
21,0.337635,0.0771235,0,0,0,0,0,0
22,-0.0721975,0.0126287,0,0,0,0,0,0
23,-0.0869952,0.102235,0,0,0,0,0,0
24,1.14844,0.0871098,0,0,0,0,0,0
25,-0.309497,-0.0155541,0,0,0,0,0,0
26,0.722538,-0.198295,0,0,0,0,0,0
27,0.528762,-0.0343814,0,0,0,0,0,0
28,1.1882,0.0174195,0,0,0,0,0,0
29,-0.40661,-0.101932,0,0,0,0,0,0
30,-0.678809,-0.0121434,0,0,0,0,0,0
31,0.585843,0.014325,0,0,0,0,0,0
32,0.127623,-0.0104971,0,0,0,0,0,0
33,-0.414165,0.0711724,0,0,0,0,0,0
34,0.640445,0.0547562,0,0,0,0,0,0
35,0.267198,-0.124773,0,0,0,0,0,0
36,0.739686,-0.0474739,0,0,0,0,0,0
37,-0.539676,-0.178057,0,0,0,0,0,0
38,-1.51794,-0.0130505,0,0,0,0,0,0
39,-0.91932,0.0751619,0,0,0,0,0,0
40,0.31884,-0.0400095,0,0,0,0,0,0
41,-0.229562,-0.097141,0,0,0,0,0,0
42,-0.23621,0.0464369,0,0,0,0,0,0
43,0.0348762,0.109672,0,0,0,0,0,0
44,1.4562,-0.0249808,0,0,0,0,0,0
45,-0.0861661,0.114747,0,0,0,0,0,0
46,0.330641,0.185985,0,0,0,0,0,0
47,-0.769596,0.351003,0,0,0,0,0,0
48,0.832148,0.17782,0,0,0,0,0,0
49,-1.09492,-0.00975454,0,0,0,0,0,0
50,0.812051,0.0578581,0,0,0,0,0,0
51,0.685956,0.118788,0,0,0,0,0,0
52,0.281747,0.0410971,0,0,0,0,0,0
53,0.031654,-0.00960345,0,0,0,0,0,0
54,0.66453,-0.0863032,0,0,0,0,0,0
55,0.457391,0.118652,0,0,0,0,0,0
56,-0.916847,-0.0726181,0,0,0,0,0,0
57,-0.318315,0.00661666,0,0,0,0,0,0
58,-0.463385,-0.0779993,0,0,0,0,0,0
59,0.483715,-0.0624474,0,0,0,0,0,0
60,-0.917372,-0.179167,0,0,0,0,0,0
61,0.32376,0.154797,0,0,0,0,0,0
62,0.625262,-0.205078,0,0,0,0,0,0
63,-0.31985,-0.0735325,0,0,0,0,0,0
64,-0.202608,0.117101,0,0,0,0,0,0
65,-0.263483,0.114119,0,0,0,0,0,0
66,0.0461943,0.0753679,0,0,0,0,0,0
67,-0.207051,-0.11477,0,0,0,0,0,0
68,-0.434887,0.0334673,0,0,0,0,0,0
69,0.0952843,0.00276115,0,0,0,0,0,0
70,0.444957,-0.0196456,0,0,0,0,0,0
71,-0.0291192,-0.0571711,0,0,0,0,0,0
72,0.265233,0.0825913,0,0,0,0,0,0
73,0.040017,-0.00942364,0,0,0,0,0,0
74,-0.135514,-0.00678645,0,0,0,0,0,0
75,-0.114269,-0.00655209,0,0,0,0,0,0
76,1.19839,0.214753,0,0,0,0,0,0
77,-0.997049,0.164561,0,0,0,0,0,0
78,-0.193571,-0.0614002,0,0,0,0,0,0
79,-0.919263,-0.00614114,0,0,0,0,0,0
80,-1.52883,0.0729024,0,0,0,0,0,0
81,-0.309741,0.12519,0,0,0,0,0,0
82,-0.0315014,0.0867219,0,0,0,0,0,0
83,1.56453,0.0344484,0,0,0,0,0,0
84,0.39217,0.0519345,0,0,0,0,0,0
85,-0.497838,0.10209,0,0,0,0,0,0
86,0.705473,-0.134873,0,0,0,0,0,0
87,-1.24303,-0.017171,0,0,0,0,0,0
88,0.0799319,-0.13311,0,0,0,0,0,0
89,0.950014,-0.0232697,0,0,0,0,0,0
90,0.102925,0.09166,0,0,0,0,0,0
91,-1.43031,-0.0169044,0,0,0,0,0,0
92,0.661975,0.270796,0,0,0,0,0,0
93,0.601271,0.111355,0,0,0,0,0,0
94,0.162861,-0.0591965,0,0,0,0,0,0
95,-0.133329,0.0192486,0,0,0,0,0,0
96,-0.167281,-0.120164,0,0,0,0,0,0
97,-0.920747,-0.167138,0,0,0,0,0,0
98,0.242238,0.144137,0,0,0,0,0,0
99,0.469512,-0.0742252,0,0,0,0,0,0
100,0.50418,-0.173546,0,0,0,0,0,0
101,1.16216,-0.150148,0,0,0,0,0,0
102,-0.42246,-0.0329561,0,0,0,0,0,0
103,0.329025,-0.0910446,0,0,0,0,0,0
104,0.290509,0.0341959,0,0,0,0,0,0
105,0.507654,-0.0147871,0,0,0,0,0,0
106,0.456948,0.0974771,0,0,0,0,0,0
107,-1.65312,-0.224109,0,0,0,0,0,0
108,0.682098,0.0699041,0,0,0,0,0,0
109,-1.27537,-0.111964,0,0,0,0,0,0
110,-0.0555485,-0.014612,0,0,0,0,0,0
111,1.56464,-0.0744663,0,0,0,0,0,0
112,0.0542184,-0.0448176,0,0,0,0,0,0
113,-0.365325,0.088252,0,0,0,0,0,0
114,-0.0293525,0.075772,0,0,0,0,0,0
115,-0.596754,-0.16253,0,0,0,0,0,0
116,-1.5381,-0.0138216,0,0,0,0,0,0
117,0.509031,0.020284,0,0,0,0,0,0
118,1.76222,0.0637062,0,0,0,0,0,0
119,-1.15136,-0.0128376,0,0,0,0,0,0
120,-0.0148619,-0.0790799,0,0,0,0,0,0
121,0.60086,0.0428747,0,0,0,0,0,0
122,-0.0757218,0.172734,0,0,0,0,0,0
123,-0.67672,-0.0599138,0,0,0,0,0,0
124,-1.73019,-0.0445438,0,0,0,0,0,0
125,-1.09775,-0.0627934,0,0,0,0,0,0
126,-1.14639,-0.00975543,0,0,0,0,0,0
127,0.568516,-0.071677,0,0,0,0,0,0
128,0.248709,-0.0487907,0,0,0,0,0,0
129,-0.0185843,-0.160569,0,0,0,0,0,0
130,-0.152382,-0.0974808,0,0,0,0,0,0
