rep,id,eta_b03,eta_b13,eta_p1,eta_g1,eta_p2,eta_g2,eta_alpha13,eta_alpha23
1,1,0.639898082155575,-0.00444349272116948,0,0,0,0,0,0
2,1,0.260601826220172,-0.0254110768595751,0,0,0,0,0,0
3,1,0.975744143263112,-0.0659632692398741,0,0,0,0,0,0
1,2,-0.136772877472105,-0.00166705624383257,0,0,0,0,0,0
2,2,0.2904543140049,0.112036509587121,0,0,0,0,0,0
3,2,0.537958784034232,0.225790429503374,0,0,0,0,0,0
1,3,0.267988488766632,-0.223778096544904,0,0,0,0,0,0
2,3,0.334920511106461,0.0746187840071643,0,0,0,0,0,0
3,3,0.966202127408604,-0.0997640601254584,0,0,0,0,0,0
1,4,-0.431078902789158,0.0992711066717205,0,0,0,0,0,0
2,4,0.0957990899456362,3.64410437276308e-05,0,0,0,0,0,0
3,4,-0.21730601244984,0.09991483770853,0,0,0,0,0,0
1,5,0.391789509239494,-0.282297194106528,0,0,0,0,0,0
2,5,0.0441843225515592,-0.271781000140986,0,0,0,0,0,0
3,5,-0.255541706737292,-0.240731660976083,0,0,0,0,0,0
1,6,0.487179984132811,0.0926869770853639,0,0,0,0,0,0
2,6,0.0767867584762882,-0.114665401622235,0,0,0,0,0,0
3,6,1.36183972401057,-0.436181755030435,0,0,0,0,0,0
1,7,1.50134309039284,0.075598708582583,0,0,0,0,0,0
2,7,1.11598643711858,0.102226269375794,0,0,0,0,0,0
3,7,0.838216242493851,0.082953915093004,0,0,0,0,0,0
1,8,0.842938232820781,0.14045498160326,0,0,0,0,0,0
2,8,-0.203992467590052,0.0199819310164432,0,0,0,0,0,0
3,8,-0.317708945011136,0.0917174207023745,0,0,0,0,0,0
1,9,1.21495266525145,0.102367546240236,0,0,0,0,0,0
2,9,1.3967343560622,-0.0277115786508112,0,0,0,0,0,0
3,9,2.13533398284094,0.0620646261076785,0,0,0,0,0,0
1,10,0.99377480994793,-0.0927309171624242,0,0,0,0,0,0
2,10,0.999644440572182,-0.159793009484194,0,0,0,0,0,0
3,10,0.497705001391417,-0.122328365476825,0,0,0,0,0,0
1,11,-0.113451768645247,-0.143573574083724,0,0,0,0,0,0
2,11,-0.526572553304915,-0.110750685131825,0,0,0,0,0,0
3,11,-0.248845168799635,-0.100685141682406,0,0,0,0,0,0
1,12,1.2431853599901,0.114208678874461,0,0,0,0,0,0
2,12,0.0348194447133485,-0.0548539011745535,0,0,0,0,0,0
3,12,1.43455018040901,0.0705292279534186,0,0,0,0,0,0
