rep,id,eta_b02,eta_b12,eta_b03,eta_b13,eta_b04,eta_b14,eta_b05,eta_b15,eta_b06,eta_b16,eta_h1,eta_h2,eta_alpha12,eta_alpha13,eta_alpha14,eta_alpha15,eta_alpha16,eta_alpha22,eta_alpha23,eta_alpha24,eta_alpha25,eta_alpha26,eta_hcov1,eta_hcov2,score4C
1,1,0.141667634487916,0.050053004258871,0.41271865082081,0.0797520248080955,-0.053138430084493,0.00235653423227151,0.0856717036853354,-0.0243421830237494,0.368015171683851,-0.0405274227530288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
2,1,0.515758738797061,0.0434959831473445,1.02976899157128,0.000897804525534812,0.213223231713636,0.0868138290425847,0.387554872388346,-0.0194153947133023,0.343812260944105,0.0313668741990919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
3,1,0.92824868079395,-0.00642108068101531,0.659364199540767,0.128038387757925,2.10441277638893,-0.153604310344393,0.199880218813598,0.0132190412549288,-2.87487442235383,0.12986905550814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
1,2,-0.0489879842799494,-0.0242166474940848,-0.681395724969027,-0.0324241141108483,0.045513218592375,-0.0851909198505777,-0.0695133271998891,0.0202775187901569,-1.16967554783341,-0.139301535068356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2,2,1.1799984572995,-0.169783679959741,-0.835991271033468,0.0751323144187967,1.1338827024665,-0.0407235723541876,-0.211631685577286,0.0250270721388371,-2.6173339955848,0.118493426103921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
3,2,-0.477871192199355,-0.00491622782333032,-1.14498021429193,0.231647515593521,0.868323104224942,-0.0422317073241074,0.0214924367587921,0.00284969706601762,-0.597805410097706,0.117420483477234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,3,-0.822765702121703,-0.0876944771276905,-1.07011237855309,-0.261030012411693,0.123173342358679,-0.142628671685546,-0.134712242875788,-0.0190353365228561,0.551133484585463,-0.0626592208187724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
2,3,-0.396223034581602,0.0140976988272642,-1.43875697457196,-0.256275799411972,-1.28831984812472,-0.199180025027004,-0.126298199462623,0.0082648618046798,0.800188191601933,0.0709294123660647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
3,3,-0.0448027851654986,-0.04328890081536,-0.848033797748212,-0.449089982229292,-1.70589292918234,0.0556787902596769,0.359408124798815,0.0143089609593577,-0.871486675177692,-0.13967106669646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
1,4,0.694471566607749,0.0824175192228949,-1.80292569213908,-0.0421960280494737,-1.05774846578103,-0.0721578061797861,-0.123632699643343,0.00981908627238856,-2.86425599645678,-0.136680950276575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
2,4,0.167694028435563,-0.0654717936535399,-1.07239490941422,-0.0898852725848494,-0.700066684307004,-0.0248658639897607,-0.0929707339209855,0.0286287633689048,-7.4990628802428,-0.0387473453397013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
3,4,-0.304804464527138,-0.154096300521068,-1.52833932597392,-0.0197923192057465,1.15060116052454,-0.0808886115257232,-0.120026250261068,-0.0283321243634337,-2.9207892927316,-0.0562987108967158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
1,5,2.87083086933652,-0.0955457741695203,-1.36125720771426,0.176040399485965,0.669984808216419,-0.1059924341303,0.511834321511934,0.0150293852001769,2.84961899026328,-0.222102676062835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2,5,2.0521339560468,0.00153501905386976,-1.31474936290976,0.158719589794194,2.33197175170853,-0.210645765733021,-0.00553181665129898,0.0285963373233014,0.599832207516627,-0.0836232433399457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
3,5,3.03300463203191,-0.0569955875258722,-0.67861923929545,0.161782263219587,0.604354143938188,-0.100776020520697,0.341995253094749,0.0438765628850226,3.08547836365672,-0.202625205942546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
