b02_pop,1,-0.38243,0.00013666,0.0043415,0.042315,-0.042651,-0.10112,0.099548,0.15317,0.091447,-0.13417,0.0015883,0.053094,0.13217,0.08627,-0.016881,0.076291,0.001889,0.0070297,-0.0036955,0.10835,0.16302,-0.099213,-0.004199,-0.093702
b12_pop,-0.38243,1,-0.0031764,-0.0046839,-0.027721,-0.013204,0.040775,-0.072347,-0.039396,-0.050937,0.088142,-0.00083712,-0.023571,-0.091241,-0.034178,0.0076627,-0.014902,-0.021851,-0.0053627,0.0070051,-0.069563,-0.10906,0.031932,0.0037697,0.061472
b03_pop,0.00013666,-0.0031764,1,-0.15075,-0.014128,0.023941,0.017449,-0.0086635,-0.011381,-0.014233,0.00122,-9.6437e-05,-0.0026971,-0.016508,-0.018332,0.00080115,0.0059745,-0.00047573,-0.025123,0.038703,-0.015575,-0.011677,-0.0026392,-0.0055894,0.011369
b13_pop,0.0043415,-0.0046839,-0.15075,1,0.0096692,-0.063297,-0.034244,0.0093368,0.028106,0.026736,-0.0021441,0.001043,0.050279,0.021859,0.030875,0.016232,-0.0057466,0.0080651,0.012063,-0.091227,0.025846,0.015098,0.00082398,0.020278,-0.016839
b06_pop,0.042315,-0.027721,-0.014128,0.0096692,1,-0.36051,-0.26676,0.34894,0.14514,0.21053,-0.1645,0.0048792,0.15017,0.30448,0.18786,-0.072772,0.011586,-0.043072,-0.0037481,0.030714,0.10834,0.32974,0.012049,-0.0047988,-0.19182
b16_pop,-0.042651,-0.013204,0.023941,-0.063297,-0.36051,1,0.11642,-0.1447,-0.07021,-0.14731,0.25825,-0.0044792,-0.17532,-0.22305,-0.10017,0.11934,0.006765,0.047828,0.010846,-0.068267,-0.19462,-0.48367,-0.021937,0.0049458,0.2087
h1_pop,-0.10112,0.040775,0.017449,-0.034244,-0.26676,0.11642,1,-0.50029,-0.42783,-0.70008,0.097321,-0.0059628,-0.16782,-0.61918,-0.94735,0.089737,-0.017537,0.13917,0.0054659,-0.058467,-0.54055,-0.67926,-0.037566,0.012806,0.4107
h2_pop,0.099548,-0.072347,-0.0086635,0.0093368,0.34894,-0.1447,-0.50029,1,0.32755,0.40181,-0.44487,0.010245,0.20985,0.7507,0.4495,-0.62592,0.0009187,-0.1439,-0.0012728,0.030078,0.57115,0.57619,0.039945,-0.012632,-0.45357
alpha12_pop,0.15317,-0.039396,-0.011381,0.028106,0.14514,-0.07021,-0.42783,0.32755,1,0.34044,-0.37097,0.0075441,0.29419,0.46491,0.37549,0.019579,-0.0032263,-0.13225,0.0020667,0.043083,0.40281,0.48817,0.055389,-0.015828,-0.31712
alpha13_pop,0.091447,-0.050937,-0.014233,0.026736,0.21053,-0.14731,-0.70008,0.40181,0.34044,1,-0.12474,0.0033314,0.065444,0.54755,0.58019,-0.056627,-0.0008323,-0.13459,-0.0077704,0.01505,0.43648,0.61078,0.04434,-0.0020076,-0.3594
