parameter,value
b01_pop,4.572501975945
b11_pop,-0.149755275974575
b21_pop,-0.183236978926942
a1_pop,4.22792961038425
b02_pop,7.39536705595956
b12_pop,0.00279172495236768
b03_pop,4.2391249777048
b13_pop,-0.150806235254234
p1_pop,0.0616897915079489
g1_pop,0.0861804127869593
p2_pop,0.7114355792584
g2_pop,0.136912306175871
alpha11_pop,0.15257900578155
alpha12_pop,-10.8576873407007
alpha13_pop,0.570030360622491
alpha21_pop,-0.0446021435959024
alpha22_pop,3.51552282456255
alpha23_pop,-0.210282462457245
omega_b01,1.96767314056757
omega_b11,0.114491116905767
omega_b21,0.0780561836641869
omega_a1,0.799311476159763
omega_b02,0.0372724270839603
omega_b12,0.00583571402851088
omega_b03,0.852248705892639
omega_b13,0.150030370231691
b_1,0.302274047143998
a_2,0.0501286102552054
a_3,0.709662023876047
