"rep"	"id"	"b02"	"b12"	"b03"	"b13"	"h1"	"h2"	"alpha12"	"alpha13"	"alpha22"	"alpha23"	"hcov1"	"hcov2"
1	"1"	4.73402090683542	0.0338942373932558	4.06651357077166	0.00238270318736578	0.0004260913	0.1034865	0.4978851	0.4700881	-0.2668553	-0.5051688	3.6890612	-1.7545297
1	"5"	3.09010608838368	-0.129113933790415	6.13662690938354	0.018363395998271	0.0004260913	0.1034865	0.4978851	0.4700881	-0.2668553	-0.5051688	1.0061076	-0.4785081
1	"8"	3.96334542371937	-0.0924897277439374	8.70376110584146	-0.0655067361049665	0.0004260913	0.1034865	0.4978851	0.4700881	-0.2668553	-0.5051688	2.3475844	-1.1165189
1	"9"	6.73850639247063	-0.0950258962644524	6.42964513027253	-0.00808799232206124	0.0004260913	0.1034865	0.4978851	0.4700881	-0.2668553	-0.5051688	2.0122152	-0.9570162
1	"11"	3.94717793051295	-0.275899518872567	5.63009204934394	0.0169480351345972	0.0004260913	0.1034865	0.4978851	0.4700881	-0.2668553	-0.5051688	2.6829536	-1.2760216
1	"14"	5.01768487293714	-0.261935757888961	4.32169907988122	0.0350989103775491	0.0004260913	0.1034865	0.4978851	0.4700881	-0.2668553	-0.5051688	1.3414768	-0.6380108
1	"18"	4.11005128624731	-0.319087849919678	6.87641094790783	-0.0667001535925133	0.0004260913	0.1034865	0.4978851	0.4700881	-0.2668553	-0.5051688	0.6707384	-0.3190054
1	"22"	3.04852335769982	-0.102359469416189	5.72068853985937	0.129359016191217	0.0004260913	0.1034865	0.4978851	0.4700881	-0.2668553	-0.5051688	1.676846	-0.7975135
1	"23"	4.62524627683019	-0.410977721063623	4.02821209391703	0.0714072964914284	0.0004260913	0.1034865	0.4978851	0.4700881	-0.2668553	-0.5051688	3.6890612	-1.7545297
1	"26"	3.46865353975443	-0.0317921330774853	5.16251887298637	0.0570064248393869	0.0004260913	0.1034865	0.4978851	0.4700881	-0.2668553	-0.5051688	2.3475844	-1.1165189
1	"27"	4.81110807536915	-0.198145579077318	6.45291865708309	-0.00341439446323976	0.0004260913	0.1034865	0.4978851	0.4700881	-0.2668553	-0.5051688	1.676846	-0.7975135
1	"33"	3.87797683914553	0.0330056558561131	7.08884854586514	0.0263166051518403	0.0004260913	0.1034865	0.4978851	0.4700881	-0.2668553	-0.5051688	2.6829536	-1.2760216
1	"35"	4.8256229302794	0.0818525250911807	5.94969170800938	-0.0235984721040584	0.0004260913	0.1034865	0.4978851	0.4700881	-0.2668553	-0.5051688	1.676846	-0.7975135
1	"36"	4.23038682703621	0.380532108542695	5.04031671798425	-0.0560609931208816	0.0004260913	0.1034865	0.4978851	0.4700881	-0.2668553	-0.5051688	1.3414768	-0.6380108
1	"37"	3.25362237191498	0.0800616633976625	5.09127827654835	0.0393084145613301	0.0004260913	0.1034865	0.4978851	0.4700881	-0.2668553	-0.5051688	1.3414768	-0.6380108
1	"39"	5.18030655013025	-0.251339628394247	6.41086306928947	0.115871063352886	0.0004260913	0.1034865	0.4978851	0.4700881	-0.2668553	-0.5051688	1.0061076	-0.4785081
1	"41"	5.01698776054002	-0.223890834189072	5.19985660566386	0.0377571581915541	0.0004260913	0.1034865	0.4978851	0.4700881	-0.2668553	-0.5051688	0.3353692	-0.1595027
1	"44"	3.21864284371789	-0.315744891154726	6.09460261467867	-0.00678460842368896	0.0004260913	0.1034865	0.4978851	0.4700881	-0.2668553	-0.5051688	2.3475844	-1.1165189
1	"47"	5.0258298973896	-0.185673158042887	3.38000767032238	0.157261165785099	0.0004260913	0.1034865	0.4978851	0.4700881	-0.2668553	-0.5051688	1.0061076	-0.4785081
1	"53"	4.32748233265538	-0.21687160687114	7.11141922050005	0.240475765642702	0.0004260913	0.1034865	0.4978851	0.4700881	-0.2668553	-0.5051688	1.0061076	-0.4785081
1	"55"	4.66893772619413	-0.0664256760010118	4.95410188211848	0.0639904114175424	0.0004260913	0.1034865	0.4978851	0.4700881	-0.2668553	-0.5051688	3.353692	-1.595027
1	"58"	4.54278062363105	-0.270968508520358	4.32219590806764	0.0829672219722048	0.0004260913	0.1034865	0.4978851	0.4700881	-0.2668553	-0.5051688	2.0122152	-0.9570162
1	"60"	3.48402588470669	-0.0443773648023361	5.33168301832063	0.0571686609322905	0.0004260913	0.1034865	0.4978851	0.4700881	-0.2668553	-0.5051688	2.3475844	-1.1165189
1	"65"	6.93048912262166	-0.0957148383748812	7.07068478913246	0.0725676778411137	0.0004260913	0.1034865	0.4978851	0.4700881	-0.2668553	-0.5051688	2.6829536	-1.2760216
1	"67"	6.63943643973878	-0.296506024823493	4.38946529703381	0.0799064634081468	0.0004260913	0.1034865	0.4978851	0.4700881	-0.2668553	-0.5051688	2.0122152	-0.9570162
1	"70"	5.42065606278112	-0.347226503847605	7.35018173522096	0.146784565094473	0.0004260913	0.1034865	0.4978851	0.4700881	-0.2668553	-0.5051688	2.3475844	-1.1165189
