rep,id,b01,b11,b21,a1,b02,b12,b03,b13,b04,b14,b05,b15,b06,b16,b07,b17,p1,g1,p2,g2,alpha11,alpha12,alpha13,alpha14,alpha15,alpha16,alpha17,alpha21,alpha22,alpha23,alpha24,alpha25,alpha26,alpha27
1,1,6.15652604137792,-0.144804110328948,-0.162389075526426,2.90781634693241,7.3790416666898,0.00839590672854984,5.90286358229874,-0.0124561368260167,5.10276383289904,0.0380020118307138,8.30970456335448,0.0057503247762185,5.41458014024048,-0.0786667515243499,357.025390680925,-5.99431147367384,0.047255189299764,0.154093027110698,0.753953627339966,0.121826578840942,0.1925081269546,0.0003764936552038,0.526163492923304,-0.394661094121955,1.25021860265114e-11,1.03150407938469e-10,-1.71929710065846e-08,-0.116211907242562,-4.93777524822435e-10,-0.159357779703647,5.12834806424892e-15,1.82556626259343e-06,0.000709069324581752,-4.73419310516132e-10
2,1,5.33180366019663,-0.103753673404843,-0.110675818576989,4.74576457677224,7.40136894047558,-0.000356603894384886,5.40106015802981,-0.119483947374504,4.83364750236249,0.116412094438556,8.19518736897458,0.112721703057957,5.48314425465643,-0.126614771685697,403.910108160645,-9.46262986416813,0.047255189299764,0.154093027110698,0.753953627339966,0.121826578840942,0.1925081269546,0.0003764936552038,0.526163492923304,-0.394661094121955,1.25021860265114e-11,1.03150407938469e-10,-1.71929710065846e-08,-0.116211907242562,-4.93777524822435e-10,-0.159357779703647,5.12834806424892e-15,1.82556626259343e-06,0.000709069324581752,-4.73419310516132e-10
3,1,5.73925936308332,0.0437768958569846,-0.105364646689265,1.65923451090476,7.40106277176043,-0.00184907546319499,5.68413365551461,-0.105223692257605,6.06935979093343,0.0386283479026806,8.82939320845466,0.0888094488604954,5.40030548922877,-0.0606322465237988,329.929430462617,-16.7124299021275,0.047255189299764,0.154093027110698,0.753953627339966,0.121826578840942,0.1925081269546,0.0003764936552038,0.526163492923304,-0.394661094121955,1.25021860265114e-11,1.03150407938469e-10,-1.71929710065846e-08,-0.116211907242562,-4.93777524822435e-10,-0.159357779703647,5.12834806424892e-15,1.82556626259343e-06,0.000709069324581752,-4.73419310516132e-10
1,2,6.3264338505064,-0.0412828590178226,-0.167734358187519,6.86000232260691,7.42685979318723,0.00351383492786941,4.29608372408728,-0.0152678804604876,5.04040227558741,0.27314614506044,6.44992567699831,-0.124816043737239,5.14089211319326,0.0497129812015075,230.596333887754,-5.43976943287617,0.047255189299764,0.154093027110698,0.753953627339966,0.121826578840942,0.1925081269546,0.0003764936552038,0.526163492923304,-0.394661094121955,1.25021860265114e-11,1.03150407938469e-10,-1.71929710065846e-08,-0.116211907242562,-4.93777524822435e-10,-0.159357779703647,5.12834806424892e-15,1.82556626259343e-06,0.000709069324581752,-4.73419310516132e-10
2,2,6.91284891390131,-0.00749529377748815,-0.149755300975495,10.1115190750833,7.40729476925742,0.00186721643016838,3.80637703603281,-0.0338938221717371,6.02869018693044,-0.230251707033611,6.30159728889542,-0.0891358222227311,5.56938919622973,-0.191056899635142,247.555138279622,-5.29928094259896,0.047255189299764,0.154093027110698,0.753953627339966,0.121826578840942,0.1925081269546,0.0003764936552038,0.526163492923304,-0.394661094121955,1.25021860265114e-11,1.03150407938469e-10,-1.71929710065846e-08,-0.116211907242562,-4.93777524822435e-10,-0.159357779703647,5.12834806424892e-15,1.82556626259343e-06,0.000709069324581752,-4.73419310516132e-10
3,2,7.6392572070732,0.0502913214313383,-0.0562496250196621,16.4302264953009,7.43655553484011,0.00699738257501054,4.3211245959106,0.0500321598653477,5.71472326452358,0.0100460268491076,6.8202104650231,-0.0556083196280943,4.80108828455204,0.0679176203549628,295.641654159,-19.583086459526,0.047255189299764,0.154093027110698,0.753953627339966,0.121826578840942,0.1925081269546,0.0003764936552038,0.526163492923304,-0.394661094121955,1.25021860265114e-11,1.03150407938469e-10,-1.71929710065846e-08,-0.116211907242562,-4.93777524822435e-10,-0.159357779703647,5.12834806424892e-15,1.82556626259343e-06,0.000709069324581752,-4.73419310516132e-10
1,3,2.28483278387314,-0.175669253640812,-0.122769388360926,8.89057712833044,7.39748924860501,0.00435732196550187,4.93600326172159,-0.0178359211426285,4.06787201839575,0.00918855661723527,7.74428262615129,-0.00740016563617617,4.39342163539437,0.00319504363608255,191.170054402153,-3.09075385541353,0.047255189299764,0.154093027110698,0.753953627339966,0.121826578840942,0.1925081269546,0.0003764936552038,0.526163492923304,-0.394661094121955,1.25021860265114e-11,1.03150407938469e-10,-1.71929710065846e-08,-0.116211907242562,-4.93777524822435e-10,-0.159357779703647,5.12834806424892e-15,1.82556626259343e-06,0.000709069324581752,-4.73419310516132e-10
2,3,3.46859810256911,-0.179238491760556,-0.0442824094091026,5.59538175434192,7.39800757269015,0.00678467207213271,4.88424228830831,-0.000460287149779491,4.05147237387345,0.0912015455989225,7.97391566009634,-0.0463189625661087,4.55665078443622,-0.0427628943926106,216.4094911038,-1.1258537232298,0.047255189299764,0.154093027110698,0.753953627339966,0.121826578840942,0.1925081269546,0.0003764936552038,0.526163492923304,-0.394661094121955,1.25021860265114e-11,1.03150407938469e-10,-1.71929710065846e-08,-0.116211907242562,-4.93777524822435e-10,-0.159357779703647,5.12834806424892e-15,1.82556626259343e-06,0.000709069324581752,-4.73419310516132e-10
3,3,2.06539490354851,-0.229461572024038,-0.134885158136146,3.21470960818652,7.39360374623968,0.00970218990243785,4.84181588302369,-0.0850913273030341,3.23589267062035,0.13086176891605,8.03090121111044,-0.0501848756007577,4.53603466782667,0.00475906511547429,219.137688178582,-3.65185052934685,0.047255189299764,0.154093027110698,0.753953627339966,0.121826578840942,0.1925081269546,0.0003764936552038,0.526163492923304,-0.394661094121955,1.25021860265114e-11,1.03150407938469e-10,-1.71929710065846e-08,-0.116211907242562,-4.93777524822435e-10,-0.159357779703647,5.12834806424892e-15,1.82556626259343e-06,0.000709069324581752,-4.73419310516132e-10
1,4,3.64468523399027,-0.226631599890315,-0.114895505672292,9.46317967796354,7.38543485654689,0.00134046554517016,4.35386654848673,-0.127874271331212,5.23037545380021,0.0631774334316465,6.66934863137027,-0.0407758847132004,5.34761787255531,0.00541653690955754,522.137159720049,-2.38014418525665,0.047255189299764,0.154093027110698,0.753953627339966,0.121826578840942,0.1925081269546,0.0003764936552038,0.526163492923304,-0.394661094121955,1.25021860265114e-11,1.03150407938469e-10,-1.71929710065846e-08,-0.116211907242562,-4.93777524822435e-10,-0.159357779703647,5.12834806424892e-15,1.82556626259343e-06,0.000709069324581752,-4.73419310516132e-10
