rep,id,eta_b0,eta_b1,eta_h1,eta_h2,eta_alpha1,eta_alpha2,eta_hcov1,eta_hcov2,score4C
1,1,0.149436199331803,-0.00124149737301576,0,0,0,0,0,0,11
2,1,0.360307276123495,-0.00421883234686353,0,0,0,0,0,0,11
3,1,0.27975659234278,0.00337550392875154,0,0,0,0,0,0,11
4,1,-0.0475237865631954,-0.00385608526120246,0,0,0,0,0,0,11
5,1,-0.100344544920403,0.00450708006757765,0,0,0,0,0,0,11
6,1,0.425562343202537,-0.00668749629943088,0,0,0,0,0,0,11
7,1,0.388629060288293,0.00147123836500995,0,0,0,0,0,0,11
8,1,0.448899151521717,0.00342218093957261,0,0,0,0,0,0,11
9,1,-0.0111010161111427,-0.00724670389282391,0,0,0,0,0,0,11
10,1,0.240209819858164,0.00530645391811345,0,0,0,0,0,0,11
1,2,0.00452047917053644,0.000396746576461965,0,0,0,0,0,0,5
2,2,0.432666266024033,0.00183166063328822,0,0,0,0,0,0,5
3,2,0.217084590214865,0.0016749154831356,0,0,0,0,0,0,5
4,2,-0.188573298051769,0.00191974653104113,0,0,0,0,0,0,5
5,2,0.260003921179507,0.000639091906468678,0,0,0,0,0,0,5
6,2,-0.231426919954475,8.44086251636017e-05,0,0,0,0,0,0,5
7,2,0.802983610081972,-0.00187537079023366,0,0,0,0,0,0,5
8,2,0.413418107037353,-0.00471235350961879,0,0,0,0,0,0,5
9,2,0.355731129384875,-0.00226541824421905,0,0,0,0,0,0,5
10,2,-0.0720061246447417,-0.000298241990780436,0,0,0,0,0,0,5
1,3,0.885921317119988,0.00250112637426438,0,0,0,0,0,0,6
2,3,0.829309624673425,0.00538343700999162,0,0,0,0,0,0,6
3,3,0.832726931449449,-8.57103251179839e-05,0,0,0,0,0,0,6
4,3,0.195150652320753,-0.000953907540863317,0,0,0,0,0,0,6
5,3,0.384397607573265,0.00280148718160664,0,0,0,0,0,0,6
6,3,-0.281922632159685,0.00659751656130342,0,0,0,0,0,0,6
7,3,0.23096067315779,0.000861111517440278,0,0,0,0,0,0,6
8,3,0.794714176942293,0.00840543696014701,0,0,0,0,0,0,6
9,3,0.850206599250411,-0.0046876676174131,0,0,0,0,0,0,6
10,3,0.255077054374573,-0.00341408390217683,0,0,0,0,0,0,6
1,4,0.355607998408256,-0.000902222318318974,0,0,0,0,0,0,8
2,4,0.131461907607132,0.00063480630950318,0,0,0,0,0,0,8
3,4,0.518708876582634,0.0023516075288602,0,0,0,0,0,0,8
4,4,-0.0924700305258823,-0.00497713227566989,0,0,0,0,0,0,8
5,4,-0.233971166818608,-0.000689510810373141,0,0,0,0,0,0,8
6,4,0.5785757064507,0.004337402553679,0,0,0,0,0,0,8
7,4,1.59253030398849,0.00194265405622259,0,0,0,0,0,0,8
8,4,0.238625592769287,0.00392147514154488,0,0,0,0,0,0,8
9,4,1.51894481675262,0.00441501604135768,0,0,0,0,0,0,8
10,4,0.168451575164444,0.00534013411731888,0,0,0,0,0,0,8
1,5,0.260021486699042,0.0045014863103055,0,0,0,0,0,0,3
2,5,-0.0116031768797284,0.00901244621029409,0,0,0,0,0,0,3
3,5,0.338518640994494,-0.00303956356570273,0,0,0,0,0,0,3
4,5,0.192381102706737,-0.00165747714221961,0,0,0,0,0,0,3
5,5,0.095264712764451,0.00561292267459452,0,0,0,0,0,0,3
6,5,-0.0212338272932902,0.0023306991647178,0,0,0,0,0,0,3
7,5,-0.291491455949447,0.00285997599222435,0,0,0,0,0,0,3
8,5,-0.0374383364370487,-0.0049246783552592,0,0,0,0,0,0,3
9,5,-0.226992099425441,0.00305520748881874,0,0,0,0,0,0,3
10,5,-0.102638172128677,0.00627447957268257,0,0,0,0,0,0,3
1,6,0.859277716681532,-0.00775067211526638,0,0,0,0,0,0,2
2,6,-0.0372872537067068,-0.0030974522549475,0,0,0,0,0,0,2
3,6,-0.0452920282475267,-0.00187068115393852,0,0,0,0,0,0,2
4,6,0.446702234116739,0.00888754084239977,0,0,0,0,0,0,2
5,6,0.474499026338957,-0.00407116963503388,0,0,0,0,0,0,2
6,6,0.271831774251218,-0.00442154428324769,0,0,0,0,0,0,2
7,6,0.363639996147572,-0.000446640911271971,0,0,0,0,0,0,2
8,6,1.2930187557072,0.0055703681198876,0,0,0,0,0,0,2
9,6,0.617789185882498,0.00181916457740621,0,0,0,0,0,0,2
10,6,0.0488515537831962,-0.00926225129921281,0,0,0,0,0,0,2
1,7,-0.727896827954001,0.000859752718521253,0,0,0,0,0,0,12
2,7,-0.525143894492828,-0.0012134244579636,0,0,0,0,0,0,12
3,7,-0.968623462367439,0.00361354880338321,0,0,0,0,0,0,12
4,7,-0.401440090641141,-0.00521264798388721,0,0,0,0,0,0,12
5,7,-0.383818945664124,-0.00319239873217548,0,0,0,0,0,0,12
6,7,-0.55208929141351,0.00235975277354088,0,0,0,0,0,0,12
7,7,-0.51831311608213,-0.00577122481990206,0,0,0,0,0,0,12
8,7,-0.764295536097587,0.00148049645020314,0,0,0,0,0,0,12
9,7,-0.530707828800276,-0.00169772853295361,0,0,0,0,0,0,12
10,7,-0.736103861772978,0.00299094765345513,0,0,0,0,0,0,12
1,8,-0.883352233886601,-0.0057068014523639,0,0,0,0,0,0,7
