rep,id,b01,b11,b21,a1,b03,b13,p1,g1,p2,g2,alpha11,alpha13,alpha21,alpha23,eta_b01,eta_b11,eta_b21,eta_a1,eta_b03,eta_b13,eta_p1,eta_g1,eta_p2,eta_g2,eta_alpha11,eta_alpha13,eta_alpha21,eta_alpha23
1,1,4.19266261729623,-0.311399976465407,-0.181606115507882,2.86880234068387,4.10687702888784,-0.209044834627747,0.0349920626634089,0.121769643490721,0.78711604591306,0.131939118768636,0.159638021733351,0.796010586848281,-0.0848003797306217,-0.21308279962218,-0.422871806223605,-0.159190251599397,-0.0124429043017171,-0.420419447078199,-0.0769861098013784,-0.0543245259695691,0,0,0,0,0,0,0,0
2,1,5.39058514687788,-0.0722803216310734,-0.252504735443187,2.05295738221201,4.8925800718548,-0.0610078696421873,0.0349920626634089,0.121769643490721,0.78711604591306,0.131939118768636,0.159638021733351,0.796010586848281,-0.0848003797306217,-0.21308279962218,0.775050723358044,0.0799294032349366,-0.0833415242370225,-0.755032707821871,0.708716933165577,0.0937124390159908,0,0,0,0,0,0,0,0
3,1,4.77640830404181,-0.0823736218804535,-0.25709563767296,2.2270772779918,4.92294351908296,0.070593258885783,0.0349920626634089,0.121769643490721,0.78711604591306,0.131939118768636,0.159638021733351,0.796010586848281,-0.0848003797306217,-0.21308279962218,0.160873880521974,0.0698361029855565,-0.087932426466795,-0.673623998693599,0.739080380393739,0.225313567543961,0,0,0,0,0,0,0,0
1,2,3.68896133937243,-0.0945394408537541,-0.019209655608051,3.10104355352491,3.75005810759459,-0.120967603931353,0.0349920626634089,0.121769643490721,0.78711604591306,0.131939118768636,0.159638021733351,0.796010586848281,-0.0848003797306217,-0.21308279962218,-0.926573084147402,0.0576702840122558,0.149953555598114,-0.342575401843837,-0.433805031094633,0.0337527047268252,0,0,0,0,0,0,0,0
2,2,2.95091573572528,-0.0667306963361559,-0.132447520717744,5.49889376350355,4.18057691751214,0.0858332202947277,0.0349920626634089,0.121769643490721,0.78711604591306,0.131939118768636,0.159638021733351,0.796010586848281,-0.0848003797306217,-0.21308279962218,-1.66461868779455,0.085479028529854,0.036715690488421,0.230232851242803,-0.00328622117707944,0.240553528952906,0,0,0,0,0,0,0,0
3,2,4.16491064145066,-0.0240329705126376,-0.062572652924397,4.76640684931002,4.86901576678723,-0.29796058522184,0.0349920626634089,0.121769643490721,0.78711604591306,0.131939118768636,0.159638021733351,0.796010586848281,-0.0848003797306217,-0.21308279962218,-0.450623782069174,0.128176754353372,0.106590558281768,0.0872786531173861,0.68515262809801,-0.143240276563662,0,0,0,0,0,0,0,0
1,3,2.49282698627588,-0.189613864783053,-0.16291654939339,4.16536908273905,5.44621092000814,-0.0764157621111739,0.0349920626634089,0.121769643490721,0.78711604591306,0.131939118768636,0.159638021733351,0.796010586848281,-0.0848003797306217,-0.21308279962218,-2.12270743724395,-0.0374041399170431,0.00624666181277492,-0.0475091998608441,1.26234778131892,0.0783045465470042,0,0,0,0,0,0,0,0
2,3,3.28086654596522,-0.201070900726197,-0.150894688186791,11.7021828262693,4.20489041644386,-0.132708243161672,0.0349920626634089,0.121769643490721,0.78711604591306,0.131939118768636,0.159638021733351,0.796010586848281,-0.0848003797306217,-0.21308279962218,-1.33466787755461,-0.0488611758601872,0.0182685230193739,0.985461303893136,0.0210272777546363,0.0220120654965059,0,0,0,0,0,0,0,0
3,3,2.84412934900287,-0.111130742725875,-0.154597741725024,7.04512169121586,5.02436840018926,-0.254460513283419,0.0349920626634089,0.121769643490721,0.78711604591306,0.131939118768636,0.159638021733351,0.796010586848281,-0.0848003797306217,-0.21308279962218,-1.77140507451696,0.0410789821401352,0.0145654694811413,0.47802133176044,0.840505261500034,-0.0997402046252413,0,0,0,0,0,0,0,0
1,4,2.63534564404719,-0.28352444418198,-0.204920848906043,11.7613944649415,4.86857422479476,-0.126312983032905,0.0349920626634089,0.121769643490721,0.78711604591306,0.131939118768636,0.159638021733351,0.796010586848281,-0.0848003797306217,-0.21308279962218,-1.98018877947264,-0.13131471931597,-0.0357576376998786,0.990508425534562,0.684711086105543,0.0284073256252731,0,0,0,0,0,0,0,0
