rep,id,eta_b01,eta_b11,eta_b21,eta_a1,eta_b02,eta_b12,eta_b03,eta_b13,eta_b05,eta_b15,eta_b07,eta_b17,eta_p1,eta_g1,eta_p2,eta_g2,eta_alpha11,eta_alpha12,eta_alpha13,eta_alpha15,eta_alpha17,eta_alpha21,eta_alpha22,eta_alpha23,eta_alpha25,eta_alpha27
1,1,-3.90112679740081,0.00836797216163626,-0.0300725147970006,0.393228383243577,-0.0252095453577343,-0.00210150513666119,-0.828467034919671,0.148754683864186,-0.708237360923531,0.0768333568430837,46.0720221633899,-7.41744264503068,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,-3.79921586989506,0.0485134903081011,0.00695963997178881,-1.08110869077174,-0.0158941074507828,-0.00247151015793455,-0.180256293191046,0.119695598113133,-0.791750369784231,0.0923691554230668,51.2732971993337,-7.50752749438439,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,0.0140062263658747,-0.334084755883863,0.181736186352294,-0.23319873181683,0.00180658423768687,-0.00171540701265958,-0.726311532098121,0.137965635673691,-0.71689801883521,0.0861422288199876,41.8976888313186,-7.13738361671042,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,-0.574577027462553,0.0547657281425943,-0.0539870193584261,-0.0502573365305947,0.0193168305594718,-0.00239960765621174,-0.872806792811613,0.0120096546259555,-0.677477529335071,0.0424650423317068,-149.639674695754,0.67284424901796,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0.702465943345939,-0.058753362806557,0.0434968627875591,0.786191965257351,0.0384054795783397,-0.000463992978027101,-2.32312478110924,-0.0211522365103751,-1.08950067859163,-0.17352060766128,-18.3693036796051,-5.50123758361288,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2,3.50942900309147,-0.225800351972492,-0.00603186770209732,1.40561366279546,0.00535116390547774,0.0115956217795041,-2.05598403719663,-0.129322220207227,-1.30069409046054,0.00979966922460779,-140.143118362364,0.999034795949406,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,-0.193712581434664,-0.277187963234506,0.0315584318722353,-0.171394939178787,-0.104137815752831,-0.0028120600046556,0.167917127613761,-0.029769815607374,-0.605335055914164,0.0600139386275415,20.828383656671,-0.378620690853958,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,-0.691585976090213,-0.0589797112381838,0.0103842921253309,0.634725612761178,-0.0791912619930937,-0.00585611010928237,-0.238083850965654,-0.000629711470135186,-0.287398508487493,0.00276633798820045,-36.0238922687377,3.12862330191898,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,-0.829735191295933,-0.220320875555685,-0.0134274436437319,-0.0300101180551144,-0.0739658086592092,-0.00731104642952546,0.0677934640125413,-0.0294191060995269,0.327372300504384,6.39884214029968e-06,-56.3700113487633,4.9634849265315,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,-1.43574714677885,-0.0868488354237285,0.044668251753124,-0.283688004645304,-0.0343439158831833,0.00282129005741583,0.0822756664568765,0.0392218488629059,1.05650949476316,0.0993993123036767,-6.04532215087517,7.2427859744517,0,0,0,0,0,0,0,0,0,0,0,0,0,0
