rep,id,b01,b11,b21,a1,b02,b12,b03,b13,b04,b14,b06,b16,b07,b17,p1,g1,p2,g2,alpha11,alpha12,alpha13,alpha14,alpha16,alpha17,alpha21,alpha22,alpha23,alpha24,alpha26,alpha27
1,1,3.67744179998729,-0.220652389937242,-0.101713552796731,1.7592844600215,7.47347237940468,0.00459926509055225,3.75199059669788,-0.117100026197181,5.69256170958947,0.116167386058001,4.54763922575852,-0.128393229324191,576.859429908959,6.39965815534639,0.0384279451677361,0.120671817403014,0.713318510314043,0.138759624512242,0.154357117143177,-12.9782618026855,0.528222442236327,-0.121120427690751,-3.15405806944841e-08,1.52544748346798e-14,-0.130580444027961,2.00604863075086e-07,-0.217260015049729,0.0576095150399525,1.18346192104351e-10,-9.33628525888423e-06
2,1,2.91136060889073,-0.281719077455371,-0.12948252913803,1.90122506263747,7.43421742691571,0.0137076474605589,3.29741287173226,-0.346321773730656,4.98937198327458,-0.0253448653217846,5.57235286951206,-0.198483400240257,463.786612379588,-12.5769890230166,0.0384279451677361,0.120671817403014,0.713318510314043,0.138759624512242,0.154357117143177,-12.9782618026855,0.528222442236327,-0.121120427690751,-3.15405806944841e-08,1.52544748346798e-14,-0.130580444027961,2.00604863075086e-07,-0.217260015049729,0.0576095150399525,1.18346192104351e-10,-9.33628525888423e-06
3,1,4.0281955846809,-0.122282557563114,-0.125031446219008,4.07602199528472,7.40206014114559,0.00114293962486166,3.668636730681,-0.15140247514922,5.46987276598995,-0.0496689847229881,4.50926695462815,0.066780214385429,470.5528299264,2.21197826168721,0.0384279451677361,0.120671817403014,0.713318510314043,0.138759624512242,0.154357117143177,-12.9782618026855,0.528222442236327,-0.121120427690751,-3.15405806944841e-08,1.52544748346798e-14,-0.130580444027961,2.00604863075086e-07,-0.217260015049729,0.0576095150399525,1.18346192104351e-10,-9.33628525888423e-06
1,2,7.87048983984406,-0.0600261682404965,-0.080229361091753,7.82467105494315,7.45264415441429,0.00430601752484165,5.00732183965843,-0.187371518550121,4.4251024920393,0.0739349216880738,4.81287988633578,-0.1394620097359,426.087068138826,-9.12860417369161,0.0384279451677361,0.120671817403014,0.713318510314043,0.138759624512242,0.154357117143177,-12.9782618026855,0.528222442236327,-0.121120427690751,-3.15405806944841e-08,1.52544748346798e-14,-0.130580444027961,2.00604863075086e-07,-0.217260015049729,0.0576095150399525,1.18346192104351e-10,-9.33628525888423e-06
2,2,8.61423877834878,-0.060771610696797,-0.109388141551217,2.06530720849019,7.45248465113094,0.00301002739941782,5.16549348828268,-0.186150246871873,4.1959315273085,0.0888710469171835,4.82173192455814,-0.143647248276167,441.943510027905,-10.2061732415906,0.0384279451677361,0.120671817403014,0.713318510314043,0.138759624512242,0.154357117143177,-12.9782618026855,0.528222442236327,-0.121120427690751,-3.15405806944841e-08,1.52544748346798e-14,-0.130580444027961,2.00604863075086e-07,-0.217260015049729,0.0576095150399525,1.18346192104351e-10,-9.33628525888423e-06
3,2,5.4132800735429,-0.0582002688336607,-0.190699004365676,12.688307924755,7.42244056264613,0.00509626294801986,4.99310528963438,-0.201410726867268,4.55124935552749,0.0899979019052446,4.59083168560218,-0.129645499258887,377.419801769842,-6.37940940334056,0.0384279451677361,0.120671817403014,0.713318510314043,0.138759624512242,0.154357117143177,-12.9782618026855,0.528222442236327,-0.121120427690751,-3.15405806944841e-08,1.52544748346798e-14,-0.130580444027961,2.00604863075086e-07,-0.217260015049729,0.0576095150399525,1.18346192104351e-10,-9.33628525888423e-06
1,3,4.18438783829898,-0.0438114146428582,-0.213333022107441,7.31326444778205,7.39752075178897,-0.00534050630836707,4.09372662913187,-0.357994797250685,3.61198719609293,-0.0372658124536707,5.95048654008398,-0.111032725390965,473.433593266879,3.47733738473236,0.0384279451677361,0.120671817403014,0.713318510314043,0.138759624512242,0.154357117143177,-12.9782618026855,0.528222442236327,-0.121120427690751,-3.15405806944841e-08,1.52544748346798e-14,-0.130580444027961,2.00604863075086e-07,-0.217260015049729,0.0576095150399525,1.18346192104351e-10,-9.33628525888423e-06
2,3,8.01488418462804,-0.0215317764139135,-0.0890723211908174,2.24676620119285,7.38186656663117,-0.00381042001597556,3.30811597228595,-0.315280709015846,4.13495793589274,-0.0341578467577358,5.90210048445042,-0.0916993198332353,427.648826283575,1.97916391619653,0.0384279451677361,0.120671817403014,0.713318510314043,0.138759624512242,0.154357117143177,-12.9782618026855,0.528222442236327,-0.121120427690751,-3.15405806944841e-08,1.52544748346798e-14,-0.130580444027961,2.00604863075086e-07,-0.217260015049729,0.0576095150399525,1.18346192104351e-10,-9.33628525888423e-06
3,3,8.10727531244334,-0.0521977137514037,-0.105013412035995,1.76677907898208,7.36711088021548,-0.0040623646740576,3.59050884315403,-0.333798667639822,3.57072874524007,-0.000231211226257542,6.43444323960578,-0.123005805131835,394.34094697421,4.69766134070729,0.0384279451677361,0.120671817403014,0.713318510314043,0.138759624512242,0.154357117143177,-12.9782618026855,0.528222442236327,-0.121120427690751,-3.15405806944841e-08,1.52544748346798e-14,-0.130580444027961,2.00604863075086e-07,-0.217260015049729,0.0576095150399525,1.18346192104351e-10,-9.33628525888423e-06
1,4,2.70730881908016,-0.150061977684622,-0.158950118661378,1.80225078014403,7.50215187908877,0.000996325623587217,4.4671270096049,-0.103499317405085,7.10228034628733,-0.0601487012014552,5.78101848084592,-0.14573577046599,488.856955010284,-3.79521497551307,0.0384279451677361,0.120671817403014,0.713318510314043,0.138759624512242,0.154357117143177,-12.9782618026855,0.528222442236327,-0.121120427690751,-3.15405806944841e-08,1.52544748346798e-14,-0.130580444027961,2.00604863075086e-07,-0.217260015049729,0.0576095150399525,1.18346192104351e-10,-9.33628525888423e-06
