rep,id,eta_b0,eta_b1,eta_h1,eta_h2,eta_alpha1,eta_alpha2,eta_hcov1,eta_hcov2,score4C
1,1,-9.6828717399028,-2.32717527579777,0,0,0,0,0,0,11
2,1,-28.7220080313994,0.654329236089337,0,0,0,0,0,0,11
3,1,6.71945003043818,-1.57809227566237,0,0,0,0,0,0,11
4,1,19.607633295228,-2.95467197640521,0,0,0,0,0,0,11
5,1,-22.8437490656709,-1.31799492266164,0,0,0,0,0,0,11
6,1,-12.9892723951237,-1.54653595757531,0,0,0,0,0,0,11
7,1,-10.9626554246963,-0.553421240143379,0,0,0,0,0,0,11
8,1,-3.0212059655958,-0.316603786223947,0,0,0,0,0,0,11
9,1,-28.6935917121937,-0.85179128512591,0,0,0,0,0,0,11
10,1,22.3396922461986,-1.04155992011334,0,0,0,0,0,0,11
1,2,24.9549088097179,1.10094888296671,0,0,0,0,0,0,5
2,2,-64.7089218889139,-0.999223331544343,0,0,0,0,0,0,5
3,2,-41.2620228569928,-1.38362577252229,0,0,0,0,0,0,5
4,2,-6.92107394396771,0.988964436425878,0,0,0,0,0,0,5
5,2,-12.5967023256823,-0.332763094698526,0,0,0,0,0,0,5
6,2,-23.9936780325599,1.34237652768201,0,0,0,0,0,0,5
7,2,-61.0004695064601,-0.116016423716079,0,0,0,0,0,0,5
8,2,-31.5122075508161,-0.802149118718826,0,0,0,0,0,0,5
9,2,-32.6250812593574,-0.99419998075828,0,0,0,0,0,0,5
10,2,25.824893200375,-0.380877050517348,0,0,0,0,0,0,5
1,3,-25.6133302976885,-0.477625273780471,0,0,0,0,0,0,6
2,3,17.3755089583663,1.61243066196441,0,0,0,0,0,0,6
3,3,-9.2278662494578,-0.541353621052411,0,0,0,0,0,0,6
4,3,-8.82387172336983,0.18543743955305,0,0,0,0,0,0,6
5,3,-21.9008909481959,0.374124356575405,0,0,0,0,0,0,6
6,3,-30.6191694224027,-0.895287997054355,0,0,0,0,0,0,6
7,3,-2.20157562228351,0.245262927574526,0,0,0,0,0,0,6
8,3,-41.0423457755261,-0.658683447441228,0,0,0,0,0,0,6
9,3,-12.4355866803535,-0.0846923811620784,0,0,0,0,0,0,6
10,3,-37.3310722297978,0.168310431270716,0,0,0,0,0,0,6
1,4,9.20532184502493,0.216253976121924,0,0,0,0,0,0,8
2,4,-22.2788085334405,-0.899270096867466,0,0,0,0,0,0,8
3,4,5.86328838960063,1.11884584217044,0,0,0,0,0,0,8
4,4,-32.3083290629691,1.76928538287358,0,0,0,0,0,0,8
5,4,-4.68545244862496,0.69900811926552,0,0,0,0,0,0,8
6,4,-6.04853983150547,0.867284351393411,0,0,0,0,0,0,8
7,4,-26.2397165570641,-0.543342038770599,0,0,0,0,0,0,8
8,4,-11.4828503921316,0.011395848910183,0,0,0,0,0,0,8
9,4,-2.80619206734357,-0.0652568471493047,0,0,0,0,0,0,8
10,4,-8.18006679891271,-2.26378230510253,0,0,0,0,0,0,8
1,5,-4.44936225152351,0.897750908468447,0,0,0,0,0,0,3
2,5,10.307779225397,0.54745766116689,0,0,0,0,0,0,3
3,5,6.8118505974757,-0.317797818683032,0,0,0,0,0,0,3
4,5,20.9047253590264,1.93235642648039,0,0,0,0,0,0,3
5,5,-15.4290970197716,1.50135052467797,0,0,0,0,0,0,3
6,5,12.6975252168152,-0.101260599086361,0,0,0,0,0,0,3
7,5,41.3700134799283,0.138070289684859,0,0,0,0,0,0,3
8,5,3.34818177455052,0.382362217872288,0,0,0,0,0,0,3
9,5,11.9922265897911,-0.108107545872444,0,0,0,0,0,0,3
10,5,-10.5065635126617,0.889942574746794,0,0,0,0,0,0,3
1,6,-15.7123589256337,-0.158048761604757,0,0,0,0,0,0,2
2,6,8.81989780801284,0.588877900041746,0,0,0,0,0,0,2
3,6,-3.63617821681807,-2.51578710406061,0,0,0,0,0,0,2
4,6,-26.2668386523287,0.290901736771151,0,0,0,0,0,0,2
5,6,29.5848389366792,-2.49622911261002,0,0,0,0,0,0,2
6,6,-19.0105258790157,2.71393557730048,0,0,0,0,0,0,2
7,6,14.2434038641832,0.476627850451544,0,0,0,0,0,0,2
8,6,-18.7675883942836,0.633592769492466,0,0,0,0,0,0,2
9,6,-4.68153056532412,-1.04963768700879,0,0,0,0,0,0,2
10,6,-41.807516285773,0.196466360841929,0,0,0,0,0,0,2
1,7,40.0994125392867,-0.595391598535392,0,0,0,0,0,0,12
2,7,34.1422923690864,1.89718195793141,0,0,0,0,0,0,12
3,7,19.6382308069654,1.71781419162717,0,0,0,0,0,0,12
4,7,13.1249172057824,2.25793670879356,0,0,0,0,0,0,12
5,7,32.9167970308859,0.457887124262433,0,0,0,0,0,0,12
6,7,35.003588077716,0.222947679037385,0,0,0,0,0,0,12
7,7,19.9664981317148,-0.48117298979762,0,0,0,0,0,0,12
8,7,9.09205828713262,-0.719059006201563,0,0,0,0,0,0,12
9,7,13.8495844815035,1.64291880082154,0,0,0,0,0,0,12
10,7,29.832731487117,0.367751198960178,0,0,0,0,0,0,12
1,8,11.1836546749456,1.61871780542003,0,0,0,0,0,0,7
2,8,41.7188596890549,1.01175317430775,0,0,0,0,0,0,7
3,8,29.9190548007345,0.507647863355249,0,0,0,0,0,0,7
4,8,44.6872151060332,-0.285954211972033,0,0,0,0,0,0,7
5,8,21.8660924412538,1.59378323845844,0,0,0,0,0,0,7
6,8,48.0488792478687,1.07819545576858,0,0,0,0,0,0,7
7,8,7.16094018951524,1.27936907039474,0,0,0,0,0,0,7
8,8,27.9891321071966,0.881634169089768,0,0,0,0,0,0,7
9,8,42.0898228680392,-0.59455318881815,0,0,0,0,0,0,7
10,8,44.0219784765356,-1.0552289045374,0,0,0,0,0,0,7
1,9,33.0596449522391,1.66585819790482,0,0,0,0,0,0,6
2,9,16.0886686177787,2.11556050586734,0,0,0,0,0,0,6
3,9,37.3896420413864,0.464106706299807,0,0,0,0,0,0,6
4,9,46.8952887747986,0.733186930967192,0,0,0,0,0,0,6
5,9,1.65118568498982,0.393670134495902,0,0,0,0,0,0,6
6,9,29.4956287500308,2.0809095486883,0,0,0,0,0,0,6
7,9,25.9952697147583,1.35339711292656,0,0,0,0,0,0,6
8,9,12.611711466006,2.51753060170416,0,0,0,0,0,0,6
9,9,41.4757462572231,1.85922649049345,0,0,0,0,0,0,6
10,9,52.6565655515852,1.10617433202137,0,0,0,0,0,0,6
1,10,-46.7341763255226,-0.894084214026722,0,0,0,0,0,0,5
2,10,-9.06342739223026,0.762679667661445,0,0,0,0,0,0,5
3,10,-21.9796487690989,-1.38215131142482,0,0,0,0,0,0,5
4,10,-26.2075573289585,0.631438000457944,0,0,0,0,0,0,5
5,10,-10.5734844352486,0.0115171762961692,0,0,0,0,0,0,5
6,10,-39.1289804489175,-1.85735744166732,0,0,0,0,0,0,5
7,10,-5.11739266978645,0.888392538698492,0,0,0,0,0,0,5
8,10,-13.6517416568324,0.635611575469713,0,0,0,0,0,0,5
9,10,-24.1314038431432,-0.264363580092466,0,0,0,0,0,0,5
10,10,-12.3539080463714,0.878566038483309,0,0,0,0,0,0,5
1,11,1.01330421277348,1.55227400339904,0,0,0,0,0,0,8
2,11,19.3552559156902,-0.674874123967289,0,0,0,0,0,0,8
3,11,20.6166834611506,-0.760151113215305,0,0,0,0,0,0,8
4,11,3.17918928034189,0.43871341525073,0,0,0,0,0,0,8
5,11,44.3075869704822,-1.5529945127224,0,0,0,0,0,0,8
6,11,25.2722185858291,-0.312383464648883,0,0,0,0,0,0,8
7,11,30.7086865719989,-0.881042954423955,0,0,0,0,0,0,8
8,11,12.8711454629435,0.237439526538951,0,0,0,0,0,0,8
9,11,14.0778796463058,-1.3099232352489,0,0,0,0,0,0,8
10,11,40.6024436819675,-1.46675591330722,0,0,0,0,0,0,8
1,12,-2.70406186236959,2.2770265502,0,0,0,0,0,0,4
2,12,-9.259397176732,-0.132935191344911,0,0,0,0,0,0,4
3,12,-27.6679936170638,-0.8338233137035,0,0,0,0,0,0,4
4,12,-0.518117585889875,-1.04718918458465,0,0,0,0,0,0,4
5,12,19.6456011667006,-1.86498558129193,0,0,0,0,0,0,4
6,12,-23.8258918524964,-0.806392222667889,0,0,0,0,0,0,4
7,12,5.96069566316395,-1.07154136964276,0,0,0,0,0,0,4
8,12,-37.5660468050501,-0.973144090915882,0,0,0,0,0,0,4
9,12,-7.49124103173156,0.415260814340258,0,0,0,0,0,0,4
10,12,-9.34387995487734,0.274691703948504,0,0,0,0,0,0,4
1,13,-12.5795224242313,0.761362570206801,0,0,0,0,0,0,15
2,13,0.943389083224233,-0.194129142973969,0,0,0,0,0,0,15
3,13,-39.0350914136589,0.0316553063242221,0,0,0,0,0,0,15
4,13,-23.2436893130621,-1.27968911763111,0,0,0,0,0,0,15
5,13,-50.6499306073096,0.924194626054616,0,0,0,0,0,0,15
6,13,-36.2063055597456,-0.369398630770413,0,0,0,0,0,0,15
