"sim" "med1" "med2" "med3" "med4" "med5" "med6" "med7"
1 4.80689525004063 7.44223677176775 2.43057513375617 5.60209055993778 6.478181310434 4.26472423642734 267.787323517571
2 4.74771158633908 7.43896398612338 2.39398550433524 5.52046742228051 6.37714527310089 4.42430109356343 266.286262384417
3 4.32090853039057 7.43714941271644 2.25075703242859 5.3204410189224 6.27704480900796 4.44908523838451 248.099814876091
4 4.70152797968659 7.43618176237623 2.2993098508037 5.44050366068817 6.38350187292079 4.23945241781679 255.25291562371
5 4.41592467717204 7.43966369430341 2.49254559240507 5.48410992160743 6.36131677457824 4.38000651339656 252.685655341376
6 4.71070154014258 7.43299738585609 2.45942386093033 5.30770731623004 6.41089175565503 4.39656343106326 260.252300316228
7 4.48124485055342 7.441351769537 2.19436597341649 5.50781682511938 6.37093240854323 4.37870278710729 276.609607807075
8 4.57726143123553 7.44108395674345 2.24543819943671 5.4675594367355 6.37654769852369 4.22708376738475 264.360783085225
9 4.58233110090449 7.43929715936406 2.37328034434289 5.3826228775505 6.43525564341261 4.26260392163757 261.518125730812
10 4.52243455027367 7.42928766082705 2.48120494299127 5.2476676844677 6.4934339709316 4.15743379892807 262.855347912538
11 4.79790873161672 7.42644726481208 2.46492869087372 5.25365316832774 6.45372806958097 4.42587974153795 258.825580627536
12 4.67706307737981 7.42749709410297 2.29916421705357 5.39292217442862 6.39297345468184 4.39869487350668 255.330330093626
13 4.70957538404665 7.44285544360324 2.39002523495275 5.6019652566335 6.39944094277567 4.39468647083979 254.755943895608
14 4.72549523753026 7.44629488367281 2.29617688784839 5.88110572356272 6.29816444201162 4.29844296737109 252.61927061842
15 4.43049097210506 7.43028135553334 2.62417284160445 5.29664120648414 6.52790343754446 4.43443235601121 255.722155151441
16 4.63564785933612 7.43734510927144 2.28968329082844 5.45712112489685 6.35989780794104 4.57018712191042 254.266358523474
17 4.44521354208384 7.43541541469057 2.33351391084895 5.44546980608975 6.41667441975967 4.53093829210157 261.213410369517
18 4.41123892667459 7.43952904770543 2.33618768282022 5.48050535493631 6.40310599804161 4.33587725809243 263.40899313085
19 4.52252790695049 7.43531134190119 2.3991337850242 5.36065932647011 6.33571064631179 4.27399793203582 275.936799502639
20 4.59317793014872 7.44189947141372 2.30219366727791 5.56305540368404 6.31967241002336 4.24401495054748 252.755496093588
21 4.897603807432 7.43531084713624 2.48616782082626 5.48395722854836 6.48917388078644 4.21662251579911 259.264625409234
22 4.83747432982909 7.43735502433724 2.51009785152494 5.3796694149519 6.46751809065307 4.37340999643884 262.045806340745
23 4.52783283288286 7.43822317885754 2.3381863478348 5.45202426019118 6.38371254070382 4.38458503042262 264.236738266081
24 4.68505180850763 7.43219066398168 2.26632719290219 5.43021912759468 6.26658620615206 4.38796735708712 266.109280120252
25 4.58945326174034 7.43552439343169 2.29776047100851 5.45455566571946 6.32567518483169 4.27799770037421 250.894553601742
26 4.57901893607244 7.44232499072794 2.56858944614539 5.6547926140211 6.46693824767104 4.48165489073174 257.781807383743
27 4.44607702689821 7.44110245633321 2.28092089694068 5.49997550058959 6.32758774853977 4.54435415614898 254.637699247478
28 4.63161622238574 7.44588008331236 2.44259695981624 5.74823451745778 6.48503619586448 4.35774788461478 245.211318613081
29 4.53481941106829 7.4436600436516 2.44172862031125 5.60199656994292 6.39359890670426 4.3455497991248 266.962954279185
30 4.69733029046269 7.44130714626335 2.21916156902883 5.48307119300198 6.33974442929282 4.3668996163636 258.717202257771
31 4.58379162531466 7.44171805843628 2.42261929146044 5.55488789864965 6.36927916591821 4.27171328486697 251.334739287724
32 4.6237872644268 7.44285762371279 2.39864603483351 5.60604363294391 6.44557645968042 4.34855871269797 266.303361829694
33 4.67347830862976 7.44135537434062 2.33574388191078 5.72045121630425 6.34921740872833 4.33080520548922 264.154776196236
34 4.38869016463804 7.43631699959033 2.31980111181013 5.5847697622391 6.33226714442318 4.37330045587113 253.794102487495
35 4.4068906516293 7.43485976935146 2.42923385115685 5.36605774116012 6.44666404381601 4.23066653404409 256.792013825416
