rep,id,b01,b11,b21,a1,b02,b12,b03,b13,p1,g1,p2,g2,alpha11,alpha12,alpha13,alpha21,alpha22,alpha23,eta_b01,eta_b11,eta_b21,eta_a1,eta_b02,eta_b12,eta_b03,eta_b13,eta_p1,eta_g1,eta_p2,eta_g2,eta_alpha11,eta_alpha12,eta_alpha13,eta_alpha21,eta_alpha22,eta_alpha23
1,1,3.47388568139429,-0.00956154979107894,-0.126422353017458,0.310198351881861,7.43398768159629,-0.00175832300587834,4.38508951917001,-0.240399361248221,0.0431296631639707,0.0969733172724529,0.752873258727503,0.129207900007755,0.143709692550617,-11.1187892433516,0.584135078462934,-0.131744064391131,3.09578854269933,-0.194490549782965,-1.13381185744371,0.0735219282348729,-0.0143526801403038,-2.59141360454423,0.0334397019841264,-0.00504312537176746,0.235945277314881,-0.0813493157272194,0,0,0,0,0,0,0,0,0,0
2,1,4.12252367761683,-0.16381832744304,-0.0549889864609749,2.75404641840075,7.36438774414381,0.00783494422329116,3.81024841092701,-0.0250744584256673,0.0431296631639707,0.0969733172724529,0.752873258727503,0.129207900007755,0.143709692550617,-11.1187892433516,0.584135078462934,-0.131744064391131,3.09578854269933,-0.194490549782965,-0.48517386122117,-0.0807348494170882,0.0570806864161794,-0.407799008141436,-0.0361602354683521,0.00455014185740203,-0.338895830928123,0.133975587095334,0,0,0,0,0,0,0,0,0,0
3,1,3.65978609449128,-0.0895996551334191,-0.173093585472173,1.69802881873031,7.37927061131693,-8.38022315118934e-05,3.3549357742267,0.0434377577580743,0.0431296631639707,0.0969733172724529,0.752873258727503,0.129207900007755,0.143709692550617,-11.1187892433516,0.584135078462934,-0.131744064391131,3.09578854269933,-0.194490549782965,-0.947911444346726,-0.0065161771074673,-0.0610239125950184,-0.891402203301411,-0.0212773682952303,-0.00336860459740102,-0.794208467628434,0.202487803279076,0,0,0,0,0,0,0,0,0,0
1,2,5.09096430329777,-0.116301299740943,-0.131604870583074,4.42997618146641,7.41033362399505,0.00131066300791085,2.69342096881896,-0.314371148432687,0.0431296631639707,0.0969733172724529,0.752873258727503,0.129207900007755,0.143709692550617,-11.1187892433516,0.584135078462934,-0.131744064391131,3.09578854269933,-0.194490549782965,0.483266764459763,-0.0332178217149911,-0.01953519770592,0.0675239441903472,0.00978564438289276,-0.00197413935797828,-1.45572327303617,-0.155321102911685,0,0,0,0,0,0,0,0,0,0
2,2,3.87291788877211,-0.129249265802773,-0.18751919224298,2.19645697213327,7.41579022157969,0.00398862114860045,3.87322816498072,-0.478424241253631,0.0431296631639707,0.0969733172724529,0.752873258727503,0.129207900007755,0.143709692550617,-11.1187892433516,0.584135078462934,-0.131744064391131,3.09578854269933,-0.194490549782965,-0.734779650065893,-0.0461657877768211,-0.0754495193658253,-0.634024668252279,0.0152422419675267,0.000703818782711326,-0.275916076874414,-0.31937419573263,0,0,0,0,0,0,0,0,0,0
3,2,4.87714542726975,-0.0577278570167359,-0.141003383001347,2.29162603596888,7.39846312818066,-0.00179797678600883,2.81952138183712,-0.0896883415364341,0.0431296631639707,0.0969733172724529,0.752873258727503,0.129207900007755,0.143709692550617,-11.1187892433516,0.584135078462934,-0.131744064391131,3.09578854269933,-0.194490549782965,0.269447888431745,0.0253556210092159,-0.028933710124193,-0.591608638239776,-0.00208485143150394,-0.00508277915189796,-1.32962286001801,0.0693617039845675,0,0,0,0,0,0,0,0,0,0
1,3,5.49568363294419,-0.0829551715821636,-0.0644560782148301,10.8906072163535,7.46269256904737,-0.00358496935886892,4.25117071230322,-0.352670263242181,0.0431296631639707,0.0969733172724529,0.752873258727503,0.129207900007755,0.143709692550617,-11.1187892433516,0.584135078462934,-0.131744064391131,3.09578854269933,-0.194490549782965,0.887986094106184,0.000128306443788237,0.0476135946623242,0.967030431259756,0.0621445894352064,-0.00686977172475805,0.102026470448087,-0.19362021772118,0,0,0,0,0,0,0,0,0,0
2,3,4.58702996408412,-0.161892209614179,-0.0792323595540047,7.3064770874425,7.50800029521747,0.00131311520285429,4.23041208757253,-0.40173915860315,0.0431296631639707,0.0969733172724529,0.752873258727503,0.129207900007755,0.143709692550617,-11.1187892433516,0.584135078462934,-0.131744064391131,3.09578854269933,-0.194490549782965,-0.0206675747538823,-0.0788087315882267,0.0328373133231496,0.567890963805307,0.107452315605312,-0.00197168716303483,0.0812678457174014,-0.242689113082149,0,0,0,0,0,0,0,0,0,0
3,3,4.52280883222626,-0.0768088289481987,-0.0831461770888416,2.21356098061622,7.45026821514678,0.00437276269229441,4.9162107889138,-0.387767187509047,0.0431296631639707,0.0969733172724529,0.752873258727503,0.129207900007755,0.143709692550617,-11.1187892433516,0.584135078462934,-0.131744064391131,3.09578854269933,-0.194490549782965,-0.0848887066117445,0.00627464907775314,0.0289234957883127,-0.626267740988783,0.0497202355346191,0.00108796032640528,0.767066547058668,-0.228717141988045,0,0,0,0,0,0,0,0,0,0
1,4,4.94036689802152,-0.0618997563717997,-0.152098549307832,0.793462311679963,7.35943124173873,0.009911557632157,3.21172732539968,-0.368873089347149,0.0431296631639707,0.0969733172724529,0.752873258727503,0.129207900007755,0.143709692550617,-11.1187892433516,0.584135078462934,-0.131744064391131,3.09578854269933,-0.194490549782965,0.332669359183519,0.0211837216541522,-0.0400288764306772,-1.6522194996593,-0.041116737873427,0.00662675526626787,-0.93741691645545,-0.209823043826147,0,0,0,0,0,0,0,0,0,0
