rep,id,b01,b11,b21,a1,b02,b12,b03,b13,b04,b14,b06,b16,b07,b17,p1,g1,p2,g2,alpha11,alpha12,alpha13,alpha14,alpha16,alpha17,alpha21,alpha22,alpha23,alpha24,alpha26,alpha27,eta_b01,eta_b11,eta_b21,eta_a1,eta_b02,eta_b12,eta_b03,eta_b13,eta_b04,eta_b14,eta_b06,eta_b16,eta_b07,eta_b17,eta_p1,eta_g1,eta_p2,eta_g2,eta_alpha11,eta_alpha12,eta_alpha13,eta_alpha14,eta_alpha16,eta_alpha17,eta_alpha21,eta_alpha22,eta_alpha23,eta_alpha24,eta_alpha26,eta_alpha27
1,1,6.35383794652975,-0.0949940905412575,-0.248278861738625,3.71149595900291,7.42819419020013,0.00874840754767085,1.94525363325873,-0.404948393626297,7.50918441727348,0.0811117798424475,4.46238226626414,0.106957040534063,483.287886181856,-0.78073103378343,0.0641118220021376,0.0900174587376273,0.688438086751706,0.107642366837082,0.146616120795183,-5.79248869163914,0.473461121476148,-0.288059266009036,3.31863231181848e-18,7.78147561504083e-07,2.06852953247409e-06,-8.89033851923711e-18,-5.95732471219506e-18,0.204615902277626,-3.0640171913011e-05,-0.00050012556912912,1.77802681884468,0.031570410204879,-0.109448571632578,-0.338898253518272,0.0274324323083937,0.00663101032253764,-2.24626555173574,-0.266116363722649,2.30833744528261,0.0707218325852106,-0.733913235902066,0.175135554561683,140.963520884017,3.93179036191715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,6.96415952161731,-0.150850249257864,-0.107358940063962,10.9994030221791,7.49204313004697,0.00329142012139349,1.72942704209984,-0.388172136499933,6.76489343753323,0.0192562465646938,4.76687296798376,0.0268416727745789,434.099791636339,-4.45060463490963,0.0641118220021376,0.0900174587376273,0.688438086751706,0.107642366837082,0.146616120795183,-5.79248869163914,0.473461121476148,-0.288059266009036,3.31863231181848e-18,7.78147561504083e-07,2.06852953247409e-06,-8.89033851923711e-18,-5.95732471219506e-18,0.204615902277626,-3.0640171913011e-05,-0.00050012556912912,2.38834839393224,-0.0242857485117271,0.0314713500420846,0.74750772829887,0.0912813721552315,0.00117402289626028,-2.46209214289463,-0.249340106596285,1.56404646554237,0.00886629930745684,-0.429422534182451,0.0950201868021996,91.7754263384998,0.26191676079095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,6.51753825708265,-0.0439885096420207,0.00589248389464398,2.09119422868702,7.40671338390978,0.010535185014924,1.61145792354302,-0.34773737683991,7.00326732304719,0.0761916912599568,4.65045455745633,0.0389175502814306,443.215975726104,0.372486272764656,0.0641118220021376,0.0900174587376273,0.688438086751706,0.107642366837082,0.146616120795183,-5.79248869163914,0.473461121476148,-0.288059266009036,3.31863231181848e-18,7.78147561504083e-07,2.06852953247409e-06,-8.89033851923711e-18,-5.95732471219506e-18,0.204615902277626,-3.0640171913011e-05,-0.00050012556912912,1.94172712939758,0.0825759911041158,0.14472277400069,-0.912597968240983,0.00595162601804677,0.00841778778979078,-2.58006126145145,-0.208905346936262,1.80242035105633,0.0658017440027199,-0.545840944709873,0.107096064309051,100.891610428265,5.08500766846524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,5.4559251137698,-0.0262182961360298,-0.0633049398464823,3.27431907494253,7.43112591351714,0.00247167512626292,4.67693008526948,-0.125715110403387,5.00735209269187,-0.0678638837386746,7.03926652788314,-0.278027252942501,345.727854319204,-8.15496487618651,0.0641118220021376,0.0900174587376273,0.688438086751706,0.107642366837082,0.146616120795183,-5.79248869163914,0.473461121476148,-0.288059266009036,3.31863231181848e-18,7.78147561504083e-07,2.06852953247409e-06,-8.89033851923711e-18,-5.95732471219506e-18,0.204615902277626,-3.0640171913011e-05,-0.00050012556912912,0.880113986084733,0.100346204610107,0.075525350259564,-0.46422334089421,0.0303641556254055,0.000354277901129712,0.48541090027501,0.013116919500261,-0.193494879298995,-0.0782538309959116,1.84297102571693,-0.20984873891488,3.40348902136452,-3.44244348048594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,6.48017304541359,-0.236583299579746,-0.106217747955498,6.04345658988048,7.41844719233595,-0.000137581823898691,3.99871288167666,-0.0583270789249135,4.86593167879777,-0.0305914577647701,5.95746751475278,-0.229244628638272,343.763753358283,-8.4537279617439,0.0641118220021376,0.0900174587376273,0.688438086751706,0.107642366837082,0.146616120795183,-5.79248869163914,0.473461121476148,-0.288059266009036,3.31863231181848e-18,7.78147561504083e-07,2.06852953247409e-06,-8.89033851923711e-18,-5.95732471219506e-18,0.204615902277626,-3.0640171913011e-05,-0.00050012556912912,1.90436191772852,-0.11001879883361,0.032612542150548,0.148642859032192,0.0176854344442106,-0.0022549790490319,-0.192806303317813,0.0805049509787349,-0.334915293193088,-0.0409814050220071,0.761172012586574,-0.161066114610652,1.43938806044355,-3.74120656604332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2,5.82501055215774,-0.36264934683324,-0.210065428014442,2.92284736161022,7.44222793369622,-0.000418382600785658,4.30298345545985,-0.0696738061744905,4.72051153768209,-0.0565451988552473,5.99723132812496,-0.22302134712795,309.459263922757,-6.1410526069231,0.0641118220021376,0.0900174587376273,0.688438086751706,0.107642366837082,0.146616120795183,-5.79248869163914,0.473461121476148,-0.288059266009036,3.31863231181848e-18,7.78147561504083e-07,2.06852953247409e-06,-8.89033851923711e-18,-5.95732471219506e-18,0.204615902277626,-3.0640171913011e-05,-0.00050012556912912,1.24919942447267,-0.236084846087103,-0.0712351379083961,-0.577775007320902,0.0414661758044863,-0.00253577982591886,0.111464270465381,0.0691582237291579,-0.480335434308771,-0.0669351461124843,0.80093582595875,-0.154842833100329,-32.8651013750816,-1.42853121122252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,5.36916313509365,-0.250424842909087,-0.118798667034871,10.8428245577512,7.34913646772778,0.00805625487187725,2.9816283155491,-0.0616971929824872,2.50347596099086,-0.0889128396438656,5.04884877964042,-0.223581182530686,367.532719732782,-3.91870084877204,0.0641118220021376,0.0900174587376273,0.688438086751706,0.107642366837082,0.146616120795183,-5.79248869163914,0.473461121476148,-0.288059266009036,3.31863231181848e-18,7.78147561504083e-07,2.06852953247409e-06,-8.89033851923711e-18,-5.95732471219506e-18,0.204615902277626,-3.0640171913011e-05,-0.00050012556912912,0.793352007408578,-0.12386034216295,0.0200316230711748,0.733170257811964,-0.0516252901639547,0.00593885764674405,-1.20989086944538,0.0771348369211612,-2.697371011,-0.0993027869011026,-0.147446722525789,-0.155402668503066,25.2083544349429,0.793820546928536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,6.59671270051763,-0.0951866746071024,-0.0310831205782926,13.7909076889422,7.34349329025938,0.0035167813766112,3.21522672147919,0.0032988131157714,2.441222475152,-0.0185581599527764,4.2653072639339,-0.0768037140419935,311.618198799679,0.804072397667412,0.0641118220021376,0.0900174587376273,0.688438086751706,0.107642366837082,0.146616120795183,-5.79248869163914,0.473461121476148,-0.288059266009036,3.31863231181848e-18,7.78147561504083e-07,2.06852953247409e-06,-8.89033851923711e-18,-5.95732471219506e-18,0.204615902277626,-3.0640171913011e-05,-0.00050012556912912,2.02090157283256,0.0313778261390341,0.107747169527754,0.973676239581534,-0.0572684676323556,0.001399384151478,-0.97629246351528,0.14213084301942,-2.75962449683886,-0.0289481072100134,-0.930988238232309,-0.00862520001437277,-30.7061664981603,5.51659379336799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,6.03816115415866,-0.285646593249585,-0.0987000418596973,8.50264634318831,7.37328591877081,0.00589032105250301,3.20474336321352,-0.102098032515727,2.26501611060636,-0.0807792829975163,4.55019289917794,-0.1694645632612,307.582328290637,1.21576139742251,0.0641118220021376,0.0900174587376273,0.688438086751706,0.107642366837082,0.146616120795183,-5.79248869163914,0.473461121476148,-0.288059266009036,3.31863231181848e-18,7.78147561504083e-07,2.06852953247409e-06,-8.89033851923711e-18,-5.95732471219506e-18,0.204615902277626,-3.0640171913011e-05,-0.00050012556912912,1.46235002647359,-0.159082092503449,0.040130248246349,0.490044177218682,-0.0274758391209264,0.00377292382736981,-0.986775821780955,0.0367339973879217,-2.9358308613845,-0.0911692302547533,-0.646102602988265,-0.101286049233579,-34.7420370072022,5.92828279312308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,5.01353323504345,-0.00705641727917379,-0.12935972499223,1.08479255330059,7.37394740174007,0.0133624103407648,5.31425627570552,-0.262723186986866,5.08739977868099,0.0720561171222334,5.4760921366241,0.0450881361285711,457.125493444093,-1.28344925665662,0.0641118220021376,0.0900174587376273,0.688438086751706,0.107642366837082,0.146616120795183,-5.79248869163914,0.473461121476148,-0.288059266009036,3.31863231181848e-18,7.78147561504083e-07,2.06852953247409e-06,-8.89033851923711e-18,-5.95732471219506e-18,0.204615902277626,-3.0640171913011e-05,-0.00050012556912912,0.437722107358383,0.119508083466963,0.00947056511381586,-1.56894449871816,-0.0268143561516654,0.0112450131156316,1.12273709071105,-0.123891157083218,-0.113447193309874,0.0616661698649965,0.279796634457896,0.113266650156192,114.801128146254,3.42907213904396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
