parameter,value,se_sa,rse_sa
b02_pop,7.40631612385,0.00305499859493558,0.0412485579044864
b12_pop,0.00168890890292229,0.000472774825425501,27.9929145146589
b03_pop,4.08884138650377,0.0577044531033464,1.41126660705926
b13_pop,-0.125066144358578,0.0121721169785706,9.73254356004756
p1_pop,0.0865634899603406,0.0262492133948496,30.3236542413849
g1_pop,0.119469476914644,0.0243425419139952,20.3755323473852
p2_pop,0.69476832512094,0.027337658807949,3.93478772987964
g2_pop,0.121152512409638,0.0132632130554628,10.9475344684703
alpha12_pop,-7.61149378167952,2.92884499166607,38.4792404181641
alpha13_pop,0.45810337812767,0.132245908946603,28.8681365955235
alpha22_pop,3.31915216182126,1.35086929458341,40.6992276558414
alpha23_pop,-0.134386148682029,0.0417076616584167,31.0356849031377
omega_b02,0.0435405795311827,0.00254740605098691,5.85064801253397
omega_b12,0.00542524103859008,0.000380747627255733,7.01807762175821
omega_b03,0.866894801917986,0.0464688870460386,5.36038362938931
omega_b13,0.158322066374763,0.00901905281895514,5.69664925772648
a_2,0.0486424803568217,0.000744211962095191,1.529963021285
a_3,0.70370445837357,0.0127802183509199,1.81613434430387
