parameter,value,se_sa,rse_sa
b01_pop,4.5265881648001,0.138861381045673,3.06768312004822
b11_pop,-0.135591993496845,0.0194974706353672,14.3795146988681
b21_pop,-0.160253855552345,0.0164433557655232,10.2608175690052
a1_pop,4.47350383051424,0.723578664378514,16.1747634917156
b02_pop,7.40033096323262,0.00296503504185499,0.0400662491527243
b12_pop,0.0022230408021811,0.000453693904457428,20.4087079289005
b03_pop,4.1320350799471,0.059316999700346,1.43553959617171
b13_pop,-0.153759263693047,0.0128721368541114,8.37161712728303
p1_pop,0.0364532633205847,0.0179113644148686,49.1351467147093
g1_pop,0.150361965844911,0.0308908593947757,20.544330623236
p2_pop,0.72983576349324,0.0329726982987116,4.51782441311085
g2_pop,0.131502534070283,0.0153578925186183,11.6787806616792
alpha11_pop,0.143574450545491,0.0266726354595938,18.5775640152233
alpha12_pop,-9.4036747732564,3.41730127799317,36.3400623734012
alpha13_pop,0.699669325829523,0.147458972219688,21.0755233616769
alpha21_pop,-0.121816476151427,0.0279898101433226,22.9770315376134
alpha22_pop,2.93623655369883,1.44593662368239,49.2445549681928
alpha23_pop,-0.249508081030782,0.0464036773577903,18.5980659087612
omega_b01,1.97389246409779,0.104564177612576,5.29735938073858
omega_b11,0.0973367176487053,0.0174307558544303,17.9076881525213
omega_b21,0.0798508822977367,0.012478671558316,15.6274686005187
omega_a1,0.811151783537159,0.166023048102055,20.4675686439454
omega_b02,0.0409574401355472,0.00250181316668162,6.108324051508
omega_b12,0.00503914927390302,0.000341194829790861,6.77088157633783
omega_b03,0.899481959620336,0.0475303369826124,5.28419013569483
omega_b13,0.169866208989728,0.00994421712144058,5.85414673146788
b_1,0.297475693242238,0.00621908813423516,2.0906206038054
a_2,0.0508683693057412,0.000775755278865507,1.52502486211594
a_3,0.696561615259511,0.0127683002631109,1.83304678055708
