rep,id,eta_b0,eta_b1,eta_h1,eta_h2,eta_alpha1,eta_alpha2,eta_hcov1,eta_hcov2,score4C
1,1,58.4764545535874,10.057209558316,0,0,0,0,0,0,11
2,1,51.5274938840897,12.9133847487224,0,0,0,0,0,0,11
3,1,33.7550574643868,7.22588354487792,0,0,0,0,0,0,11
4,1,35.0597452286495,11.1265058487118,0,0,0,0,0,0,11
5,1,26.2684895080744,20.1821033094528,0,0,0,0,0,0,11
6,1,33.651807068629,10.5093519187637,0,0,0,0,0,0,11
7,1,9.42290770805923,14.457322694211,0,0,0,0,0,0,11
8,1,47.5170764309195,11.2768158703946,0,0,0,0,0,0,11
9,1,49.6240288115337,19.0753180263352,0,0,0,0,0,0,11
10,1,22.3948326939356,10.5061327888548,0,0,0,0,0,0,11
1,2,-3.1028787172524,8.25607896084992,0,0,0,0,0,0,5
2,2,12.1562456532717,22.4180472899123,0,0,0,0,0,0,5
3,2,16.2006453465324,-12.9607421965316,0,0,0,0,0,0,5
4,2,-3.10274703575386,6.85999503857083,0,0,0,0,0,0,5
5,2,-22.3892979833315,18.8858882950139,0,0,0,0,0,0,5
6,2,1.88553905188159,2.22456368355664,0,0,0,0,0,0,5
7,2,71.3394480297647,-11.0274058067076,0,0,0,0,0,0,5
8,2,1.17947434471064,-0.0460661284069106,0,0,0,0,0,0,5
9,2,-6.18611210755997,0.934754530416512,0,0,0,0,0,0,5
10,2,13.9720156099765,8.02163793035725,0,0,0,0,0,0,5
1,3,33.4358087573653,-1.70989430280629,0,0,0,0,0,0,6
2,3,9.55963086627471,4.78503276318192,0,0,0,0,0,0,6
3,3,25.8476720071649,21.4352894634662,0,0,0,0,0,0,6
4,3,21.3258014774146,-2.73002860125991,0,0,0,0,0,0,6
5,3,56.4563477297952,-10.2115810807204,0,0,0,0,0,0,6
6,3,33.4849474677647,10.5805059240119,0,0,0,0,0,0,6
7,3,38.3176044120881,0.0685890862160345,0,0,0,0,0,0,6
8,3,49.2840128646434,1.19194167148035,0,0,0,0,0,0,6
9,3,9.68048868454212,4.31856958207512,0,0,0,0,0,0,6
10,3,29.3983882338947,1.50899919709708,0,0,0,0,0,0,6
1,4,-31.2658994714729,-0.149962975020388,0,0,0,0,0,0,8
2,4,-0.953592997467091,-17.6053816796685,0,0,0,0,0,0,8
3,4,-26.4333773482532,-4.86646743492197,0,0,0,0,0,0,8
4,4,-20.5272855237367,4.46929092724831,0,0,0,0,0,0,8
5,4,-26.9924220672401,0.350768458171413,0,0,0,0,0,0,8
6,4,-14.6688848950338,-5.1798861770712,0,0,0,0,0,0,8
7,4,-2.18820791494068,-16.2348615097467,0,0,0,0,0,0,8
8,4,-20.6698206132491,-7.10765877931997,0,0,0,0,0,0,8
9,4,-27.4758609382644,11.2687187523816,0,0,0,0,0,0,8
10,4,-19.0454983542455,-3.30900558154815,0,0,0,0,0,0,8
1,5,6.53641263108212,16.1151142269482,0,0,0,0,0,0,3
2,5,7.17519884096919,16.1118624649706,0,0,0,0,0,0,3
