parameter,value,se_sa,rse_sa,pvalue_sa
b0_pop,4.24072954113911,0.0604057027776594,1.42441771378407,
b1_pop,-0.152703629866708,0.0123527485370886,8.08936143028885,
h1_pop,0.000784061638603483,0.000352799253994399,44.9963672017905,
h2_pop,0.109664314983786,0.0136731613422739,12.4681956425803,
alpha1_pop,0.455175502692637,0.0595130816837374,13.074754975099,
alpha2_pop,-0.140797113922533,0.0266002860948633,18.8926359026782,
hcov1_pop,0,,,
beta_hcov1_score4C,0.28322195648038,0.0479250491281083,16.9213749257566,3.42761996563468e-09
hcov2_pop,0,,,
beta_hcov2_score4C,-0.143099081056051,0.0195351650187694,13.6514957850202,2.38475905689484e-13
omega_b0,0.96573888175305,0.0475920009111097,4.92804026122659,
omega_b1,0.166055487455412,0.00952290122661435,5.73477057129554,
e_a,0.693308161353923,0.0126403063379081,1.82318729859224,
