rep,id,b01,b11,b21,a1,b02,b12,b03,b13,b04,b14,p1,g1,p2,g2,alpha11,alpha12,alpha13,alpha14,alpha21,alpha22,alpha23,alpha24
1,1,5.35570206320344,-0.0413044250019538,-0.12089274592171,2.374617720178,7.38787633276805,0.0098349213604199,2.2568025920566,-0.435193828173847,7.67992520451784,0.0301843935554581,0.0580870976600546,0.0889681947910826,0.724632386835133,0.114611158493715,0.16260734022143,-5.70703687732906,0.510619974471092,-0.297502321140184,-0.121122867483793,6.98141603403263e-05,-0.134677577508446,0.201577475050056
2,1,5.45435961019148,-0.128560417652086,-0.138427962329031,23.1964946783553,7.45210688438992,0.00891671132062972,1.61293694001861,-0.387775782716317,7.36887088492526,0.0948128394197265,0.0580870976600546,0.0889681947910826,0.724632386835133,0.114611158493715,0.16260734022143,-5.70703687732906,0.510619974471092,-0.297502321140184,-0.121122867483793,6.98141603403263e-05,-0.134677577508446,0.201577475050056
3,1,5.89573227110087,-0.112552286811096,-0.1909181732076,1.80529567057054,7.45261282212885,0.00659594850535774,2.26521666053643,-0.430480431635952,6.68326057346584,0.0976044715976344,0.0580870976600546,0.0889681947910826,0.724632386835133,0.114611158493715,0.16260734022143,-5.70703687732906,0.510619974471092,-0.297502321140184,-0.121122867483793,6.98141603403263e-05,-0.134677577508446,0.201577475050056
1,2,6.07771864655383,-0.0200582188202496,-0.0417873450747403,4.75626087692661,7.3985536930825,0.00625239934876992,4.74075162988736,-0.0989478744098399,4.43715996255321,0.00196085523362471,0.0580870976600546,0.0889681947910826,0.724632386835133,0.114611158493715,0.16260734022143,-5.70703687732906,0.510619974471092,-0.297502321140184,-0.121122867483793,6.98141603403263e-05,-0.134677577508446,0.201577475050056
2,2,4.86919779756259,-0.167785223636213,-0.223111539608604,10.3839007680845,7.42557503176251,0.00191016221932308,3.33410981072376,-0.0243026316264116,4.70424807919822,-0.0116797050648245,0.0580870976600546,0.0889681947910826,0.724632386835133,0.114611158493715,0.16260734022143,-5.70703687732906,0.510619974471092,-0.297502321140184,-0.121122867483793,6.98141603403263e-05,-0.134677577508446,0.201577475050056
3,2,5.51987372980485,-0.144104309252851,-0.135141943883342,1.30002968977136,7.4410756968006,0.000930653185541129,4.06026461741614,-0.0408185916271782,5.03890403045379,-0.0470877802517792,0.0580870976600546,0.0889681947910826,0.724632386835133,0.114611158493715,0.16260734022143,-5.70703687732906,0.510619974471092,-0.297502321140184,-0.121122867483793,6.98141603403263e-05,-0.134677577508446,0.201577475050056
1,3,5.47513400640241,-0.196271280060247,-0.163226212965511,31.6664004425405,7.34289547942726,0.00231944189941856,2.96760518713817,0.0121179602049277,1.56216885204523,0.0727234190096519,0.0580870976600546,0.0889681947910826,0.724632386835133,0.114611158493715,0.16260734022143,-5.70703687732906,0.510619974471092,-0.297502321140184,-0.121122867483793,6.98141603403263e-05,-0.134677577508446,0.201577475050056
2,3,4.48093726038325,-0.149937649516779,-0.122953988183535,29.0712932210109,7.31720278045861,0.00490634559352203,2.28197277981608,0.157020070634952,2.12631375750511,0.0486893495385202,0.0580870976600546,0.0889681947910826,0.724632386835133,0.114611158493715,0.16260734022143,-5.70703687732906,0.510619974471092,-0.297502321140184,-0.121122867483793,6.98141603403263e-05,-0.134677577508446,0.201577475050056
3,3,5.98823494892682,-0.230234895296724,-0.0822363680110884,8.20049652029617,7.36248746520686,0.000459055836419955,3.70270457941349,-0.0622626793719714,1.69525942697965,0.0801966916298111,0.0580870976600546,0.0889681947910826,0.724632386835133,0.114611158493715,0.16260734022143,-5.70703687732906,0.510619974471092,-0.297502321140184,-0.121122867483793,6.98141603403263e-05,-0.134677577508446,0.201577475050056
1,4,6.42667726637578,-0.0485637834423907,-0.210849794779052,4.72689722541787,7.3936222732773,0.00718290920058106,5.21673926063094,-0.218232091903409,3.89375226192904,0.157272935172791,0.0580870976600546,0.0889681947910826,0.724632386835133,0.114611158493715,0.16260734022143,-5.70703687732906,0.510619974471092,-0.297502321140184,-0.121122867483793,6.98141603403263e-05,-0.134677577508446,0.201577475050056
