rep,id,eta_b0,eta_b1,eta_h1,eta_h2,eta_alpha1,eta_alpha2,eta_hcov1,eta_hcov2,score4C
1,1,0.0336643772983329,-0.00562875187835883,0,0,0,0,0,0,11
2,1,0.142242964715669,-0.00836930665176472,0,0,0,0,0,0,11
3,1,-0.0958672894277632,0.0108810443896586,0,0,0,0,0,0,11
4,1,-0.333823383137079,0.044212598292561,0,0,0,0,0,0,11
5,1,-0.0147622085311392,0.0111296502064705,0,0,0,0,0,0,11
6,1,0.00528785495739825,-0.00311705051282374,0,0,0,0,0,0,11
7,1,0.236486079680637,-0.0172076887970128,0,0,0,0,0,0,11
8,1,0.160852801232457,-0.0139051173095249,0,0,0,0,0,0,11
9,1,0.17245358852365,-0.025691505278799,0,0,0,0,0,0,11
10,1,0.393117210180382,-0.0253904795220901,0,0,0,0,0,0,11
1,2,-0.0555898945549469,-0.0807611569787796,0,0,0,0,0,0,5
2,2,0.142194222099947,-0.0173477209062629,0,0,0,0,0,0,5
3,2,-0.183591091474328,-0.0889957210491639,0,0,0,0,0,0,5
4,2,0.0744298711878462,0.00435913487540826,0,0,0,0,0,0,5
5,2,-0.362314256741401,-0.0125609744784025,0,0,0,0,0,0,5
6,2,-0.272215768480581,0.00317507602290037,0,0,0,0,0,0,5
7,2,-0.37791681925011,-0.0393141545647182,0,0,0,0,0,0,5
8,2,-0.11356263224329,-0.0268147460597509,0,0,0,0,0,0,5
9,2,-0.0523444427136903,-0.0786587287097007,0,0,0,0,0,0,5
10,2,-0.363013184740697,0.000527246266791424,0,0,0,0,0,0,5
1,3,-0.246080951839941,0.00761522497738307,0,0,0,0,0,0,6
2,3,-0.235833994705784,-0.0132705618734972,0,0,0,0,0,0,6
3,3,-0.0556491221542483,-0.0718494997935086,0,0,0,0,0,0,6
4,3,0.386401612829636,-0.0881566104500125,0,0,0,0,0,0,6
5,3,0.0868707882542501,-0.0804139539070944,0,0,0,0,0,0,6
6,3,-0.163463105370465,-0.0569199283309966,0,0,0,0,0,0,6
7,3,0.0211496032685647,-0.0290155796912165,0,0,0,0,0,0,6
8,3,-0.170159547721483,-0.0746098211818374,0,0,0,0,0,0,6
9,3,0.0448277543432285,-0.0990252645092458,0,0,0,0,0,0,6
10,3,-0.209515044303874,-0.0392841422667795,0,0,0,0,0,0,6
