rep,id,eta_b02,eta_b12,eta_b03,eta_b13,eta_b04,eta_b14,eta_b07,eta_b17,eta_p1,eta_g1,eta_p2,eta_g2,eta_alpha12,eta_alpha13,eta_alpha14,eta_alpha17,eta_alpha22,eta_alpha23,eta_alpha24,eta_alpha27
1,1,-0.0269981912107147,0.00123154997019921,0.137279087327874,0.0791196749146406,-0.702418823822037,-0.0348976250206466,39.6302711962131,-7.03121989664731,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0.00415390679406968,-5.49045710743299e-06,-0.269797059495379,0.0989414550253978,-1.39859183520987,-0.0140640185522758,15.7527403934433,-5.81002979663503,0,0,0,0,0,0,0,0,0,0,0,0
3,1,-0.0329385137869957,0.00235599663821265,-0.797618979795291,0.149088704085943,-1.79768820463075,0.0112683487387569,40.3633863408817,-5.89054428261777,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0.00960720845732688,0.00418519535056945,-1.70475401780924,0.0795550115492809,0.814591340960375,0.0251609715404026,-138.311868781451,1.41409830808628,0,0,0,0,0,0,0,0,0,0,0,0
2,2,-0.00594193468325965,0.00732500547000826,-1.07127878448863,-0.0962269974201676,1.03869820443993,0.0207316933123826,-114.143005889464,-1.95755765971261,0,0,0,0,0,0,0,0,0,0,0,0
3,2,0.0208073401361961,0.000483007581851333,-0.526897067320911,0.02159537658927,0.832117207820088,-0.0532400209072257,28.266190644484,4.05732041547109,0,0,0,0,0,0,0,0,0,0,0,0
1,3,-0.0155814909229761,-0.00298231673075493,0.0686518749274683,0.0132802291263439,-2.99209764643364,-0.126119024281218,-18.34726401427,-0.60916618290713,0,0,0,0,0,0,0,0,0,0,0,0
2,3,-0.0484783968249536,0.0027513406500022,-0.179321331367033,-0.0313745752269511,-2.87527082743726,-0.0589383297084115,-73.3621445485562,5.96144630912456,0,0,0,0,0,0,0,0,0,0,0,0
3,3,-0.0626221997155021,0.00181551287585921,0.000653835566134298,-0.106914152514808,-3.35414666241157,-0.0931859589394762,-47.0980011528895,0.91778757337341,0,0,0,0,0,0,0,0,0,0,0,0
1,4,-0.0207199240752827,-0.00459753731193573,-0.537799769702692,-0.0170794795833453,-1.55529990815602,0.00602942932707349,8.06316703364098,-0.885958512381114,0,0,0,0,0,0,0,0,0,0,0,0
2,4,0.031989802135417,0.0087290298032853,0.358302898330128,-0.199248207782559,-0.808595723437461,0.104867971757665,-54.7083547597487,5.09695787357191,0,0,0,0,0,0,0,0,0,0,0,0
3,4,0.0134256785072822,0.00559220096193676,1.06081854368087,0.0501249889913302,0.867678548460367,-0.0144143482363579,63.1479990710028,-5.73320275335244,0,0,0,0,0,0,0,0,0,0,0,0
1,5,0.0191930262126494,0.00281200873445217,0.605512218029519,0.0917054476741904,-0.970700342860041,0.0631257178486488,-16.1867468621037,3.50593785098511,0,0,0,0,0,0,0,0,0,0,0,0
2,5,-0.0256382957623895,0.00418070199408952,1.1534833854389,0.136424409843854,-0.51681593252292,-0.00805617836694321,-34.1363422523441,-0.039377756271695,0,0,0,0,0,0,0,0,0,0,0,0
3,5,0.0554693508107515,0.000777511199944913,0.964060636194309,0.106359420359092,-1.42856879990007,-0.0245587330989097,44.6204760313693,-1.29424683417549,0,0,0,0,0,0,0,0,0,0,0,0
1,6,0.0492716017376207,-0.00300596195141177,2.02177629441882,-0.131693626885379,-0.889071927686223,0.0380033847998223,63.7389616853949,-1.38796126093511,0,0,0,0,0,0,0,0,0,0,0,0
2,6,0.0121659811636547,0.000717210928857321,1.25786475289808,0.111358146706704,0.0453544176885163,-0.144245720654864,28.9883341775047,-6.2736512647636,0,0,0,0,0,0,0,0,0,0,0,0
3,6,0.00348712403109541,-0.00027643737918424,1.52524791034294,-0.0968105920050603,1.42022410796883,-0.083660484783553,-58.5615151719505,-3.26386993710783,0,0,0,0,0,0,0,0,0,0,0,0
