rep,id,eta_b02,eta_b12,eta_b03,eta_b13,eta_b07,eta_b17,eta_p1,eta_g1,eta_p2,eta_g2,eta_alpha12,eta_alpha13,eta_alpha17,eta_alpha22,eta_alpha23,eta_alpha27
1,1,-0.0564241779359378,-0.00120886071605718,0.65194404201831,0.177751886276787,-40.035426413806,4.70225522080643,0,0,0,0,0,0,0,0,0,0
2,1,-0.0296179650393702,0.00232479586935058,1.05430492517002,-0.0715767296228388,-7.20711514218209,1.15570495416923,0,0,0,0,0,0,0,0,0,0
3,1,-0.0261107248914492,-0.000182887903319808,1.30664341012994,0.116612085461647,14.9117611835301,6.96853084111629,0,0,0,0,0,0,0,0,0,0
1,2,0.0258906662104046,0.00070469944222113,0.781583815599133,-0.139141064343164,-13.8584935169538,-0.26974225883116,0,0,0,0,0,0,0,0,0,0
2,2,0.0194026587512042,-0.00507234366150423,0.98858306469823,-0.141040808270147,40.9628037979249,-8.24438064774486,0,0,0,0,0,0,0,0,0,0
3,2,0.0108197312230001,0.0047054576054242,1.20029619258338,-0.00137942819241907,-17.889893003721,4.84929514626528,0,0,0,0,0,0,0,0,0,0
1,3,-0.0354907469192307,0.00343835363615653,0.425223351661521,-0.268413761944543,-146.433202551703,2.98861144204796,0,0,0,0,0,0,0,0,0,0
2,3,0.0142234798502052,1.16446794186983e-05,0.850157486830629,-0.288279690468487,-186.517661211573,4.98097069700572,0,0,0,0,0,0,0,0,0,0
3,3,-0.0403002923856128,0.00476250509875797,0.541645679263218,-0.293934450037305,-169.713047736567,4.29604231313215,0,0,0,0,0,0,0,0,0,0
1,4,0.0117554585784561,-0.00433721534025673,2.68271218267365,0.0145662191263638,65.7034135670172,-7.21680976773726,0,0,0,0,0,0,0,0,0,0
2,4,-0.0307979722147316,-0.00416290839314719,3.00689275832801,0.109820642717241,165.292797961256,-3.64629356654435,0,0,0,0,0,0,0,0,0,0
3,4,0.00491592451018441,0.0013012695853527,2.94887743631494,0.0189289082709961,56.4532136905044,-3.79406903097674,0,0,0,0,0,0,0,0,0,0
1,5,0.0513910691778472,-0.0025555535603263,0.031078919919179,0.152098312466763,66.7595824470037,5.12053990918231,0,0,0,0,0,0,0,0,0,0
2,5,0.0730387239129211,-0.00754895001524652,-0.639803401523396,0.226289183283227,135.664540032149,0.533378400647229,0,0,0,0,0,0,0,0,0,0
3,5,0.0778221829091645,-0.00395546452799613,-0.00761710869054077,0.205851599513858,247.847478628619,-1.4414317236397,0,0,0,0,0,0,0,0,0,0
1,6,0.00433702407209324,-0.00129595428299165,0.066771083654003,0.00980262299648146,-95.1130430439836,-3.88613534789589,0,0,0,0,0,0,0,0,0,0
2,6,0.0558387597152956,-0.00422713151569419,0.539147745030672,-0.0256788283999022,-77.7808577524592,-4.25376798520074,0,0,0,0,0,0,0,0,0,0
3,6,0.0541660164203082,-0.00331989295064016,0.451084915314374,-0.00948237732659313,-94.0801371838775,-3.96195644367786,0,0,0,0,0,0,0,0,0,0
1,7,0.011153656024562,-0.00127680952786642,-0.221648097004637,-0.12264442882176,-40.7382125789267,-0.399976970739551,0,0,0,0,0,0,0,0,0,0
2,7,-0.0462741482113103,0.00460753040424119,-0.328887611978788,-0.0990374090270436,-63.1402789479105,4.6454583959778,0,0,0,0,0,0,0,0,0,0
3,7,0.0408488466986183,-0.00300610621138385,-0.22736005605588,-0.0921148397834712,-36.442088230784,-4.81534072115453,0,0,0,0,0,0,0,0,0,0
1,8,0.043889734136787,-0.00185992823836562,-0.811567913655965,0.0599016647667843,-41.8127422396624,7.90934471280242,0,0,0,0,0,0,0,0,0,0
2,8,0.0277761121246973,-0.00286855636821045,-0.956865355675749,0.207674186545685,22.585650520954,-0.307193158618369,0,0,0,0,0,0,0,0,0,0
3,8,0.0330072741464065,0.000958310549408314,-0.548629942656359,0.028977323449936,-53.3167975425879,1.57967986654051,0,0,0,0,0,0,0,0,0,0
1,9,0.0697085487052549,0.00834963399014738,0.294352460833219,0.197007360825332,61.0842928838509,0.6771253606553,0,0,0,0,0,0,0,0,0,0
2,9,0.0674614643379039,-0.00866928947589172,-0.270905677133664,-0.102937063584351,9.36281153454235,7.6780361678992,0,0,0,0,0,0,0,0,0,0
3,9,0.0514974123913357,-0.00369421325246786,-0.471924122903848,-0.00463953315148077,-15.0561367488827,-9.81329871599137,0,0,0,0,0,0,0,0,0,0
