id,eta_b02_SAEM,eta_b12_SAEM,eta_b03_SAEM,eta_b13_SAEM,eta_b07_SAEM,eta_b17_SAEM,eta_p1_SAEM,eta_g1_SAEM,eta_p2_SAEM,eta_g2_SAEM,eta_alpha12_SAEM,eta_alpha13_SAEM,eta_alpha17_SAEM,eta_alpha22_SAEM,eta_alpha23_SAEM,eta_alpha27_SAEM
1,-0.0499473,-0.00351267,0.728003,0.132737,10.3816,-1.40059,0,0,0,0,0,0,0,0,0,0
2,0.0153095,0.000375842,1.03061,0.00110525,17.5756,0.689108,0,0,0,0,0,0,0,0,0,0
3,-0.0126524,0.00260737,0.494612,-0.280054,-158.902,4.25315,0,0,0,0,0,0,0,0,0,0
4,-0.0169571,-0.000539582,2.50316,0.113765,82.9504,-0.797711,0,0,0,0,0,0,0,0,0,0
5,0.0576843,-0.00314383,-0.241341,0.197825,93.4784,3.81632,0,0,0,0,0,0,0,0,0,0
6,0.0228046,-0.00239327,0.410306,-0.0104574,-79.9488,-4.31488,0,0,0,0,0,0,0,0,0,0
7,0.00102603,0.00197698,-0.255609,-0.115232,-35.2742,-1.3076,0,0,0,0,0,0,0,0,0,0
8,0.0140228,0.00123849,-1.02736,0.0836404,-45.7889,0.568963,0,0,0,0,0,0,0,0,0,0
9,0.0651099,0.00210659,-0.211314,0.0199913,20.9299,0.00327609,0,0,0,0,0,0,0,0,0,0
10,-0.00409787,0.00406767,-0.00979712,0.179004,-237.651,-4.5823,0,0,0,0,0,0,0,0,0,0
11,0.0336114,-0.00275298,-0.287091,0.0401743,-170.072,4.28453,0,0,0,0,0,0,0,0,0,0
12,0.0120804,-0.000345262,0.761264,-0.11115,80.5696,0.801193,0,0,0,0,0,0,0,0,0,0
13,0.040883,0.00131573,0.583436,-0.00437197,-69.7166,-0.429227,0,0,0,0,0,0,0,0,0,0
14,-0.00926994,-0.000376123,0.558127,0.066463,43.2035,-0.660964,0,0,0,0,0,0,0,0,0,0
15,-0.0582229,-0.00183694,0.0990843,0.0829179,-37.8009,-0.977633,0,0,0,0,0,0,0,0,0,0
16,0.0137408,0.000275371,-0.95529,0.00139009,125.488,0.404372,0,0,0,0,0,0,0,0,0,0
17,0.00288696,-0.00224802,1.67662,0.00372445,35.9695,-1.12464,0,0,0,0,0,0,0,0,0,0
18,-0.0346442,-0.000855057,1.16141,-0.112788,46.1835,-0.714254,0,0,0,0,0,0,0,0,0,0
19,-0.000222618,0.000699253,0.4983,0.0248019,67.4775,-0.26571,0,0,0,0,0,0,0,0,0,0
20,-0.0423458,-0.000492063,-0.509127,-0.0146531,70.806,-0.3372,0,0,0,0,0,0,0,0,0,0
21,-0.00409416,0.00269355,-0.25222,-0.088289,-137.165,-1.32824,0,0,0,0,0,0,0,0,0,0
22,0.0128972,0.00690395,1.05852,0.121064,91.3759,0.814788,0,0,0,0,0,0,0,0,0,0
23,0.000358989,-0.00369583,1.46624,-0.00134501,-30.1523,0.233618,0,0,0,0,0,0,0,0,0,0
24,-0.002145,-0.00452916,-0.611733,0.100042,-179.743,-5.61266,0,0,0,0,0,0,0,0,0,0
25,0.0138835,0.00553584,0.842955,-0.0959299,39.3124,-1.45197,0,0,0,0,0,0,0,0,0,0
26,-0.00169128,4.85279e-05,-0.652833,-0.0330959,-48.9095,0.161651,0,0,0,0,0,0,0,0,0,0
27,-0.0285585,-0.000368209,-0.557108,0.0401121,-132.493,-0.294624,0,0,0,0,0,0,0,0,0,0
28,0.0137621,0.000469165,0.649703,-0.0874479,-127.928,-0.683305,0,0,0,0,0,0,0,0,0,0
29,0.0386369,0.0010719,-0.0689103,-0.0277477,-142.268,-0.260221,0,0,0,0,0,0,0,0,0,0
30,0.00219862,0.00675598,1.27783,-0.144445,87.5254,-1.8371,0,0,0,0,0,0,0,0,0,0
31,0.0283888,-0.00289795,-0.167706,-0.162883,-123.644,3.70401,0,0,0,0,0,0,0,0,0,0
