rep,id,b01,b11,b21,a1,b02,b12,b03,b13,b04,b14,b05,b15,b06,b16,b07,b17,p1,g1,p2,g2,alpha11,alpha12,alpha13,alpha14,alpha15,alpha16,alpha17,alpha21,alpha22,alpha23,alpha24,alpha25,alpha26,alpha27
1,1,4.23881526470775,-0.0190108825965392,-0.126870869540772,5.05140303171756,7.4183853950881,-0.0070496393137863,2.2488755856844,-0.19932325747389,6.85496216396267,0.203419918493289,6.47828568780066,-0.0702269617217335,5.87239761136702,0.0866641232195122,430.426115040291,-6.84289470529483,0.0359299925340949,0.0777237276282166,0.742517148115814,0.157947798422615,0.180270793472244,-15.5770034803526,0.787994481425059,-1.77754021134107e-15,-0.19224195555688,-0.166859292146663,5.02567107346117e-18,-0.0731751749140732,4.07595803165319,-0.253678953904393,-0.0581446740112911,1.5743148896075e-08,-2.61333138515279e-13,-0.000909534636995043
2,1,3.82840559340452,-0.104608043359011,-0.214402356997611,4.91234012672759,7.42783811991418,0.000270892756901081,1.70187509755202,0.127675024363716,7.52625943818239,-0.0527059270475768,6.89021263819129,-0.173021125682934,5.47324764516324,0.0404786912608274,495.588003400656,-6.96032481850411,0.0359299925340949,0.0777237276282166,0.742517148115814,0.157947798422615,0.180270793472244,-15.5770034803526,0.787994481425059,-1.77754021134107e-15,-0.19224195555688,-0.166859292146663,5.02567107346117e-18,-0.0731751749140732,4.07595803165319,-0.253678953904393,-0.0581446740112911,1.5743148896075e-08,-2.61333138515279e-13,-0.000909534636995043
3,1,5.28118118415455,-0.146998428453914,-0.173547283434714,4.82123359487495,7.40246763570889,0.00927908986926462,2.81560589223194,-0.289465187638755,7.86080985100622,-0.0880374290386313,6.91175244167922,-0.0866153048489566,5.86570741928428,0.142383682916799,356.367729215642,5.17729655825466,0.0359299925340949,0.0777237276282166,0.742517148115814,0.157947798422615,0.180270793472244,-15.5770034803526,0.787994481425059,-1.77754021134107e-15,-0.19224195555688,-0.166859292146663,5.02567107346117e-18,-0.0731751749140732,4.07595803165319,-0.253678953904393,-0.0581446740112911,1.5743148896075e-08,-2.61333138515279e-13,-0.000909534636995043
1,2,6.00290991024804,-0.231394379748916,-0.107343145846736,10.0033535541909,7.421275149452,-0.0010147837673793,3.64159580728134,0.0294124123052883,8.75872003136501,0.00955395206818668,7.55691276565829,-0.109843726036683,5.24308908988839,-0.0865213446699785,309.883490767185,-7.09220437293896,0.0359299925340949,0.0777237276282166,0.742517148115814,0.157947798422615,0.180270793472244,-15.5770034803526,0.787994481425059,-1.77754021134107e-15,-0.19224195555688,-0.166859292146663,5.02567107346117e-18,-0.0731751749140732,4.07595803165319,-0.253678953904393,-0.0581446740112911,1.5743148896075e-08,-2.61333138515279e-13,-0.000909534636995043
2,2,6.97001137993926,-0.0844847056495842,-0.129687268164261,2.9298435974766,7.35005673387643,0.00490271305688747,4.40664472682971,-0.0268630045766407,10.2588915107964,-0.0603994671677959,6.27085776643391,-0.041151731978815,5.02767289647118,-0.0101764920674048,301.401410993181,-5.41917707370233,0.0359299925340949,0.0777237276282166,0.742517148115814,0.157947798422615,0.180270793472244,-15.5770034803526,0.787994481425059,-1.77754021134107e-15,-0.19224195555688,-0.166859292146663,5.02567107346117e-18,-0.0731751749140732,4.07595803165319,-0.253678953904393,-0.0581446740112911,1.5743148896075e-08,-2.61333138515279e-13,-0.000909534636995043
3,2,5.83294922738009,-0.208475333487685,-0.10889481488881,4.82691799863157,7.40023026514134,0.00919986419134695,5.10515047776648,-0.138090065772107,9.51899305664459,0.146699805770375,8.12010739077064,-0.153388789215202,5.43233258518155,-0.100763978646899,261.453408591791,-2.42065317829498,0.0359299925340949,0.0777237276282166,0.742517148115814,0.157947798422615,0.180270793472244,-15.5770034803526,0.787994481425059,-1.77754021134107e-15,-0.19224195555688,-0.166859292146663,5.02567107346117e-18,-0.0731751749140732,4.07595803165319,-0.253678953904393,-0.0581446740112911,1.5743148896075e-08,-2.61333138515279e-13,-0.000909534636995043
1,3,0.636318624206349,-0.194399590012386,-0.0828021792731946,5.01665691693442,7.34456584215365,-0.00518879046068681,3.51134735638905,0.15819729264073,4.3306678102878,-0.0767397464362163,8.1580202477638,0.169744154115036,5.19492028805157,-0.00927115100373099,435.395624750846,-5.33616037565682,0.0359299925340949,0.0777237276282166,0.742517148115814,0.157947798422615,0.180270793472244,-15.5770034803526,0.787994481425059,-1.77754021134107e-15,-0.19224195555688,-0.166859292146663,5.02567107346117e-18,-0.0731751749140732,4.07595803165319,-0.253678953904393,-0.0581446740112911,1.5743148896075e-08,-2.61333138515279e-13,-0.000909534636995043
2,3,0.339875955423533,-0.165919260380208,-0.130550915333706,13.7935251596273,7.34769776765065,-0.00522785205572318,4.0545428094007,0.114354191932192,4.38522476090762,-0.0536321319776344,8.19569787850136,0.164891373692337,5.35180916667313,-0.0166562007005838,528.011439175827,-7.66680603444122,0.0359299925340949,0.0777237276282166,0.742517148115814,0.157947798422615,0.180270793472244,-15.5770034803526,0.787994481425059,-1.77754021134107e-15,-0.19224195555688,-0.166859292146663,5.02567107346117e-18,-0.0731751749140732,4.07595803165319,-0.253678953904393,-0.0581446740112911,1.5743148896075e-08,-2.61333138515279e-13,-0.000909534636995043
3,3,0.262809126692933,-0.211099756746668,-0.140555831539015,9.62587532632301,7.3217520250063,-0.00396885042756019,3.84726780495006,0.127099439584101,4.32917804332538,-0.0645982971032724,8.65562237860617,0.163925957557348,5.79566172208155,-0.0324748961082442,378.200347831526,-0.208422226108338,0.0359299925340949,0.0777237276282166,0.742517148115814,0.157947798422615,0.180270793472244,-15.5770034803526,0.787994481425059,-1.77754021134107e-15,-0.19224195555688,-0.166859292146663,5.02567107346117e-18,-0.0731751749140732,4.07595803165319,-0.253678953904393,-0.0581446740112911,1.5743148896075e-08,-2.61333138515279e-13,-0.000909534636995043
1,4,5.57950460355289,-0.00029397522180898,-0.156957774478361,12.0483732182035,7.42579193444594,0.00394437850340787,4.3726927825447,-0.157230514236547,4.49530904005377,-0.0206118347345125,7.45524088339289,-0.133289038289415,5.1626482913617,-0.162193490577365,400.623750117219,-5.13109729813218,0.0359299925340949,0.0777237276282166,0.742517148115814,0.157947798422615,0.180270793472244,-15.5770034803526,0.787994481425059,-1.77754021134107e-15,-0.19224195555688,-0.166859292146663,5.02567107346117e-18,-0.0731751749140732,4.07595803165319,-0.253678953904393,-0.0581446740112911,1.5743148896075e-08,-2.61333138515279e-13,-0.000909534636995043
