id,b01_SAEM,b11_SAEM,b21_SAEM,a1_SAEM,p1_SAEM,g1_SAEM,p2_SAEM,g2_SAEM,alpha11_SAEM,alpha21_SAEM
1,7.37566,-0.13084,-0.14783,5.06226,0.117932,0.179532,0.756022,0.0900792,0.133518,-0.0787547
2,5.22934,-0.130974,-0.132606,6.99422,0.117932,0.179532,0.756022,0.0900792,0.133518,-0.0787547
3,7.17078,-0.118393,-0.166243,6.17018,0.117932,0.179532,0.756022,0.0900792,0.133518,-0.0787547
4,7.0423,-0.0844403,-0.16052,8.20616,0.117932,0.179532,0.756022,0.0900792,0.133518,-0.0787547
5,5.62659,-0.126864,-0.139206,5.63299,0.117932,0.179532,0.756022,0.0900792,0.133518,-0.0787547
6,4.92478,0.0848232,-0.138559,16.2524,0.117932,0.179532,0.756022,0.0900792,0.133518,-0.0787547
7,5.56198,-0.192997,-0.0862741,19.7086,0.117932,0.179532,0.756022,0.0900792,0.133518,-0.0787547
8,4.75636,-0.154451,-0.128662,6.48121,0.117932,0.179532,0.756022,0.0900792,0.133518,-0.0787547
9,4.23848,-0.0795796,-0.151428,7.12107,0.117932,0.179532,0.756022,0.0900792,0.133518,-0.0787547
10,1.79886,-0.195326,-0.0836311,7.05239,0.117932,0.179532,0.756022,0.0900792,0.133518,-0.0787547
11,3.84181,-0.152413,-0.126785,4.31356,0.117932,0.179532,0.756022,0.0900792,0.133518,-0.0787547
12,3.37329,-0.126582,-0.13604,4.93605,0.117932,0.179532,0.756022,0.0900792,0.133518,-0.0787547
13,5.98171,-0.0303745,-0.156382,10.7386,0.117932,0.179532,0.756022,0.0900792,0.133518,-0.0787547
14,6.48474,-0.0268669,-0.158828,11.1041,0.117932,0.179532,0.756022,0.0900792,0.133518,-0.0787547
15,3.97151,-0.216095,-0.118879,6.73359,0.117932,0.179532,0.756022,0.0900792,0.133518,-0.0787547
16,5.95091,0.0304121,-0.126285,5.10121,0.117932,0.179532,0.756022,0.0900792,0.133518,-0.0787547
17,-0.227818,-0.217965,-0.13005,6.82992,0.117932,0.179532,0.756022,0.0900792,0.133518,-0.0787547
18,7.0897,-0.172838,-0.120373,5.77757,0.117932,0.179532,0.756022,0.0900792,0.133518,-0.0787547
19,5.51322,-0.128167,-0.148704,5.10747,0.117932,0.179532,0.756022,0.0900792,0.133518,-0.0787547
20,4.69327,-0.146325,-0.129519,5.5779,0.117932,0.179532,0.756022,0.0900792,0.133518,-0.0787547
21,3.13067,-0.139493,-0.12679,5.07251,0.117932,0.179532,0.756022,0.0900792,0.133518,-0.0787547
22,5.07695,-0.109255,-0.141975,6.77531,0.117932,0.179532,0.756022,0.0900792,0.133518,-0.0787547
23,4.37255,-0.13699,-0.128682,5.17833,0.117932,0.179532,0.756022,0.0900792,0.133518,-0.0787547
24,1.60144,-0.197428,-0.106748,6.96687,0.117932,0.179532,0.756022,0.0900792,0.133518,-0.0787547
25,7.0582,-0.115877,-0.155819,5.74358,0.117932,0.179532,0.756022,0.0900792,0.133518,-0.0787547
26,4.09359,-0.227849,-0.116983,8.12089,0.117932,0.179532,0.756022,0.0900792,0.133518,-0.0787547
27,7.83026,-0.169209,-0.131081,6.05735,0.117932,0.179532,0.756022,0.0900792,0.133518,-0.0787547
28,4.12386,-0.161059,-0.13234,5.2773,0.117932,0.179532,0.756022,0.0900792,0.133518,-0.0787547
29,5.57382,-0.154563,-0.134187,5.35397,0.117932,0.179532,0.756022,0.0900792,0.133518,-0.0787547
30,7.1626,-0.117478,-0.146543,5.50792,0.117932,0.179532,0.756022,0.0900792,0.133518,-0.0787547
31,6.36281,-0.195204,-0.0960624,10.0671,0.117932,0.179532,0.756022,0.0900792,0.133518,-0.0787547
32,3.53782,-0.136732,-0.130435,6.83062,0.117932,0.179532,0.756022,0.0900792,0.133518,-0.0787547
33,4.20066,-0.120093,-0.145202,4.89414,0.117932,0.179532,0.756022,0.0900792,0.133518,-0.0787547
34,5.74034,-0.135534,-0.149003,5.89138,0.117932,0.179532,0.756022,0.0900792,0.133518,-0.0787547
35,4.40264,-0.10687,-0.123951,5.57546,0.117932,0.179532,0.756022,0.0900792,0.133518,-0.0787547
36,0.744068,-0.161351,-0.143063,3.29465,0.117932,0.179532,0.756022,0.0900792,0.133518,-0.0787547
37,2.75222,-0.217242,-0.131186,4.98687,0.117932,0.179532,0.756022,0.0900792,0.133518,-0.0787547
38,2.32244,-0.126072,-0.138523,5.18248,0.117932,0.179532,0.756022,0.0900792,0.133518,-0.0787547
39,1.91751,-0.133612,-0.135284,6.52477,0.117932,0.179532,0.756022,0.0900792,0.133518,-0.0787547
40,5.70861,-0.132371,-0.141557,4.9217,0.117932,0.179532,0.756022,0.0900792,0.133518,-0.0787547
41,7.08095,-0.14136,-0.127756,6.70205,0.117932,0.179532,0.756022,0.0900792,0.133518,-0.0787547
42,4.38581,-0.104996,-0.142919,7.72141,0.117932,0.179532,0.756022,0.0900792,0.133518,-0.0787547
43,5.24935,-0.14311,-0.150148,5.19436,0.117932,0.179532,0.756022,0.0900792,0.133518,-0.0787547
44,5.17865,0.088942,-0.118961,7.89839,0.117932,0.179532,0.756022,0.0900792,0.133518,-0.0787547
45,1.62795,-0.11456,-0.153118,4.18484,0.117932,0.179532,0.756022,0.0900792,0.133518,-0.0787547
46,5.11837,-0.178737,-0.106451,9.08285,0.117932,0.179532,0.756022,0.0900792,0.133518,-0.0787547
47,5.53227,-0.145263,-0.132209,8.05935,0.117932,0.179532,0.756022,0.0900792,0.133518,-0.0787547
48,5.15731,-0.136092,-0.138084,5.28791,0.117932,0.179532,0.756022,0.0900792,0.133518,-0.0787547
49,5.8897,-0.102062,-0.141802,5.12884,0.117932,0.179532,0.756022,0.0900792,0.133518,-0.0787547
50,4.48952,-0.161446,-0.128577,4.98413,0.117932,0.179532,0.756022,0.0900792,0.133518,-0.0787547
51,5.35933,-0.191053,-0.105625,7.09648,0.117932,0.179532,0.756022,0.0900792,0.133518,-0.0787547
52,6.93506,-0.119914,-0.152557,6.12252,0.117932,0.179532,0.756022,0.0900792,0.133518,-0.0787547
53,2.7747,-0.107612,-0.147671,6.26844,0.117932,0.179532,0.756022,0.0900792,0.133518,-0.0787547
54,5.05414,-0.153821,-0.130696,5.65063,0.117932,0.179532,0.756022,0.0900792,0.133518,-0.0787547
55,4.34083,-0.118233,-0.136545,5.63775,0.117932,0.179532,0.756022,0.0900792,0.133518,-0.0787547
56,4.11772,-0.122129,-0.139336,6.23842,0.117932,0.179532,0.756022,0.0900792,0.133518,-0.0787547
57,2.69674,-0.146441,-0.132994,5.54262,0.117932,0.179532,0.756022,0.0900792,0.133518,-0.0787547
58,6.80359,-0.134819,-0.137044,5.61055,0.117932,0.179532,0.756022,0.0900792,0.133518,-0.0787547
59,5.00344,-0.100492,-0.141132,6.62578,0.117932,0.179532,0.756022,0.0900792,0.133518,-0.0787547
60,5.33363,-0.181375,-0.106835,7.00621,0.117932,0.179532,0.756022,0.0900792,0.133518,-0.0787547
61,6.03379,-0.141618,-0.142498,4.84741,0.117932,0.179532,0.756022,0.0900792,0.133518,-0.0787547
62,2.96758,-0.141695,-0.148572,5.1439,0.117932,0.179532,0.756022,0.0900792,0.133518,-0.0787547
63,4.46815,-0.136861,-0.124708,7.76979,0.117932,0.179532,0.756022,0.0900792,0.133518,-0.0787547
64,4.02051,-0.10384,-0.145827,7.63266,0.117932,0.179532,0.756022,0.0900792,0.133518,-0.0787547
65,6.22579,0.0203444,-0.130611,4.76459,0.117932,0.179532,0.756022,0.0900792,0.133518,-0.0787547
66,2.5462,-0.14806,-0.138948,5.26751,0.117932,0.179532,0.756022,0.0900792,0.133518,-0.0787547
67,5.05453,0.0448446,-0.119136,2.94011,0.117932,0.179532,0.756022,0.0900792,0.133518,-0.0787547
68,3.24146,-0.145059,-0.144925,5.22098,0.117932,0.179532,0.756022,0.0900792,0.133518,-0.0787547
69,5.53978,-0.139845,-0.138657,7.67899,0.117932,0.179532,0.756022,0.0900792,0.133518,-0.0787547
70,5.60252,-0.174114,-0.102098,5.3356,0.117932,0.179532,0.756022,0.0900792,0.133518,-0.0787547
71,6.36164,-0.155121,-0.129333,6.3322,0.117932,0.179532,0.756022,0.0900792,0.133518,-0.0787547
72,1.03415,-0.119615,-0.144838,4.58913,0.117932,0.179532,0.756022,0.0900792,0.133518,-0.0787547
73,7.57474,-0.0217447,-0.144955,10.344,0.117932,0.179532,0.756022,0.0900792,0.133518,-0.0787547
74,1.22151,-0.258738,-0.0987592,16.8674,0.117932,0.179532,0.756022,0.0900792,0.133518,-0.0787547
75,2.95997,-0.123842,-0.140923,4.91755,0.117932,0.179532,0.756022,0.0900792,0.133518,-0.0787547
76,3.732,-0.117847,-0.137132,5.69992,0.117932,0.179532,0.756022,0.0900792,0.133518,-0.0787547
77,3.39288,-0.241881,-0.1003,18.4378,0.117932,0.179532,0.756022,0.0900792,0.133518,-0.0787547
78,4.46429,-0.16489,-0.0674989,26.0345,0.117932,0.179532,0.756022,0.0900792,0.133518,-0.0787547
79,4.7798,-0.136745,-0.141997,5.13092,0.117932,0.179532,0.756022,0.0900792,0.133518,-0.0787547
80,3.92689,0.1012,-0.116641,10.7726,0.117932,0.179532,0.756022,0.0900792,0.133518,-0.0787547
81,2.32022,-0.139073,-0.171023,5.45907,0.117932,0.179532,0.756022,0.0900792,0.133518,-0.0787547
82,6.19637,-0.0792411,-0.154152,7.15046,0.117932,0.179532,0.756022,0.0900792,0.133518,-0.0787547
83,6.06392,-0.125309,-0.139313,4.88164,0.117932,0.179532,0.756022,0.0900792,0.133518,-0.0787547
84,6.67789,-0.111132,-0.141816,7.59021,0.117932,0.179532,0.756022,0.0900792,0.133518,-0.0787547
85,0.468532,-0.274786,-0.152404,5.82019,0.117932,0.179532,0.756022,0.0900792,0.133518,-0.0787547
86,4.09924,-0.141322,-0.130586,7.17158,0.117932,0.179532,0.756022,0.0900792,0.133518,-0.0787547
87,4.08726,-0.144998,-0.133508,7.76154,0.117932,0.179532,0.756022,0.0900792,0.133518,-0.0787547
88,5.26887,-0.115775,-0.143029,5.71697,0.117932,0.179532,0.756022,0.0900792,0.133518,-0.0787547
89,4.33846,-0.105815,-0.141205,4.64092,0.117932,0.179532,0.756022,0.0900792,0.133518,-0.0787547
90,2.45943,-0.137695,-0.145299,4.78724,0.117932,0.179532,0.756022,0.0900792,0.133518,-0.0787547
91,4.46715,-0.165929,-0.124943,6.18062,0.117932,0.179532,0.756022,0.0900792,0.133518,-0.0787547
92,5.72753,-0.182072,-0.118773,5.68903,0.117932,0.179532,0.756022,0.0900792,0.133518,-0.0787547
93,5.3401,-0.172002,-0.131877,5.36003,0.117932,0.179532,0.756022,0.0900792,0.133518,-0.0787547
94,1.53681,-0.111595,-0.166691,4.71816,0.117932,0.179532,0.756022,0.0900792,0.133518,-0.0787547
95,2.79535,-0.173883,-0.118867,6.62793,0.117932,0.179532,0.756022,0.0900792,0.133518,-0.0787547
96,4.58287,-0.147716,-0.130989,5.59819,0.117932,0.179532,0.756022,0.0900792,0.133518,-0.0787547
97,2.22853,-0.240813,-0.0777301,12.2374,0.117932,0.179532,0.756022,0.0900792,0.133518,-0.0787547
98,4.63438,-0.129539,-0.134878,7.08634,0.117932,0.179532,0.756022,0.0900792,0.133518,-0.0787547
99,3.19067,-0.151472,-0.134173,7.42595,0.117932,0.179532,0.756022,0.0900792,0.133518,-0.0787547
100,4.05581,-0.151259,-0.129067,6.65045,0.117932,0.179532,0.756022,0.0900792,0.133518,-0.0787547
101,2.1641,-0.180361,-0.0819388,7.52481,0.117932,0.179532,0.756022,0.0900792,0.133518,-0.0787547
102,2.25147,-0.121171,-0.143309,4.98205,0.117932,0.179532,0.756022,0.0900792,0.133518,-0.0787547
103,3.53241,-0.156344,-0.125498,5.6412,0.117932,0.179532,0.756022,0.0900792,0.133518,-0.0787547
104,1.63861,-0.146193,-0.147596,3.98709,0.117932,0.179532,0.756022,0.0900792,0.133518,-0.0787547
105,1.56618,0.0198077,-0.158142,8.68274,0.117932,0.179532,0.756022,0.0900792,0.133518,-0.0787547
106,1.98755,-0.0906048,-0.140562,5.23767,0.117932,0.179532,0.756022,0.0900792,0.133518,-0.0787547
107,7.92878,-0.227586,-0.0992429,10.49,0.117932,0.179532,0.756022,0.0900792,0.133518,-0.0787547
108,6.20276,-0.115605,-0.14748,6.6405,0.117932,0.179532,0.756022,0.0900792,0.133518,-0.0787547
109,5.32671,-0.149262,-0.135555,5.17441,0.117932,0.179532,0.756022,0.0900792,0.133518,-0.0787547
110,4.30111,-0.114841,-0.134087,7.50067,0.117932,0.179532,0.756022,0.0900792,0.133518,-0.0787547
111,4.34413,-0.149737,-0.128189,7.61474,0.117932,0.179532,0.756022,0.0900792,0.133518,-0.0787547
112,3.15366,-0.178886,-0.133061,4.9258,0.117932,0.179532,0.756022,0.0900792,0.133518,-0.0787547
