rep,id,b01,b11,b21,a1,p1,g1,p2,g2,alpha11,alpha21
1,1,7.11618012470768,-0.0862299603175455,-0.146114278308406,5.28142806532588,0.11786321230557,0.180460982098949,0.755948351439617,0.0901144376043581,0.13437407406185,-0.0784742899153009
2,1,6.39170447850546,-0.0515074020939686,-0.109096693780491,3.23146929536434,0.11786321230557,0.180460982098949,0.755948351439617,0.0901144376043581,0.13437407406185,-0.0784742899153009
3,1,8.31343672908439,-0.186063393816473,-0.105283918665734,1.72735071011522,0.11786321230557,0.180460982098949,0.755948351439617,0.0901144376043581,0.13437407406185,-0.0784742899153009
1,2,4.6744213954262,-0.239715946962981,-0.11476079560289,5.29370014970803,0.11786321230557,0.180460982098949,0.755948351439617,0.0901144376043581,0.13437407406185,-0.0784742899153009
2,2,4.74550505787136,-0.0609382802869237,-0.16461353345106,3.97896260447311,0.11786321230557,0.180460982098949,0.755948351439617,0.0901144376043581,0.13437407406185,-0.0784742899153009
3,2,4.81204067047719,-0.0337819375228813,-0.134284274118517,3.62988556881202,0.11786321230557,0.180460982098949,0.755948351439617,0.0901144376043581,0.13437407406185,-0.0784742899153009
1,3,6.82580598942097,-0.0665410642035885,-0.173942891363396,2.61693953598728,0.11786321230557,0.180460982098949,0.755948351439617,0.0901144376043581,0.13437407406185,-0.0784742899153009
2,3,7.75402261487505,-0.161099231749938,-0.14566645046071,3.85152891677365,0.11786321230557,0.180460982098949,0.755948351439617,0.0901144376043581,0.13437407406185,-0.0784742899153009
3,3,6.11981481140605,-0.0663143546528907,-0.0682013862700906,3.86446333565891,0.11786321230557,0.180460982098949,0.755948351439617,0.0901144376043581,0.13437407406185,-0.0784742899153009
1,4,6.76504619077507,-0.0270981092952469,-0.153220020556338,6.37893189067166,0.11786321230557,0.180460982098949,0.755948351439617,0.0901144376043581,0.13437407406185,-0.0784742899153009
2,4,6.65709194257642,-0.0417422847740273,-0.18495492819535,4.35410207369912,0.11786321230557,0.180460982098949,0.755948351439617,0.0901144376043581,0.13437407406185,-0.0784742899153009
3,4,6.29301447913967,-0.0980994961123331,-0.150846479753834,2.86386985875781,0.11786321230557,0.180460982098949,0.755948351439617,0.0901144376043581,0.13437407406185,-0.0784742899153009
1,5,5.97672125691792,-0.203439251730605,-0.144082009247379,1.89406083826593,0.11786321230557,0.180460982098949,0.755948351439617,0.0901144376043581,0.13437407406185,-0.0784742899153009
2,5,5.55711061581081,-0.0490757652157725,-0.157525238649357,3.83440905958621,0.11786321230557,0.180460982098949,0.755948351439617,0.0901144376043581,0.13437407406185,-0.0784742899153009
3,5,6.19473827025673,0.0275596115298434,-0.182752203906959,1.53631849863989,0.11786321230557,0.180460982098949,0.755948351439617,0.0901144376043581,0.13437407406185,-0.0784742899153009
