id,eta_b01_SAEM,eta_b11_SAEM,eta_b21_SAEM,eta_a1_SAEM,eta_p1_SAEM,eta_g1_SAEM,eta_p2_SAEM,eta_g2_SAEM,eta_alpha11_SAEM,eta_alpha21_SAEM
81,-2.35739,-0.00818328,-0.037083,-0.179214,0,0,0,0,0,0
82,1.51876,0.0516482,-0.0202117,0.106097,0,0,0,0,0,0
83,1.3863,0.00558062,-0.0053729,-0.322676,0,0,0,0,0,0
84,2.00028,0.0197573,-0.00787601,0.0433735,0,0,0,0,0,0
85,-4.20908,-0.143896,-0.0184642,0.0638761,0,0,0,0,0,0
86,-0.578374,-0.0104327,0.00335386,-0.0325137,0,0,0,0,0,0
87,-0.590359,-0.0141082,0.000432665,0.00366429,0,0,0,0,0,0
88,0.591259,0.0151141,-0.00908871,-0.15361,0,0,0,0,0,0
89,-0.339159,0.0250739,-0.0072646,-0.350032,0,0,0,0,0,0
90,-2.21819,-0.00680575,-0.0113585,-0.332958,0,0,0,0,0,0
91,-0.210467,-0.0350393,0.00899745,-0.129143,0,0,0,0,0,0
92,1.04992,-0.0511825,0.015167,-0.168953,0,0,0,0,0,0
93,0.662483,-0.0411127,0.00206349,-0.203083,0,0,0,0,0,0
94,-3.1408,0.0192947,-0.0327506,-0.329533,0,0,0,0,0,0
95,-1.88226,-0.0429939,0.0150733,-0.0428241,0,0,0,0,0,0
96,-0.0947436,-0.0168269,0.00295105,-0.182635,0,0,0,0,0,0
97,-2.44909,-0.109923,0.0562102,0.828115,0,0,0,0,0,0
98,-0.0432363,0.00135023,-0.000937712,-0.0364862,0,0,0,0,0,0
99,-1.48695,-0.0205828,-0.000232781,0.00324151,0,0,0,0,0,0
100,-0.6218,-0.0203697,0.00487343,-0.0973334,0,0,0,0,0,0
101,-2.51351,-0.0494716,0.0520015,0.280636,0,0,0,0,0,0
102,-2.42614,0.00971873,-0.00936888,-0.268294,0,0,0,0,0,0
103,-1.1452,-0.0254545,0.00844273,-0.166156,0,0,0,0,0,0
104,-3.039,-0.0153037,-0.0136556,-0.495757,0,0,0,0,0,0
105,-3.11143,0.150697,-0.0242022,0.494842,0,0,0,0,0,0
106,-2.69006,0.0402846,-0.00662155,-0.202716,0,0,0,0,0,0
107,3.25116,-0.096697,0.0346974,0.487647,0,0,0,0,0,0
108,1.52515,0.0152843,-0.0135398,-0.0409967,0,0,0,0,0,0
109,0.649097,-0.0183722,-0.00161452,-0.287684,0,0,0,0,0,0
110,-0.376502,0.0160488,-0.000146421,0.0083375,0,0,0,0,0,0
111,-0.333486,-0.0188475,0.00575102,-0.0286977,0,0,0,0,0,0
112,-1.52396,-0.0479963,0.000878803,-0.267072,0,0,0,0,0,0
113,-0.78583,-0.137054,0.0588043,1.25836,0,0,0,0,0,0
114,0.00113755,-0.0135352,0.00367029,-0.209731,0,0,0,0,0,0
115,0.409404,-0.0577406,0.019587,-0.0428338,0,0,0,0,0,0
116,1.98221,-0.0554762,0.0217634,0.200025,0,0,0,0,0,0
117,0.430999,-0.0113003,0.0421269,-0.296941,0,0,0,0,0,0
118,1.14703,-0.00750933,0.000343837,-0.0191487,0,0,0,0,0,0
119,-1.20251,-0.0193622,-0.0112421,-0.341971,0,0,0,0,0,0
120,-1.66232,-0.107248,0.0518839,0.49935,0,0,0,0,0,0
121,-1.07955,-0.0145907,-0.00440033,-0.387561,0,0,0,0,0,0
122,-0.282806,-0.124843,0.0291052,0.562187,0,0,0,0,0,0
123,2.83788,0.0101721,-0.0167272,-0.183129,0,0,0,0,0,0
124,0.0416593,0.14344,-0.0338116,1.20888,0,0,0,0,0,0
125,-0.972838,-0.0153014,0.00714057,-0.0106503,0,0,0,0,0,0
126,-0.722958,-0.0130659,0.00558188,0.00287904,0,0,0,0,0,0
127,-1.92842,-0.0265448,-0.010137,-0.44475,0,0,0,0,0,0
128,2.10892,-0.0392302,-0.00923716,-0.307541,0,0,0,0,0,0
129,-1.42907,-0.00737956,-0.000418175,-0.0080289,0,0,0,0,0,0
130,-1.9673,-0.0188322,0.0052333,-0.389451,0,0,0,0,0,0
131,-0.516939,-0.0139946,-0.0038111,-0.325395,0,0,0,0,0,0
132,-0.820609,-0.00825269,0.0015524,0.0835974,0,0,0,0,0,0
133,0.928872,-0.000564354,-0.00999139,-0.211008,0,0,0,0,0,0
134,2.53515,0.030016,-0.0121253,0.0200941,0,0,0,0,0,0
135,-1.14484,0.000508735,0.00200496,-0.0350074,0,0,0,0,0,0
136,0.480367,-0.013524,0.00273544,-0.102629,0,0,0,0,0,0
137,-0.321602,-0.0246144,0.002348,-0.299393,0,0,0,0,0,0
138,0.996795,-0.00931116,-0.00713174,-0.346851,0,0,0,0,0,0
139,-0.358192,0.0741838,-0.0185187,0.389129,0,0,0,0,0,0
140,0.431031,0.022695,-0.00586098,0.0636494,0,0,0,0,0,0
141,1.22179,0.0792162,-0.0138753,0.17308,0,0,0,0,0,0
142,-0.785935,-0.00597082,-0.000307592,-0.321737,0,0,0,0,0,0
143,-1.91803,-0.0166886,0.000643589,0.00556983,0,0,0,0,0,0
144,0.401409,-0.0337094,0.0228995,-0.0863436,0,0,0,0,0,0
145,0.501908,-0.059086,0.019508,0.263341,0,0,0,0,0,0
146,0.619351,0.00582039,-0.00975771,-0.306505,0,0,0,0,0,0
147,1.49701,0.0134943,-0.0134243,-0.117878,0,0,0,0,0,0
148,-0.609143,-0.00592063,-0.00450661,-0.264197,0,0,0,0,0,0
149,2.40598,0.0503139,-0.0156075,-0.0384744,0,0,0,0,0,0
150,0.517498,0.00705925,-0.0225936,-0.243447,0,0,0,0,0,0
151,-2.65054,0.00837846,0.0135966,-0.428207,0,0,0,0,0,0
152,3.08471,0.0603539,-0.0181441,0.281626,0,0,0,0,0,0
153,-0.50371,-0.0628399,0.0125397,-0.250327,0,0,0,0,0,0
154,3.2956,0.0526052,-0.0361022,0.293952,0,0,0,0,0,0
155,-0.395279,-0.0387136,0.00167166,-0.33918,0,0,0,0,0,0
156,-0.791865,-0.0316306,-0.00124193,-0.274821,0,0,0,0,0,0
157,0.630338,9.74165e-05,0.00175005,-0.289251,0,0,0,0,0,0
158,-1.64265,-0.0213951,-0.00463223,-0.344478,0,0,0,0,0,0
159,0.944756,0.176198,-0.0247956,1.84935,0,0,0,0,0,0
160,4.00343,0.053204,-0.0178468,0.162724,0,0,0,0,0,0
161,-0.886638,-0.0163494,0.0158727,-0.343546,0,0,0,0,0,0
162,2.07976,-0.0250719,-0.00142846,-0.227874,0,0,0,0,0,0
163,-0.874684,0.0361306,-0.0202442,-0.112156,0,0,0,0,0,0
164,-1.18385,0.0213314,-0.0097822,-0.189654,0,0,0,0,0,0
165,-1.00525,0.00596516,-0.00764827,-0.368667,0,0,0,0,0,0
166,-0.549469,-0.0177864,0.00161318,-0.0703588,0,0,0,0,0,0
167,2.15724,-0.00150129,0.0029308,-0.0404015,0,0,0,0,0,0
168,1.76568,0.0342492,-0.0148408,0.203579,0,0,0,0,0,0
