id,eta_b01_SAEM,eta_b11_SAEM,eta_b21_SAEM,eta_a1_SAEM,eta_b02_SAEM,eta_b12_SAEM,eta_b03_SAEM,eta_b13_SAEM,eta_p1_SAEM,eta_g1_SAEM,eta_p2_SAEM,eta_g2_SAEM,eta_alpha11_SAEM,eta_alpha12_SAEM,eta_alpha13_SAEM,eta_alpha21_SAEM,eta_alpha22_SAEM,eta_alpha23_SAEM,eta_b01_mean,eta_b11_mean,eta_b21_mean,eta_a1_mean,eta_b02_mean,eta_b12_mean,eta_b03_mean,eta_b13_mean,eta_p1_mean,eta_g1_mean,eta_p2_mean,eta_g2_mean,eta_alpha11_mean,eta_alpha12_mean,eta_alpha13_mean,eta_alpha21_mean,eta_alpha22_mean,eta_alpha23_mean,eta_b01_mode,eta_b11_mode,eta_b21_mode,eta_a1_mode,eta_b02_mode,eta_b12_mode,eta_b03_mode,eta_b13_mode,eta_p1_mode,eta_g1_mode,eta_p2_mode,eta_g2_mode,eta_alpha11_mode,eta_alpha12_mode,eta_alpha13_mode,eta_alpha21_mode,eta_alpha22_mode,eta_alpha23_mode,eta_b01_sd,eta_b11_sd,eta_b21_sd,eta_a1_sd,eta_b02_sd,eta_b12_sd,eta_b03_sd,eta_b13_sd,eta_p1_sd,eta_g1_sd,eta_p2_sd,eta_g2_sd,eta_alpha11_sd,eta_alpha12_sd,eta_alpha13_sd,eta_alpha21_sd,eta_alpha22_sd,eta_alpha23_sd
182,-0.236664,-0.0755597,0.0420574,0.615431,0.0180198,0.00161679,-0.400968,-0.0353307,0,0,0,0,0,0,0,0,0,0,-0.0345559,-0.0875719,0.0483275,0.526617,0.0280097,0.000768679,-0.391194,-0.034765,0,0,0,0,0,0,0,0,0,0,0.049288,-0.0532787,0.0507933,0.748569,0.023027,0.00109409,-0.420422,-0.0344946,0,0,0,0,0,0,0,0,0,0,0.803153,0.0493362,0.0348124,0.469987,0.0186134,0.00187056,0.294801,0.0273663,0,0,0,0,0,0,0,0,0,0
183,-1.37576,-0.192977,0.0572743,0.415275,-0.0140379,-0.000426874,0.594621,0.0628869,0,0,0,0,0,0,0,0,0,0,-1.43054,-0.1739,0.0564953,0.436971,-0.00734502,-0.000870231,0.524251,0.0682836,0,0,0,0,0,0,0,0,0,0,-0.651973,-0.139383,0.0338681,0.928979,0.00954521,-0.0019524,0.461279,0.0714772,0,0,0,0,0,0,0,0,0,0,0.473458,0.0647809,0.0247095,0.312251,0.0189053,0.00113741,0.230827,0.0120857,0,0,0,0,0,0,0,0,0,0
184,-0.708636,-0.0441126,0.0180007,-0.131949,0.0530832,0.000628152,0.841563,0.0126849,0,0,0,0,0,0,0,0,0,0,-0.771972,-0.044501,0.0154554,-0.0462752,0.0544079,0.00105863,0.771355,0.0233508,0,0,0,0,0,0,0,0,0,0,-1.09163,-0.0591822,0.0248976,0.484989,0.0535178,0.000597,0.837005,0.0374854,0,0,0,0,0,0,0,0,0,0,0.836621,0.0853612,0.0514354,0.79312,0.02357,0.00517704,0.456279,0.142393,0,0,0,0,0,0,0,0,0,0
185,-1.36821,0.0459988,-0.0136053,0.095543,0.0144906,0.000422822,-0.600018,0.113161,0,0,0,0,0,0,0,0,0,0,-1.30223,0.0505566,-0.000884981,-0.0477143,0.0133627,0.000950031,-0.627036,0.140573,0,0,0,0,0,0,0,0,0,0,-2.2285,0.0659277,-0.0140737,0.458524,0.0145813,0.0004843,-0.604485,0.124686,0,0,0,0,0,0,0,0,0,0,0.998634,0.0946939,0.0527142,0.887128,0.0263324,0.00474344,0.435413,0.147743,0,0,0,0,0,0,0,0,0,0
186,0.375038,-0.0170896,0.0130884,-0.403346,0.00443835,0.00287831,1.08012,0.257873,0,0,0,0,0,0,0,0,0,0,0.438768,-0.0286986,0.00670506,-0.402207,0.00597119,0.00293368,1.1757,0.237573,0,0,0,0,0,0,0,0,0,0,0.190674,-0.0148115,0.00971627,0.0318956,0.005626,0.00287384,1.13046,0.255597,0,0,0,0,0,0,0,0,0,0,0.747376,0.0669504,0.0520527,0.866467,0.0204332,0.00313002,0.350443,0.0550423,0,0,0,0,0,0,0,0,0,0
187,-0.332541,0.200374,0.0100401,-0.16754,-0.0510241,-0.00277915,1.14908,-0.212519,0,0,0,0,0,0,0,0,0,0,-0.583685,0.192166,0.0239912,0.0124328,-0.0572107,-0.00243359,1.1809,-0.212575,0,0,0,0,0,0,0,0,0,0,-1.04438,0.191116,0.0176947,0.0372395,-0.0494602,-0.00300083,1.12022,-0.210751,0,0,0,0,0,0,0,0,0,0,0.843907,0.0144909,0.0493105,0.365047,0.0190631,0.00112723,0.267709,0.0129887,0,0,0,0,0,0,0,0,0,0
188,-1.37068,-0.00899473,-0.00165634,-0.135809,-0.0108669,-0.000351982,0.281511,-0.00638719,0,0,0,0,0,0,0,0,0,0,-1.31507,-0.0042085,0.00440023,-0.146769,-0.00753226,0.000262851,0.237588,-0.0358429,0,0,0,0,0,0,0,0,0,0,-1.90544,-0.0020543,0.000707522,-0.00134873,-0.0109589,6.32027e-05,0.251731,-0.00790258,0,0,0,0,0,0,0,0,0,0,1.02418,0.0865041,0.0590821,0.850151,0.0332882,0.0049274,0.52835,0.16186,0,0,0,0,0,0,0,0,0,0
189,2.07777,-0.00363871,-0.0102338,-0.460213,0.00264162,-0.00100744,0.220865,0.0176948,0,0,0,0,0,0,0,0,0,0,1.94079,-0.00415189,-0.0127838,-0.322956,0.000924434,-0.000523625,0.21663,0.0191929,0,0,0,0,0,0,0,0,0,0,1.79964,0.00650001,-0.00227305,0.0118256,0.00276492,-0.00134212,0.198605,0.0203084,0,0,0,0,0,0,0,0,0,0,0.795678,0.0844569,0.056633,0.869112,0.020792,0.00373273,0.427007,0.0831265,0,0,0,0,0,0,0,0,0,0
190,-0.036175,0.00941762,-0.0587196,0.736453,-0.0645865,0.00417124,-1.08675,0.098599,0,0,0,0,0,0,0,0,0,0,0.249413,0.0179886,-0.0387609,0.270205,-0.0672987,0.00447246,-1.01707,0.0917344,0,0,0,0,0,0,0,0,0,0,-0.363736,0.0175024,-0.0501842,0.877682,-0.0681837,0.00444218,-1.10586,0.0989273,0,0,0,0,0,0,0,0,0,0,0.761255,0.0413056,0.0492459,0.79387,0.0150945,0.00102034,0.287871,0.0185324,0,0,0,0,0,0,0,0,0,0
191,2.13201,0.0666332,-0.0283546,0.491644,-0.0246569,-0.00120209,-1.05086,0.195166,0,0,0,0,0,0,0,0,0,0,1.87007,0.0829224,-0.0237852,0.366598,-0.0223735,-0.0011457,-1.03131,0.200183,0,0,0,0,0,0,0,0,0,0,0.986206,0.08921,-0.0173348,0.793348,-0.0251338,-0.0012879,-1.05147,0.202254,0,0,0,0,0,0,0,0,0,0,1.37301,0.0681592,0.050218,0.786093,0.0219856,0.00369709,0.383565,0.0658256,0,0,0,0,0,0,0,0,0,0
192,1.02954,0.0968836,-0.0175743,1.75862,0.000123229,0.00631952,0.180479,0.0705694,0,0,0,0,0,0,0,0,0,0,1.15536,0.0996118,-0.0244009,1.62797,0.00291866,0.00605193,0.176766,0.072545,0,0,0,0,0,0,0,0,0,0,0.631491,0.0973789,-0.0173392,1.68612,-8.42156e-05,0.00628644,0.237125,0.0678827,0,0,0,0,0,0,0,0,0,0,1.0272,0.0137551,0.0404977,0.349847,0.0187265,0.00119535,0.328435,0.0189806,0,0,0,0,0,0,0,0,0,0
193,2.46274,-0.00553599,0.0037468,-0.116216,0.00239032,0.000417105,-0.0878718,-0.0334349,0,0,0,0,0,0,0,0,0,0,2.39212,-0.0114936,0.0120374,0.1322,0.00216967,0.000270935,0.0110359,-0.040822,0,0,0,0,0,0,0,0,0,0,2.17196,-0.00668443,0.00234782,-0.000232859,0.00374997,-9.86362e-05,-0.0176704,-0.019512,0,0,0,0,0,0,0,0,0,0,1.08649,0.0860853,0.0592798,0.999049,0.0241704,0.00547114,0.491323,0.140741,0,0,0,0,0,0,0,0,0,0
194,-0.269117,0.00151965,-0.0187529,-0.441972,-0.0349277,8.91719e-05,0.827817,0.0252834,0,0,0,0,0,0,0,0,0,0,-0.156255,-0.00660306,-0.00720806,-0.43291,-0.0357353,7.83115e-05,0.759139,0.0276818,0,0,0,0,0,0,0,0,0,0,-0.62475,0.0333433,0.00384045,0.0337562,-0.0362842,7.32464e-05,0.835005,0.0205026,0,0,0,0,0,0,0,0,0,0,0.724201,0.0883319,0.0485674,0.786152,0.0203683,0.00274303,0.327784,0.039746,0,0,0,0,0,0,0,0,0,0
195,-1.53033,0.104811,0.00451745,-0.00836809,0.00500988,-0.00325276,-0.372083,-0.179718,0,0,0,0,0,0,0,0,0,0,-1.56613,0.0871914,-0.00445065,0.294111,0.0054371,-0.00343624,-0.366498,-0.18205,0,0,0,0,0,0,0,0,0,0,-2.78328,0.111438,-0.0049114,0.393877,0.00483238,-0.00318403,-0.361423,-0.179421,0,0,0,0,0,0,0,0,0,0,1.275,0.0680818,0.043307,0.896755,0.02444,0.00244659,0.373419,0.0395288,0,0,0,0,0,0,0,0,0,0
196,1.36368,0.00199524,-0.0101294,-0.289851,-0.0374853,-0.0014471,-0.910004,-0.135543,0,0,0,0,0,0,0,0,0,0,1.50539,-0.00212426,0.00680267,-0.319561,-0.0412108,-0.000434228,-0.945562,-0.129289,0,0,0,0,0,0,0,0,0,0,1.28021,-0.000689115,-0.000932343,0.000966859,-0.0394352,-0.00115073,-0.895378,-0.139759,0,0,0,0,0,0,0,0,0,0,0.877929,0.0782964,0.0570956,0.750048,0.0226968,0.00417543,0.471638,0.107013,0,0,0,0,0,0,0,0,0,0
197,-1.03385,0.00415085,-0.00169349,-0.363971,0.0283875,0.001023,-0.40339,-0.0977288,0,0,0,0,0,0,0,0,0,0,-1.00902,0.00689585,-0.00123298,-0.294783,0.0283093,0.00131178,-0.422646,-0.103345,0,0,0,0,0,0,0,0,0,0,-1.41834,0.00699669,-0.00241391,0.0130524,0.0288267,0.0011319,-0.457895,-0.0813514,0,0,0,0,0,0,0,0,0,0,0.778937,0.0902146,0.0550939,0.910235,0.0291484,0.00559465,0.429638,0.146277,0,0,0,0,0,0,0,0,0,0
198,-3.5997,-0.00746924,-0.0129036,-0.589914,-0.0145285,0.00780867,-0.443432,0.10889,0,0,0,0,0,0,0,0,0,0,-3.62448,-0.0107373,-0.0246488,-0.271367,-0.00325085,0.00655385,-0.312428,0.0928908,0,0,0,0,0,0,0,0,0,0,-3.86839,0.00752521,-0.0155806,0.0922313,-0.00766215,0.00708167,-0.369874,0.10062,0,0,0,0,0,0,0,0,0,0,0.330229,0.0527009,0.0498283,0.94117,0.0249552,0.00261631,0.380508,0.0444679,0,0,0,0,0,0,0,0,0,0
199,-0.659294,-0.0172165,0.00420279,-0.246243,-0.01946,-0.00112437,-0.476539,0.146413,0,0,0,0,0,0,0,0,0,0,-0.556659,-0.0311791,-0.0080938,-0.331296,-0.0181003,-0.00163256,-0.412548,0.13816,0,0,0,0,0,0,0,0,0,0,-0.873897,-0.00720509,0.00258161,0.000297181,-0.0164758,-0.00175373,-0.492402,0.148765,0,0,0,0,0,0,0,0,0,0,0.68641,0.0610133,0.0510946,0.838489,0.0210963,0.00324447,0.428089,0.0698233,0,0,0,0,0,0,0,0,0,0
200,-3.53357,-0.13844,0.0102846,0.81569,-0.0706464,-0.00919625,0.613778,0.0169097,0,0,0,0,0,0,0,0,0,0,-3.97132,-0.107992,0.0426136,0.551251,-0.0755737,-0.00846091,0.636854,0.0163344,0,0,0,0,0,0,0,0,0,0,-4.31387,-0.0953485,0.0090827,0.696596,-0.0710103,-0.00912001,0.610836,0.021651,0,0,0,0,0,0,0,0,0,0,0.593428,0.0840917,0.0470062,0.519614,0.0225325,0.00383129,0.393964,0.0813226,0,0,0,0,0,0,0,0,0,0
